class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,title_value,inception_value,has_version_place_of_publication,has_version_publication_date,has_version_publisher,has_version_permalink,has_version_holding_institution,has_version_external_source,has_version_IIIF_manifest,contributor_role,contributor_value,contributor_label,subject_value,has_part_value,instrumentation_quantity,instrumentation_value,instrumentation_label
NotatedMusic,Ghirlanda de madrigali a quattro voci di Vittoria Aleotti,,,Ghirlanda de madrigali a quattro voci di Vittoria Aleotti,Ghirlanda de madrigali a quattro voci di Vittoria Aleotti.md,AuGsxhMWWjgK,183645386458476841130,identifier,https://edit16.iccu.sbn.it/titolo/CNCE036495,,,,,,,,,,,,,,,,,,,,,
NotatedMusic,Ghirlanda de madrigali a quattro voci di Vittoria Aleotti,,,Ghirlanda de madrigali a quattro voci di Vittoria Aleotti,Ghirlanda de madrigali a quattro voci di Vittoria Aleotti.md,AuGsxhMWWjgK,183645386458476841130,identifier,https://repim.itatti.harvard.edu/resource/?uri=http%3A%2F%2Frepim.unibo.it%2Fresource%2FBOOK%2FNV00430010,,,,,,,,,,,,,,,,,,,,,
NotatedMusic,Ghirlanda de madrigali a quattro voci di Vittoria Aleotti,,,Ghirlanda de madrigali a quattro voci di Vittoria Aleotti,Ghirlanda de madrigali a quattro voci di Vittoria Aleotti.md,AuGsxhMWWjgK,183645386458476841130,identifier,https://rism.online/sources/990000823,,,,,,,,,,,,,,,,,,,,,
NotatedMusic,Ghirlanda de madrigali a quattro voci di Vittoria Aleotti,,,Ghirlanda de madrigali a quattro voci di Vittoria Aleotti,Ghirlanda de madrigali a quattro voci di Vittoria Aleotti.md,AuGsxhMWWjgK,183645386458476841130,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/dM6ceQfzK2pQ,RePIM,,,,,,,,,,,,,,,,,,,
NotatedMusic,Ghirlanda de madrigali a quattro voci di Vittoria Aleotti,,,Ghirlanda de madrigali a quattro voci di Vittoria Aleotti,Ghirlanda de madrigali a quattro voci di Vittoria Aleotti.md,AuGsxhMWWjgK,183645386458476841130,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/N6jMCTymbADK,partbook,,,,,,,,,,,,,,,,,
NotatedMusic,Ghirlanda de madrigali a quattro voci di Vittoria Aleotti,,,Ghirlanda de madrigali a quattro voci di Vittoria Aleotti,Ghirlanda de madrigali a quattro voci di Vittoria Aleotti.md,AuGsxhMWWjgK,183645386458476841130,title,,,,,,Ghirlanda de madrigali a quatro voci di Vittoria Aleotti. Nouamente posta in luce,,,,,,,,,,,,,,,,
NotatedMusic,Ghirlanda de madrigali a quattro voci di Vittoria Aleotti,,,Ghirlanda de madrigali a quattro voci di Vittoria Aleotti,Ghirlanda de madrigali a quattro voci di Vittoria Aleotti.md,AuGsxhMWWjgK,183645386458476841130,inception,,,,,,,1593.0,,,,,,,,,,,,,,,
NotatedMusic,Ghirlanda de madrigali a quattro voci di Vittoria Aleotti,,,Ghirlanda de madrigali a quattro voci di Vittoria Aleotti,Ghirlanda de madrigali a quattro voci di Vittoria Aleotti.md,AuGsxhMWWjgK,183645386458476841130,has_version,,,,,,,,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/f43HawKudsFv', 'label': 'Venezia'}]",1593.0,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/BH2jtMMUakEo', 'label': 'Giacomo Vincenti'}",https://edit16.iccu.sbn.it/titolo/CNCE036495,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/aDnSGcAMMoc4', 'label': 'Duchess Anna Amalia Library'}",https://haab-digital.klassik-stiftung.de/viewer/image/874996287/,https://haab-digital.klassik-stiftung.de/viewer/api/v1/records/874996287/manifest/,,,,,,,,
NotatedMusic,Ghirlanda de madrigali a quattro voci di Vittoria Aleotti,,,Ghirlanda de madrigali a quattro voci di Vittoria Aleotti,Ghirlanda de madrigali a quattro voci di Vittoria Aleotti.md,AuGsxhMWWjgK,183645386458476841130,contributor,,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/LeNVLHNHKPVp', 'label': 'composer'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/hur8pveC6EXe,Vittoria Aleotti,,,,,
NotatedMusic,Ghirlanda de madrigali a quattro voci di Vittoria Aleotti,,,Ghirlanda de madrigali a quattro voci di Vittoria Aleotti,Ghirlanda de madrigali a quattro voci di Vittoria Aleotti.md,AuGsxhMWWjgK,183645386458476841130,subject,,,,,,,,,,,,,,,,,,,,,,
NotatedMusic,Ghirlanda de madrigali a quattro voci di Vittoria Aleotti,,,Ghirlanda de madrigali a quattro voci di Vittoria Aleotti,Ghirlanda de madrigali a quattro voci di Vittoria Aleotti.md,AuGsxhMWWjgK,183645386458476841130,has_part,,,,,,,,,,,,,,,,,,,,,,
