class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label
Concept,libro sorte,"Divination book in the form of a storytelling game, with randomization procedures such as dice or a deck of cards.","['fortune-telling book', 'libro di sorte']",libro sorte,libro sorte.md,HSc3cvnMPYe2,318443427762856606422,identifier,,,
Concept,libro sorte,"Divination book in the form of a storytelling game, with randomization procedures such as dice or a deck of cards.","['fortune-telling book', 'libro di sorte']",libro sorte,libro sorte.md,HSc3cvnMPYe2,318443427762856606422,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/DJam8o3efkSd,(Faini 2020)
