class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value
Concept,quality,,['feature'],quality,quality.md,fgfWxFv2gTMo,777523792788307411050,identifier,http://www.wikidata.org/entity/Q1207505,
Concept,quality,,['feature'],quality,quality.md,fgfWxFv2gTMo,777523792788307411050,described_by_source,,
