class,base_name,filename,label,id,n_id,property,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,member_of_value,member_of_reference,member_of_label,occupation_value,occupation_label,related_to_value,notable_work_value,notable_work_label,interested_in_value,catalog_identifier_value,present_in_work_value,identifier_value
Agent,Giovanni Maria Bonardo,Giovanni Maria Bonardo.md,Giovanni Maria Bonardo,44NBTod6K3M3,42123948987403128676,instance_of,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GB3DPeNtxqwb,human,,,,,,,,,,,,,,,
Agent,Giovanni Maria Bonardo,Giovanni Maria Bonardo.md,Giovanni Maria Bonardo,44NBTod6K3M3,42123948987403128676,gender,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5bZY447EzsJq,male,,,,,,,,,,,,,
Agent,Giovanni Maria Bonardo,Giovanni Maria Bonardo.md,Giovanni Maria Bonardo,44NBTod6K3M3,42123948987403128676,work_location,,,,,,,,,,,,,,,,,
Agent,Giovanni Maria Bonardo,Giovanni Maria Bonardo.md,Giovanni Maria Bonardo,44NBTod6K3M3,42123948987403128676,member_of,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/SoT8HEa6ZEYG,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/g9JEkvm2QvzR', 'label': '(Artese 1983)'}]",Compagnia dei Pastori Fratteggianti,,,,,,,,,
Agent,Giovanni Maria Bonardo,Giovanni Maria Bonardo.md,Giovanni Maria Bonardo,44NBTod6K3M3,42123948987403128676,occupation,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/4AB2zhiGQJga,poet,,,,,,,
Agent,Giovanni Maria Bonardo,Giovanni Maria Bonardo.md,Giovanni Maria Bonardo,44NBTod6K3M3,42123948987403128676,related_to,,,,,,,,,,,,,,,,,
Agent,Giovanni Maria Bonardo,Giovanni Maria Bonardo.md,Giovanni Maria Bonardo,44NBTod6K3M3,42123948987403128676,notable_work,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Xu3FeGq6EtRs,Madrigali del cavalier Gio. Maria Bonardo fratteggiano,,,,
Agent,Giovanni Maria Bonardo,Giovanni Maria Bonardo.md,Giovanni Maria Bonardo,44NBTod6K3M3,42123948987403128676,interested_in,,,,,,,,,,,,,,,,,
Agent,Giovanni Maria Bonardo,Giovanni Maria Bonardo.md,Giovanni Maria Bonardo,44NBTod6K3M3,42123948987403128676,catalog_identifier,,,,,,,,,,,,,,,,,
Agent,Giovanni Maria Bonardo,Giovanni Maria Bonardo.md,Giovanni Maria Bonardo,44NBTod6K3M3,42123948987403128676,present_in_work,,,,,,,,,,,,,,,,,
Agent,Giovanni Maria Bonardo,Giovanni Maria Bonardo.md,Giovanni Maria Bonardo,44NBTod6K3M3,42123948987403128676,identifier,,,,,,,,,,,,,,,,,http://www.wikidata.org/entity/Q41566852
