class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,inception_value,inception_sourcing_circumstances,inception_reference,dissolved_sourcing_circumstances,dissolved_value,dissolved_reference,location_value,location_label,official_website_value,catalog_identifier_source,catalog_identifier_value,member_value,interested_in_value,notable_work_value,related_to_value,motto_value,motto_reference
Organisation,Accademia dei Travagliati di Siena,,,Accademia dei Travagliati di Siena,Accademia dei Travagliati di Siena.md,aKN5rycDjAB2,666630822480681343878,identifier,,,,,,,,,,,,,,,,,,,,
Organisation,Accademia dei Travagliati di Siena,,,Accademia dei Travagliati di Siena,Accademia dei Travagliati di Siena.md,aKN5rycDjAB2,666630822480681343878,described_by_source,,,,,,,,,,,,,,,,,,,,
Organisation,Accademia dei Travagliati di Siena,,,Accademia dei Travagliati di Siena,Accademia dei Travagliati di Siena.md,aKN5rycDjAB2,666630822480681343878,instance_of,,,[[academy]],,,,,,,,,,,,,,,,,
Organisation,Accademia dei Travagliati di Siena,,,Accademia dei Travagliati di Siena,Accademia dei Travagliati di Siena.md,aKN5rycDjAB2,666630822480681343878,inception,,,,1550.0,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/8LbxJqpVwRJW', 'label': 'circa'}","[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/99XEoHF9WPng', 'label': 'Italian Academies Database'}]",,,,,,,,,,,,,,
Organisation,Accademia dei Travagliati di Siena,,,Accademia dei Travagliati di Siena,Accademia dei Travagliati di Siena.md,aKN5rycDjAB2,666630822480681343878,dissolved,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/8LbxJqpVwRJW', 'label': 'circa'}",1600.0,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/99XEoHF9WPng', 'label': 'Italian Academies Database'}]",,,,,,,,,,,
Organisation,Accademia dei Travagliati di Siena,,,Accademia dei Travagliati di Siena,Accademia dei Travagliati di Siena.md,aKN5rycDjAB2,666630822480681343878,location,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/2P97RzuZEUPb,Siena,,,,,,,,,
Organisation,Accademia dei Travagliati di Siena,,,Accademia dei Travagliati di Siena,Accademia dei Travagliati di Siena.md,aKN5rycDjAB2,666630822480681343878,official_website,,,,,,,,,,,,,,,,,,,,
Organisation,Accademia dei Travagliati di Siena,,,Accademia dei Travagliati di Siena,Accademia dei Travagliati di Siena.md,aKN5rycDjAB2,666630822480681343878,catalog_identifier,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/99XEoHF9WPng', 'label': 'Italian Academies Database'}",85.0,,,,,,
Organisation,Accademia dei Travagliati di Siena,,,Accademia dei Travagliati di Siena,Accademia dei Travagliati di Siena.md,aKN5rycDjAB2,666630822480681343878,member,,,,,,,,,,,,,,,,,,,,
Organisation,Accademia dei Travagliati di Siena,,,Accademia dei Travagliati di Siena,Accademia dei Travagliati di Siena.md,aKN5rycDjAB2,666630822480681343878,interested_in,,,,,,,,,,,,,,,,,,,,
Organisation,Accademia dei Travagliati di Siena,,,Accademia dei Travagliati di Siena,Accademia dei Travagliati di Siena.md,aKN5rycDjAB2,666630822480681343878,notable_work,,,,,,,,,,,,,,,,,,,,
Organisation,Accademia dei Travagliati di Siena,,,Accademia dei Travagliati di Siena,Accademia dei Travagliati di Siena.md,aKN5rycDjAB2,666630822480681343878,related_to,,,,,,,,,,,,,,,,,,,,
Organisation,Accademia dei Travagliati di Siena,,,Accademia dei Travagliati di Siena,Accademia dei Travagliati di Siena.md,aKN5rycDjAB2,666630822480681343878,motto,,,,,,,,,,,,,,,,,,,Donec impurum,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/99XEoHF9WPng', 'label': 'Italian Academies Database'}]"
