class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,title_value,inception_value,has_version_place_of_publication,has_version_publisher,has_version_publication_date,has_version_permalink,has_version_external_source,contributor_role,contributor_value,contributor_label,subject_value,has_part_value,based_on_value,catalog_identifier_value
Book,Le seste rime della signora Laura Terracina di Napoli,,,Le seste rime della signora Laura Terracina di Napoli,Le seste rime della signora Laura Terracina di Napoli.md,3h5YPRvaDuan,34777638953734699571,identifier,https://edit16.iccu.sbn.it/titolo/CNCE055621,,,,,,,,,,,,,,,,,,
Book,Le seste rime della signora Laura Terracina di Napoli,,,Le seste rime della signora Laura Terracina di Napoli,Le seste rime della signora Laura Terracina di Napoli.md,3h5YPRvaDuan,34777638953734699571,identifier,https://repim.itatti.harvard.edu/resource/?uri=http://repim.unibo.it/resource/BOOK/009070010,,,,,,,,,,,,,,,,,,
Book,Le seste rime della signora Laura Terracina di Napoli,,,Le seste rime della signora Laura Terracina di Napoli,Le seste rime della signora Laura Terracina di Napoli.md,3h5YPRvaDuan,34777638953734699571,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/dM6ceQfzK2pQ,RePIM,,,,,,,,,,,,,,,,
Book,Le seste rime della signora Laura Terracina di Napoli,,,Le seste rime della signora Laura Terracina di Napoli,Le seste rime della signora Laura Terracina di Napoli.md,3h5YPRvaDuan,34777638953734699571,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/ipSJVTEhEkc6,(Di Maro 2021),,,,,,,,,,,,,,,,
Book,Le seste rime della signora Laura Terracina di Napoli,,,Le seste rime della signora Laura Terracina di Napoli,Le seste rime della signora Laura Terracina di Napoli.md,3h5YPRvaDuan,34777638953734699571,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/QXGbSHBTa8pT,poetry collection,,,,,,,,,,,,,,
Book,Le seste rime della signora Laura Terracina di Napoli,,,Le seste rime della signora Laura Terracina di Napoli,Le seste rime della signora Laura Terracina di Napoli.md,3h5YPRvaDuan,34777638953734699571,title,,,,,,Le seste rime della signora Laura Terracina di Napoli. Nuouamente stampate,,,,,,,,,,,,,
Book,Le seste rime della signora Laura Terracina di Napoli,,,Le seste rime della signora Laura Terracina di Napoli,Le seste rime della signora Laura Terracina di Napoli.md,3h5YPRvaDuan,34777638953734699571,inception,,,,,,,1558.0,,,,,,,,,,,,
Book,Le seste rime della signora Laura Terracina di Napoli,,,Le seste rime della signora Laura Terracina di Napoli,Le seste rime della signora Laura Terracina di Napoli.md,3h5YPRvaDuan,34777638953734699571,has_version,,,,,,,,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/fdXpSqLMpmkp', 'label': 'Lucca'}]","{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/DKsNv5gP8F24', 'label': 'Vincenzo Busdraghi'}",1558.0,https://edit16.iccu.sbn.it/titolo/CNCE055621,https://books.google.it/books?id=IxBsOqwFe44C,,,,,,,
Book,Le seste rime della signora Laura Terracina di Napoli,,,Le seste rime della signora Laura Terracina di Napoli,Le seste rime della signora Laura Terracina di Napoli.md,3h5YPRvaDuan,34777638953734699571,contributor,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UHzA5avQDdMJ', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/WsQJYjxufGKj,Laura Terracina,,,,
Book,Le seste rime della signora Laura Terracina di Napoli,,,Le seste rime della signora Laura Terracina di Napoli,Le seste rime della signora Laura Terracina di Napoli.md,3h5YPRvaDuan,34777638953734699571,subject,,,,,,,,,,,,,,,,,,,
Book,Le seste rime della signora Laura Terracina di Napoli,,,Le seste rime della signora Laura Terracina di Napoli,Le seste rime della signora Laura Terracina di Napoli.md,3h5YPRvaDuan,34777638953734699571,has_part,,,,,,,,,,,,,,,,,,,
Book,Le seste rime della signora Laura Terracina di Napoli,,,Le seste rime della signora Laura Terracina di Napoli,Le seste rime della signora Laura Terracina di Napoli.md,3h5YPRvaDuan,34777638953734699571,based_on,,,,,,,,,,,,,,,,,,,
Book,Le seste rime della signora Laura Terracina di Napoli,,,Le seste rime della signora Laura Terracina di Napoli,Le seste rime della signora Laura Terracina di Napoli.md,3h5YPRvaDuan,34777638953734699571,catalog_identifier,,,,,,,,,,,,,,,,,,,
