class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,member_of_value,member_of_start_date,member_of_end_date,member_of_role,member_of_reference,member_of_label,occupation_value,occupation_label,related_to_value,related_to_relationship,related_to_reference,related_to_label,notable_work_value,interested_in_value,catalog_identifier_source,catalog_identifier_value
Agent,Tullia d'Aragona,,,Tullia d'Aragona,Tullia d'Aragona.md,LSF6bThbK7xx,380218078144630214703,identifier,http://www.wikidata.org/entity/Q444628,,,,,,,,,,,,,,,,,,,,,,,
Agent,Tullia d'Aragona,,,Tullia d'Aragona,Tullia d'Aragona.md,LSF6bThbK7xx,380218078144630214703,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/9n42gMvHpXdx,(Cox 2020),,,,,,,,,,,,,,,,,,,,,
Agent,Tullia d'Aragona,,,Tullia d'Aragona,Tullia d'Aragona.md,LSF6bThbK7xx,380218078144630214703,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/U7bj4Jz7sSuU,human,,,,,,,,,,,,,,,,,,,
Agent,Tullia d'Aragona,,,Tullia d'Aragona,Tullia d'Aragona.md,LSF6bThbK7xx,380218078144630214703,gender,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/cg4AvGtwt6Bs,female,,,,,,,,,,,,,,,,,
Agent,Tullia d'Aragona,,,Tullia d'Aragona,Tullia d'Aragona.md,LSF6bThbK7xx,380218078144630214703,work_location,,,,,,,,,,,,,,,,,,,,,,,,
Agent,Tullia d'Aragona,,,Tullia d'Aragona,Tullia d'Aragona.md,LSF6bThbK7xx,380218078144630214703,member_of,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/2ogdnLXMgrhJ,1546.0,1547.0,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/4NmckkLszZdN', 'label': 'visitor'}","[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/9n42gMvHpXdx', 'label': '(Cox 2020)'}]",Accademia Fiorentina,,,,,,,,,,
Agent,Tullia d'Aragona,,,Tullia d'Aragona,Tullia d'Aragona.md,LSF6bThbK7xx,380218078144630214703,occupation,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/YVAbik9eKVEW,poet,,,,,,,,
Agent,Tullia d'Aragona,,,Tullia d'Aragona,Tullia d'Aragona.md,LSF6bThbK7xx,380218078144630214703,related_to,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/TdyZG6fXKCLc,[[entity/student]],"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/3XnpJ3vZQnbp', 'label': '(Geremicca 2017)'}]",Benedetto Varchi,,,,
Agent,Tullia d'Aragona,,,Tullia d'Aragona,Tullia d'Aragona.md,LSF6bThbK7xx,380218078144630214703,notable_work,,,,,,,,,,,,,,,,,,,,,,,,
Agent,Tullia d'Aragona,,,Tullia d'Aragona,Tullia d'Aragona.md,LSF6bThbK7xx,380218078144630214703,interested_in,,,,,,,,,,,,,,,,,,,,,,,,
Agent,Tullia d'Aragona,,,Tullia d'Aragona,Tullia d'Aragona.md,LSF6bThbK7xx,380218078144630214703,catalog_identifier,,,,,,,,,,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/99XEoHF9WPng', 'label': 'Italian Academies Database'}",19734.0
