class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,contributor_role,contributor_value,contributor_label,part_of_pages,part_of_value,part_of_label,based_on_value,based_on_note,based_on_label,derivative_work_value,subject_value,subject_label,poetic_type_value,poetic_type_label,metre_value,metre_label,depicts_value,depicts_label,language_value,language_label,text_value
PoeticWork,Se sempre ritrovasti in me l'amore,,,Se sempre ritrovasti in me l'amore,Se sempre ritrovasti in me l'amore.md,gMJcWcBFeFhd,791148297124703515850,identifier,,,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Se sempre ritrovasti in me l'amore,,,Se sempre ritrovasti in me l'amore,Se sempre ritrovasti in me l'amore.md,gMJcWcBFeFhd,791148297124703515850,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/LnJe2SznsdSA,(Di Maro 2021),,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Se sempre ritrovasti in me l'amore,,,Se sempre ritrovasti in me l'amore,Se sempre ritrovasti in me l'amore.md,gMJcWcBFeFhd,791148297124703515850,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/fYpqbjX78ztP,poem,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Se sempre ritrovasti in me l'amore,,,Se sempre ritrovasti in me l'amore,Se sempre ritrovasti in me l'amore.md,gMJcWcBFeFhd,791148297124703515850,contributor,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/awZyTsJZqrUq', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/FqBWCu5YvZzH,Dianora Sanseverino,,,,,,,,,,,,,,,,,,
PoeticWork,Se sempre ritrovasti in me l'amore,,,Se sempre ritrovasti in me l'amore,Se sempre ritrovasti in me l'amore.md,gMJcWcBFeFhd,791148297124703515850,part_of,,,,,,,,,42.0,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/LnJe2SznsdSA,(Di Maro 2021),,,,,,,,,,,,,,,
PoeticWork,Se sempre ritrovasti in me l'amore,,,Se sempre ritrovasti in me l'amore,Se sempre ritrovasti in me l'amore.md,gMJcWcBFeFhd,791148297124703515850,based_on,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/MrwKLwDFwkkz,Extension and readaptation of the stanza in the Spanish glosa tradition.,"Ruggier, qual sempre fui, tal esser voglio",,,,,,,,,,,,
PoeticWork,Se sempre ritrovasti in me l'amore,,,Se sempre ritrovasti in me l'amore,Se sempre ritrovasti in me l'amore.md,gMJcWcBFeFhd,791148297124703515850,derivative_work,,,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Se sempre ritrovasti in me l'amore,,,Se sempre ritrovasti in me l'amore,Se sempre ritrovasti in me l'amore.md,gMJcWcBFeFhd,791148297124703515850,subject,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/jNVGi7b6DTsP,perseverance,,,,,,,,,
PoeticWork,Se sempre ritrovasti in me l'amore,,,Se sempre ritrovasti in me l'amore,Se sempre ritrovasti in me l'amore.md,gMJcWcBFeFhd,791148297124703515850,subject,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/2Z7GLcNcoqn4,epistolary poem,,,,,,,,,
PoeticWork,Se sempre ritrovasti in me l'amore,,,Se sempre ritrovasti in me l'amore,Se sempre ritrovasti in me l'amore.md,gMJcWcBFeFhd,791148297124703515850,poetic_type,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/QKnFCoKHDFvG,ottava rima,,,,,,,
PoeticWork,Se sempre ritrovasti in me l'amore,,,Se sempre ritrovasti in me l'amore,Se sempre ritrovasti in me l'amore.md,gMJcWcBFeFhd,791148297124703515850,metre,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/emwSSkhQpsBS,hendecasyllable,,,,,
PoeticWork,Se sempre ritrovasti in me l'amore,,,Se sempre ritrovasti in me l'amore,Se sempre ritrovasti in me l'amore.md,gMJcWcBFeFhd,791148297124703515850,depicts,,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/7fvcZ2G9nhHD,Bradamante,,,
PoeticWork,Se sempre ritrovasti in me l'amore,,,Se sempre ritrovasti in me l'amore,Se sempre ritrovasti in me l'amore.md,gMJcWcBFeFhd,791148297124703515850,language,,,,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/85kGqMwffVs7,Italian,
PoeticWork,Se sempre ritrovasti in me l'amore,,,Se sempre ritrovasti in me l'amore,Se sempre ritrovasti in me l'amore.md,gMJcWcBFeFhd,791148297124703515850,text,,,,,,,,,,,,,,,,,,,,,,,,,,"Se sempre ritrovasti in me l'amore,
In me la fede immobil o sincera,
Non pensare ritrovarla unqua minore
O vadi autunno, o passi pimavera.
Sol vo' che riguardiamo al nostro honore
Ché, machiati ambidoi d'altra maniera,
Giamai di pianto asciugarei le gote
Fin'alla morte, o più, se più si pote."
