class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,member_of_value,member_of_reference,member_of_label,occupation_value,occupation_label,related_to_value,notable_work_value,interested_in_value,interested_in_label,catalog_identifier_source,catalog_identifier_value
Agent,Giambattista Marino,,['Giovanni Battista Marino'],Giambattista Marino,Giambattista Marino.md,692cVZSpt5VS,85081675344068888853,identifier,http://www.wikidata.org/entity/Q332489,,,,,,,,,,,,,,,,,
Agent,Giambattista Marino,,['Giovanni Battista Marino'],Giambattista Marino,Giambattista Marino.md,692cVZSpt5VS,85081675344068888853,described_by_source,,,,,,,,,,,,,,,,,,
Agent,Giambattista Marino,,['Giovanni Battista Marino'],Giambattista Marino,Giambattista Marino.md,692cVZSpt5VS,85081675344068888853,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/U7bj4Jz7sSuU,human,,,,,,,,,,,,,,
Agent,Giambattista Marino,,['Giovanni Battista Marino'],Giambattista Marino,Giambattista Marino.md,692cVZSpt5VS,85081675344068888853,gender,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Sw8LauTZqpYZ,male,,,,,,,,,,,,
Agent,Giambattista Marino,,['Giovanni Battista Marino'],Giambattista Marino,Giambattista Marino.md,692cVZSpt5VS,85081675344068888853,work_location,,,,,,,,,,,,,,,,,,
Agent,Giambattista Marino,,['Giovanni Battista Marino'],Giambattista Marino,Giambattista Marino.md,692cVZSpt5VS,85081675344068888853,member_of,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/htvvES2xJL7N,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/6o7ptgSPFKW7', 'label': '(Moralejo Ortega 2017)'}]",Accademia degli Insensati di Perugia,,,,,,,,
Agent,Giambattista Marino,,['Giovanni Battista Marino'],Giambattista Marino,Giambattista Marino.md,692cVZSpt5VS,85081675344068888853,occupation,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/YVAbik9eKVEW,poet,,,,,,
Agent,Giambattista Marino,,['Giovanni Battista Marino'],Giambattista Marino,Giambattista Marino.md,692cVZSpt5VS,85081675344068888853,related_to,,,,,,,,,,,,,,,,,,
Agent,Giambattista Marino,,['Giovanni Battista Marino'],Giambattista Marino,Giambattista Marino.md,692cVZSpt5VS,85081675344068888853,notable_work,,,,,,,,,,,,,,,,,,
Agent,Giambattista Marino,,['Giovanni Battista Marino'],Giambattista Marino,Giambattista Marino.md,692cVZSpt5VS,85081675344068888853,interested_in,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/CrTwYNz6rjM4,heterodoxy,,
Agent,Giambattista Marino,,['Giovanni Battista Marino'],Giambattista Marino,Giambattista Marino.md,692cVZSpt5VS,85081675344068888853,catalog_identifier,,,,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/99XEoHF9WPng', 'label': 'Italian Academies Database'}",5605.0
