class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,country_value
Place,Venezia,,['Venice'],Venezia,Venezia.md,f43HawKudsFv,764260449990014739853,identifier,http://www.wikidata.org/entity/Q641,,,,
Place,Venezia,,['Venice'],Venezia,Venezia.md,f43HawKudsFv,764260449990014739853,described_by_source,,,,,
Place,Venezia,,['Venice'],Venezia,Venezia.md,f43HawKudsFv,764260449990014739853,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/YQfHpGMNj5pE,city,
Place,Venezia,,['Venice'],Venezia,Venezia.md,f43HawKudsFv,764260449990014739853,country,,,,,
