class,label,base_name,filename,id,n_id,property,instance_of_value,title_value,inception_value,inception_reference,has_version_external_source,has_version_permalink,has_version_publication_date,has_version_place_of_publication,has_version_publisher,contributor_role,contributor_value,contributor_label,subject_value,has_part_value,based_on_value,identifier_value
Book,I morti vivi commedia del molto eccel. signor Sforza d'Oddi,I morti vivi commedia del molto eccel. signor Sforza d'Oddi,I morti vivi commedia del molto eccel. signor Sforza d'Oddi.md,7aGUFfJPscNq,114856410389788709522,instance_of,,,,,,,,,,,,,,,,
Book,I morti vivi commedia del molto eccel. signor Sforza d'Oddi,I morti vivi commedia del molto eccel. signor Sforza d'Oddi,I morti vivi commedia del molto eccel. signor Sforza d'Oddi.md,7aGUFfJPscNq,114856410389788709522,title,,"I morti viui comedia del molto eccel. signor Sforza d'Oddi, nell'Academia de gli Insensati detto il Forsennato",,,,,,,,,,,,,,
Book,I morti vivi commedia del molto eccel. signor Sforza d'Oddi,I morti vivi commedia del molto eccel. signor Sforza d'Oddi,I morti vivi commedia del molto eccel. signor Sforza d'Oddi.md,7aGUFfJPscNq,114856410389788709522,inception,,,1576.0,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/FhzJj6sXkzSq', 'label': '(Teza 2017)'}]",,,,,,,,,,,,
Book,I morti vivi commedia del molto eccel. signor Sforza d'Oddi,I morti vivi commedia del molto eccel. signor Sforza d'Oddi,I morti vivi commedia del molto eccel. signor Sforza d'Oddi.md,7aGUFfJPscNq,114856410389788709522,has_version,,,,,https://books.google.it/books?id=MjuvBubyGBsC,https://edit16.iccu.sbn.it/titolo/CNCE023740,1595.0,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/TKTukTBozhcq', 'label': 'Venezia'}]","{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/YKpYhPyuCbFz', 'label': 'Bartolomeo Carampello'}",,,,,,,
Book,I morti vivi commedia del molto eccel. signor Sforza d'Oddi,I morti vivi commedia del molto eccel. signor Sforza d'Oddi,I morti vivi commedia del molto eccel. signor Sforza d'Oddi.md,7aGUFfJPscNq,114856410389788709522,contributor,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5GmrgRoxsCpY', 'label': 'dedicatee'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/o2CvpeugVPUS,Isabella della Rovere,,,,
Book,I morti vivi commedia del molto eccel. signor Sforza d'Oddi,I morti vivi commedia del molto eccel. signor Sforza d'Oddi,I morti vivi commedia del molto eccel. signor Sforza d'Oddi.md,7aGUFfJPscNq,114856410389788709522,contributor,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/awZyTsJZqrUq', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/A8zvpBSv7FEi,Sforza degli Oddi,,,,
Book,I morti vivi commedia del molto eccel. signor Sforza d'Oddi,I morti vivi commedia del molto eccel. signor Sforza d'Oddi,I morti vivi commedia del molto eccel. signor Sforza d'Oddi.md,7aGUFfJPscNq,114856410389788709522,subject,,,,,,,,,,,,,,,,
Book,I morti vivi commedia del molto eccel. signor Sforza d'Oddi,I morti vivi commedia del molto eccel. signor Sforza d'Oddi,I morti vivi commedia del molto eccel. signor Sforza d'Oddi.md,7aGUFfJPscNq,114856410389788709522,has_part,,,,,,,,,,,,,,,,
Book,I morti vivi commedia del molto eccel. signor Sforza d'Oddi,I morti vivi commedia del molto eccel. signor Sforza d'Oddi,I morti vivi commedia del molto eccel. signor Sforza d'Oddi.md,7aGUFfJPscNq,114856410389788709522,based_on,,,,,,,,,,,,,,,,
Book,I morti vivi commedia del molto eccel. signor Sforza d'Oddi,I morti vivi commedia del molto eccel. signor Sforza d'Oddi,I morti vivi commedia del molto eccel. signor Sforza d'Oddi.md,7aGUFfJPscNq,114856410389788709522,identifier,,,,,,,,,,,,,,,,https://edit16.iccu.sbn.it/titolo/CNCE023740
