class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,contributor_role,contributor_value,contributor_label,part_of_section,part_of_pages,part_of_value,part_of_label,based_on_value,based_on_label,derivative_work_value,subject_value,subject_label,poetic_type_value,poetic_type_label,metre_value,metre_label,depicts_value,text_value,language_value,language_label
PoeticWork,Amor poich'io son priva,"Love has deprived the ""light"" (the view of her beloved) because of departure. Theme of the ""mirror of the soul"" in the eyes of the beloved.",,Amor poich'io son priva,Amor poich'io son priva.md,RdjqHoQ9KYQj,487562542131647519945,identifier,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Amor poich'io son priva,"Love has deprived the ""light"" (the view of her beloved) because of departure. Theme of the ""mirror of the soul"" in the eyes of the beloved.",,Amor poich'io son priva,Amor poich'io son priva.md,RdjqHoQ9KYQj,487562542131647519945,described_by_source,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Amor poich'io son priva,"Love has deprived the ""light"" (the view of her beloved) because of departure. Theme of the ""mirror of the soul"" in the eyes of the beloved.",,Amor poich'io son priva,Amor poich'io son priva.md,RdjqHoQ9KYQj,487562542131647519945,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Wvnraxko77uh,poem,,,,,,,,,,,,,,,,,,,,
PoeticWork,Amor poich'io son priva,"Love has deprived the ""light"" (the view of her beloved) because of departure. Theme of the ""mirror of the soul"" in the eyes of the beloved.",,Amor poich'io son priva,Amor poich'io son priva.md,RdjqHoQ9KYQj,487562542131647519945,contributor,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UHzA5avQDdMJ', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/jZuvVuSH7U3b,Veronica Gambara,,,,,,,,,,,,,,,,,
PoeticWork,Amor poich'io son priva,"Love has deprived the ""light"" (the view of her beloved) because of departure. Theme of the ""mirror of the soul"" in the eyes of the beloved.",,Amor poich'io son priva,Amor poich'io son priva.md,RdjqHoQ9KYQj,487562542131647519945,part_of,,,,,,,,"Poems of Love, 4",41.0,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/PVJ92w9D4VE7,(Gambara 2014),,,,,,,,,,,,,
PoeticWork,Amor poich'io son priva,"Love has deprived the ""light"" (the view of her beloved) because of departure. Theme of the ""mirror of the soul"" in the eyes of the beloved.",,Amor poich'io son priva,Amor poich'io son priva.md,RdjqHoQ9KYQj,487562542131647519945,based_on,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/eFVvroiAxvxk,Canzoniere,,,,,,,,,,,
PoeticWork,Amor poich'io son priva,"Love has deprived the ""light"" (the view of her beloved) because of departure. Theme of the ""mirror of the soul"" in the eyes of the beloved.",,Amor poich'io son priva,Amor poich'io son priva.md,RdjqHoQ9KYQj,487562542131647519945,derivative_work,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Amor poich'io son priva,"Love has deprived the ""light"" (the view of her beloved) because of departure. Theme of the ""mirror of the soul"" in the eyes of the beloved.",,Amor poich'io son priva,Amor poich'io son priva.md,RdjqHoQ9KYQj,487562542131647519945,subject,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/8CJumkhmB57N,abandonment,,,,,,,,
PoeticWork,Amor poich'io son priva,"Love has deprived the ""light"" (the view of her beloved) because of departure. Theme of the ""mirror of the soul"" in the eyes of the beloved.",,Amor poich'io son priva,Amor poich'io son priva.md,RdjqHoQ9KYQj,487562542131647519945,poetic_type,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/LEWu9yEF83UP,madrigale,,,,,,
PoeticWork,Amor poich'io son priva,"Love has deprived the ""light"" (the view of her beloved) because of departure. Theme of the ""mirror of the soul"" in the eyes of the beloved.",,Amor poich'io son priva,Amor poich'io son priva.md,RdjqHoQ9KYQj,487562542131647519945,metre,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/YZkrDgDqrsaF,heptasyllable,,,,
