class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,contributor_role,contributor_value,contributor_label,part_of_section,part_of_volume,part_of_value,part_of_pages,part_of_label,based_on_value,derivative_work_value,subject_value,subject_label,poetic_type_value,poetic_type_label,metre_value,metre_label,depicts_value,depicts_label,language_value,language_label,text_value
PoeticWork,"Mentre pomposa, Te ne stai Rosa",,,"Mentre pomposa, Te ne stai Rosa","Mentre pomposa, Te ne stai Rosa.md",cmZvjapSv5E6,717390800529112646086,identifier,https://repim.itatti.harvard.edu/resource/?uri=http%3A%2F%2Frepim.unibo.it%2Fresource%2FWORK%2F036650000101_PPPP00289700C,,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Mentre pomposa, Te ne stai Rosa",,,"Mentre pomposa, Te ne stai Rosa","Mentre pomposa, Te ne stai Rosa.md",cmZvjapSv5E6,717390800529112646086,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/dM6ceQfzK2pQ,RePIM,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Mentre pomposa, Te ne stai Rosa",,,"Mentre pomposa, Te ne stai Rosa","Mentre pomposa, Te ne stai Rosa.md",cmZvjapSv5E6,717390800529112646086,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Wvnraxko77uh,poem,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Mentre pomposa, Te ne stai Rosa",,,"Mentre pomposa, Te ne stai Rosa","Mentre pomposa, Te ne stai Rosa.md",cmZvjapSv5E6,717390800529112646086,contributor,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UHzA5avQDdMJ', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/9ENdykkNtf6X,anonymous,,,,,,,,,,,,,,,,,,
PoeticWork,"Mentre pomposa, Te ne stai Rosa",,,"Mentre pomposa, Te ne stai Rosa","Mentre pomposa, Te ne stai Rosa.md",cmZvjapSv5E6,717390800529112646086,part_of,,,,,,,,,Scherzo I. Di Tiresia Academico Trasformato. Loda della Verginità.,1.0,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/YYFRNeCKx9AL,71-72,Della corona di Apollo composta del piu vago de' fiori di permesso. Da Piergirolamo Gentile,,,,,,,,,,,,,
PoeticWork,"Mentre pomposa, Te ne stai Rosa",,,"Mentre pomposa, Te ne stai Rosa","Mentre pomposa, Te ne stai Rosa.md",cmZvjapSv5E6,717390800529112646086,based_on,,,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Mentre pomposa, Te ne stai Rosa",,,"Mentre pomposa, Te ne stai Rosa","Mentre pomposa, Te ne stai Rosa.md",cmZvjapSv5E6,717390800529112646086,derivative_work,,,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Mentre pomposa, Te ne stai Rosa",,,"Mentre pomposa, Te ne stai Rosa","Mentre pomposa, Te ne stai Rosa.md",cmZvjapSv5E6,717390800529112646086,subject,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/XLktudVaMszu,anaphora,,,,,,,,,
PoeticWork,"Mentre pomposa, Te ne stai Rosa",,,"Mentre pomposa, Te ne stai Rosa","Mentre pomposa, Te ne stai Rosa.md",cmZvjapSv5E6,717390800529112646086,subject,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/o2i89qrxS3XR,metaphor,,,,,,,,,
PoeticWork,"Mentre pomposa, Te ne stai Rosa",,,"Mentre pomposa, Te ne stai Rosa","Mentre pomposa, Te ne stai Rosa.md",cmZvjapSv5E6,717390800529112646086,subject,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/QtnsQQMPkrt8,virginity,,,,,,,,,
