class,label,base_name,filename,id,n_id,property,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,work_location_label,member_of_value,occupation_value,occupation_label,related_to_value,notable_work_value,interested_in_value,catalog_identifier_source,catalog_identifier_value
Agent,Pietro Bembo,Pietro Bembo,Pietro Bembo.md,Gi5ZXtz7nvet,303406498891217010650,instance_of,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GB3DPeNtxqwb,human,,,,,,,,,,,,
Agent,Pietro Bembo,Pietro Bembo,Pietro Bembo.md,Gi5ZXtz7nvet,303406498891217010650,gender,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5bZY447EzsJq,male,,,,,,,,,,
Agent,Pietro Bembo,Pietro Bembo,Pietro Bembo.md,Gi5ZXtz7nvet,303406498891217010650,work_location,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/f43HawKudsFv,Venezia,,,,,,,,
Agent,Pietro Bembo,Pietro Bembo,Pietro Bembo.md,Gi5ZXtz7nvet,303406498891217010650,member_of,,,,,,,,,,,,,,
Agent,Pietro Bembo,Pietro Bembo,Pietro Bembo.md,Gi5ZXtz7nvet,303406498891217010650,occupation,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/4AB2zhiGQJga,poet,,,,,
Agent,Pietro Bembo,Pietro Bembo,Pietro Bembo.md,Gi5ZXtz7nvet,303406498891217010650,related_to,,,,,,,,,,,,,,
Agent,Pietro Bembo,Pietro Bembo,Pietro Bembo.md,Gi5ZXtz7nvet,303406498891217010650,notable_work,,,,,,,,,,,,,,
Agent,Pietro Bembo,Pietro Bembo,Pietro Bembo.md,Gi5ZXtz7nvet,303406498891217010650,interested_in,,,,,,,,,,,,,,
Agent,Pietro Bembo,Pietro Bembo,Pietro Bembo.md,Gi5ZXtz7nvet,303406498891217010650,catalog_identifier,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/DoWoU567wmiV', 'label': 'Italian Academies Database'}",16556.0
