class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,contributor_role,contributor_value,contributor_label,part_of_value,part_of_volume,part_of_pages,part_of_section,part_of_label,based_on_value,derivative_work_value,subject_value,subject_label,poetic_type_value,metre_value,metre_label,depicts_value,depicts_label,language_value,language_label,text_value
PoeticWork,"Costor, che voi vedete arditi, e fieri",The Turks are making a mockery of the knights errants of the West and their female counterparts.,,"Costor, che voi vedete arditi, e fieri","Costor, che voi vedete arditi, e fieri.md",dqs3BxMFoMBD,739583415357606224471,identifier,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Costor, che voi vedete arditi, e fieri",The Turks are making a mockery of the knights errants of the West and their female counterparts.,,"Costor, che voi vedete arditi, e fieri","Costor, che voi vedete arditi, e fieri.md",dqs3BxMFoMBD,739583415357606224471,described_by_source,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Costor, che voi vedete arditi, e fieri",The Turks are making a mockery of the knights errants of the West and their female counterparts.,,"Costor, che voi vedete arditi, e fieri","Costor, che voi vedete arditi, e fieri.md",dqs3BxMFoMBD,739583415357606224471,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Wvnraxko77uh,poem,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Costor, che voi vedete arditi, e fieri",The Turks are making a mockery of the knights errants of the West and their female counterparts.,,"Costor, che voi vedete arditi, e fieri","Costor, che voi vedete arditi, e fieri.md",dqs3BxMFoMBD,739583415357606224471,contributor,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UHzA5avQDdMJ', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/F2LubQbnYJa9,Anton Francesco Grazzini,,,,,,,,,,,,,,,,,
PoeticWork,"Costor, che voi vedete arditi, e fieri",The Turks are making a mockery of the knights errants of the West and their female counterparts.,,"Costor, che voi vedete arditi, e fieri","Costor, che voi vedete arditi, e fieri.md",dqs3BxMFoMBD,739583415357606224471,part_of,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/JnVziXGxQJD4,2.0,446-448,Canto de' Cavalieri Erranti del Lasca,"Tutti i trionfi, carri, mascherate o canti carnascialeschi andati per Firenze dal tempo del Magnifico Lorenzo",,,,,,,,,,,,
PoeticWork,"Costor, che voi vedete arditi, e fieri",The Turks are making a mockery of the knights errants of the West and their female counterparts.,,"Costor, che voi vedete arditi, e fieri","Costor, che voi vedete arditi, e fieri.md",dqs3BxMFoMBD,739583415357606224471,based_on,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Costor, che voi vedete arditi, e fieri",The Turks are making a mockery of the knights errants of the West and their female counterparts.,,"Costor, che voi vedete arditi, e fieri","Costor, che voi vedete arditi, e fieri.md",dqs3BxMFoMBD,739583415357606224471,derivative_work,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Costor, che voi vedete arditi, e fieri",The Turks are making a mockery of the knights errants of the West and their female counterparts.,,"Costor, che voi vedete arditi, e fieri","Costor, che voi vedete arditi, e fieri.md",dqs3BxMFoMBD,739583415357606224471,subject,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/SrVPa4TA2i3P,satire,,,,,,,,
PoeticWork,"Costor, che voi vedete arditi, e fieri",The Turks are making a mockery of the knights errants of the West and their female counterparts.,,"Costor, che voi vedete arditi, e fieri","Costor, che voi vedete arditi, e fieri.md",dqs3BxMFoMBD,739583415357606224471,subject,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/CrKoHGLhLE34,chivalric poem,,,,,,,,
PoeticWork,"Costor, che voi vedete arditi, e fieri",The Turks are making a mockery of the knights errants of the West and their female counterparts.,,"Costor, che voi vedete arditi, e fieri","Costor, che voi vedete arditi, e fieri.md",dqs3BxMFoMBD,739583415357606224471,subject,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/F4Q6mPjKkDUQ,querelle des femmes,,,,,,,,
PoeticWork,"Costor, che voi vedete arditi, e fieri",The Turks are making a mockery of the knights errants of the West and their female counterparts.,,"Costor, che voi vedete arditi, e fieri","Costor, che voi vedete arditi, e fieri.md",dqs3BxMFoMBD,739583415357606224471,poetic_type,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Costor, che voi vedete arditi, e fieri",The Turks are making a mockery of the knights errants of the West and their female counterparts.,,"Costor, che voi vedete arditi, e fieri","Costor, che voi vedete arditi, e fieri.md",dqs3BxMFoMBD,739583415357606224471,metre,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/FPYzaHuDcPWK,hendecasyllable,,,,,
PoeticWork,"Costor, che voi vedete arditi, e fieri",The Turks are making a mockery of the knights errants of the West and their female counterparts.,,"Costor, che voi vedete arditi, e fieri","Costor, che voi vedete arditi, e fieri.md",dqs3BxMFoMBD,739583415357606224471,metre,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/YZkrDgDqrsaF,heptasyllable,,,,,
PoeticWork,"Costor, che voi vedete arditi, e fieri",The Turks are making a mockery of the knights errants of the West and their female counterparts.,,"Costor, che voi vedete arditi, e fieri","Costor, che voi vedete arditi, e fieri.md",dqs3BxMFoMBD,739583415357606224471,depicts,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Fgb2i9ph7wYA,knight,,,
PoeticWork,"Costor, che voi vedete arditi, e fieri",The Turks are making a mockery of the knights errants of the West and their female counterparts.,,"Costor, che voi vedete arditi, e fieri","Costor, che voi vedete arditi, e fieri.md",dqs3BxMFoMBD,739583415357606224471,depicts,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/86Q2aWNHHazc,duel,,,
PoeticWork,"Costor, che voi vedete arditi, e fieri",The Turks are making a mockery of the knights errants of the West and their female counterparts.,,"Costor, che voi vedete arditi, e fieri","Costor, che voi vedete arditi, e fieri.md",dqs3BxMFoMBD,739583415357606224471,depicts,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/gHVGjgKjtq6V,woman,,,
PoeticWork,"Costor, che voi vedete arditi, e fieri",The Turks are making a mockery of the knights errants of the West and their female counterparts.,,"Costor, che voi vedete arditi, e fieri","Costor, che voi vedete arditi, e fieri.md",dqs3BxMFoMBD,739583415357606224471,language,,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/nKCWTNSaUJQU,Italian,
