class,aliases,base_name,filename,label,id,n_id,property,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,work_location_label,member_of_value,occupation_value,occupation_label,related_to_value,notable_work_value,interested_in_value,catalog_identifier_value,identifier_value
Agent,['Gratioso Perchacino'],Grazioso Percacino,Grazioso Percacino.md,Grazioso Percacino,BnsKXBVRVMgq,201965738570162014058,instance_of,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GB3DPeNtxqwb,human,,,,,,,,,,,,
Agent,['Gratioso Perchacino'],Grazioso Percacino,Grazioso Percacino.md,Grazioso Percacino,BnsKXBVRVMgq,201965738570162014058,gender,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5bZY447EzsJq,male,,,,,,,,,,
Agent,['Gratioso Perchacino'],Grazioso Percacino,Grazioso Percacino.md,Grazioso Percacino,BnsKXBVRVMgq,201965738570162014058,work_location,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/f43HawKudsFv,Venezia,,,,,,,,
Agent,['Gratioso Perchacino'],Grazioso Percacino,Grazioso Percacino.md,Grazioso Percacino,BnsKXBVRVMgq,201965738570162014058,member_of,,,,,,,,,,,,,,
Agent,['Gratioso Perchacino'],Grazioso Percacino,Grazioso Percacino.md,Grazioso Percacino,BnsKXBVRVMgq,201965738570162014058,occupation,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/o2jeCDMBAhqR,publisher,,,,,
Agent,['Gratioso Perchacino'],Grazioso Percacino,Grazioso Percacino.md,Grazioso Percacino,BnsKXBVRVMgq,201965738570162014058,related_to,,,,,,,,,,,,,,
Agent,['Gratioso Perchacino'],Grazioso Percacino,Grazioso Percacino.md,Grazioso Percacino,BnsKXBVRVMgq,201965738570162014058,notable_work,,,,,,,,,,,,,,
Agent,['Gratioso Perchacino'],Grazioso Percacino,Grazioso Percacino.md,Grazioso Percacino,BnsKXBVRVMgq,201965738570162014058,interested_in,,,,,,,,,,,,,,
Agent,['Gratioso Perchacino'],Grazioso Percacino,Grazioso Percacino.md,Grazioso Percacino,BnsKXBVRVMgq,201965738570162014058,catalog_identifier,,,,,,,,,,,,,,
Agent,['Gratioso Perchacino'],Grazioso Percacino,Grazioso Percacino.md,Grazioso Percacino,BnsKXBVRVMgq,201965738570162014058,identifier,,,,,,,,,,,,,,http://www.wikidata.org/entity/Q112433743
