class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,work_location_label,member_of_value,occupation_value,occupation_label,related_to_value,notable_work_value,interested_in_value,catalog_identifier_source,catalog_identifier_value
Agent,Pirro Ligorio,,,Pirro Ligorio,Pirro Ligorio.md,c48RgGS4E7hs,702385409449433868448,identifier,,,,,,,,,,,,,,,,
Agent,Pirro Ligorio,,,Pirro Ligorio,Pirro Ligorio.md,c48RgGS4E7hs,702385409449433868448,described_by_source,,,,,,,,,,,,,,,,
Agent,Pirro Ligorio,,,Pirro Ligorio,Pirro Ligorio.md,c48RgGS4E7hs,702385409449433868448,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/U7bj4Jz7sSuU,human,,,,,,,,,,,,
Agent,Pirro Ligorio,,,Pirro Ligorio,Pirro Ligorio.md,c48RgGS4E7hs,702385409449433868448,gender,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Sw8LauTZqpYZ,male,,,,,,,,,,
Agent,Pirro Ligorio,,,Pirro Ligorio,Pirro Ligorio.md,c48RgGS4E7hs,702385409449433868448,work_location,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/J6uXo2g5NfHE,Roma,,,,,,,,
Agent,Pirro Ligorio,,,Pirro Ligorio,Pirro Ligorio.md,c48RgGS4E7hs,702385409449433868448,member_of,,,,,,,,,,,,,,,,
Agent,Pirro Ligorio,,,Pirro Ligorio,Pirro Ligorio.md,c48RgGS4E7hs,702385409449433868448,occupation,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/YVAbik9eKVEW,poet,,,,,
Agent,Pirro Ligorio,,,Pirro Ligorio,Pirro Ligorio.md,c48RgGS4E7hs,702385409449433868448,related_to,,,,,,,,,,,,,,,,
Agent,Pirro Ligorio,,,Pirro Ligorio,Pirro Ligorio.md,c48RgGS4E7hs,702385409449433868448,notable_work,,,,,,,,,,,,,,,,
Agent,Pirro Ligorio,,,Pirro Ligorio,Pirro Ligorio.md,c48RgGS4E7hs,702385409449433868448,interested_in,,,,,,,,,,,,,,,,
Agent,Pirro Ligorio,,,Pirro Ligorio,Pirro Ligorio.md,c48RgGS4E7hs,702385409449433868448,catalog_identifier,,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/99XEoHF9WPng', 'label': 'Italian Academies Database'}",19123.0
