class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label
Concept,chain,,['laccio'],chain,chain.md,GMAwvtJt3st5,295838052620897387637,identifier,http://www.wikidata.org/entity/Q2397485,,,
Concept,chain,,['laccio'],chain,chain.md,GMAwvtJt3st5,295838052620897387637,described_by_source,,,,
Concept,chain,,['laccio'],chain,chain.md,GMAwvtJt3st5,295838052620897387637,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/nPiNkmzNYMpM,artificial object
