class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,member_of_value,occupation_value,occupation_label,related_to_value,notable_work_value,interested_in_value,interested_in_label,catalog_identifier_value
Agent,Giambattista Andreini,,"['Giovan Battista Andreini', 'Giovanni Battista Andreini']",Giambattista Andreini,Giambattista Andreini.md,m2L5wBjySe7X,887458459946998381100,identifier,http://www.wikidata.org/entity/Q1134183,,,,,,,,,,,,,,
Agent,Giambattista Andreini,,"['Giovan Battista Andreini', 'Giovanni Battista Andreini']",Giambattista Andreini,Giambattista Andreini.md,m2L5wBjySe7X,887458459946998381100,described_by_source,,,,,,,,,,,,,,,
Agent,Giambattista Andreini,,"['Giovan Battista Andreini', 'Giovanni Battista Andreini']",Giambattista Andreini,Giambattista Andreini.md,m2L5wBjySe7X,887458459946998381100,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/U7bj4Jz7sSuU,human,,,,,,,,,,,
Agent,Giambattista Andreini,,"['Giovan Battista Andreini', 'Giovanni Battista Andreini']",Giambattista Andreini,Giambattista Andreini.md,m2L5wBjySe7X,887458459946998381100,gender,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Sw8LauTZqpYZ,male,,,,,,,,,
Agent,Giambattista Andreini,,"['Giovan Battista Andreini', 'Giovanni Battista Andreini']",Giambattista Andreini,Giambattista Andreini.md,m2L5wBjySe7X,887458459946998381100,work_location,,,,,,,,,,,,,,,
Agent,Giambattista Andreini,,"['Giovan Battista Andreini', 'Giovanni Battista Andreini']",Giambattista Andreini,Giambattista Andreini.md,m2L5wBjySe7X,887458459946998381100,member_of,,,,,,,,,,,,,,,
Agent,Giambattista Andreini,,"['Giovan Battista Andreini', 'Giovanni Battista Andreini']",Giambattista Andreini,Giambattista Andreini.md,m2L5wBjySe7X,887458459946998381100,occupation,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/awZyTsJZqrUq,author,,,,,
Agent,Giambattista Andreini,,"['Giovan Battista Andreini', 'Giovanni Battista Andreini']",Giambattista Andreini,Giambattista Andreini.md,m2L5wBjySe7X,887458459946998381100,occupation,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/oJ7bBDGkTcz8,actor,,,,,
Agent,Giambattista Andreini,,"['Giovan Battista Andreini', 'Giovanni Battista Andreini']",Giambattista Andreini,Giambattista Andreini.md,m2L5wBjySe7X,887458459946998381100,related_to,,,,,,,,,,,,,,,
Agent,Giambattista Andreini,,"['Giovan Battista Andreini', 'Giovanni Battista Andreini']",Giambattista Andreini,Giambattista Andreini.md,m2L5wBjySe7X,887458459946998381100,notable_work,,,,,,,,,,,,,,,
Agent,Giambattista Andreini,,"['Giovan Battista Andreini', 'Giovanni Battista Andreini']",Giambattista Andreini,Giambattista Andreini.md,m2L5wBjySe7X,887458459946998381100,interested_in,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Ye88EjEg6hpa,commedia dell'arte,
Agent,Giambattista Andreini,,"['Giovan Battista Andreini', 'Giovanni Battista Andreini']",Giambattista Andreini,Giambattista Andreini.md,m2L5wBjySe7X,887458459946998381100,catalog_identifier,,,,,,,,,,,,,,,
