class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,title_value,inception_value,inception_reference,has_version_permalink,has_version_publisher,has_version_place_of_publication,has_version_publication_date,contributor_role,contributor_value,contributor_label,subject_value,subject_label,has_part_value,based_on_value,based_on_label,catalog_identifier_value
Book,Stanze transmutate del Ariosto con una canzone bellissima pastorale,Fictional academy created by Anton Francesco Doni,,Stanze transmutate del Ariosto con una canzone bellissima pastorale,Stanze transmutate del Ariosto con una canzone bellissima pastorale.md,KzZKXMxLk5Rp,371283011735950308643,identifier,https://edit16.iccu.sbn.it/titolo/CNCE041632,,,,,,,,,,,,,,,,,,,,
Book,Stanze transmutate del Ariosto con una canzone bellissima pastorale,Fictional academy created by Anton Francesco Doni,,Stanze transmutate del Ariosto con una canzone bellissima pastorale,Stanze transmutate del Ariosto con una canzone bellissima pastorale.md,KzZKXMxLk5Rp,371283011735950308643,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/LnJe2SznsdSA,(Di Maro 2021),,,,,,,,,,,,,,,,,,
Book,Stanze transmutate del Ariosto con una canzone bellissima pastorale,Fictional academy created by Anton Francesco Doni,,Stanze transmutate del Ariosto con una canzone bellissima pastorale,Stanze transmutate del Ariosto con una canzone bellissima pastorale.md,KzZKXMxLk5Rp,371283011735950308643,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/ZCgMTMXeEhEF,(Faricelli 2024),,,,,,,,,,,,,,,,,,
Book,Stanze transmutate del Ariosto con una canzone bellissima pastorale,Fictional academy created by Anton Francesco Doni,,Stanze transmutate del Ariosto con una canzone bellissima pastorale,Stanze transmutate del Ariosto con una canzone bellissima pastorale.md,KzZKXMxLk5Rp,371283011735950308643,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/XzeQyQXbyjmR,poetry collection,,,,,,,,,,,,,,,,
Book,Stanze transmutate del Ariosto con una canzone bellissima pastorale,Fictional academy created by Anton Francesco Doni,,Stanze transmutate del Ariosto con una canzone bellissima pastorale,Stanze transmutate del Ariosto con una canzone bellissima pastorale.md,KzZKXMxLk5Rp,371283011735950308643,title,,,,,,Stanze transmutate del Ariosto con una canzone bellissima pastorale,,,,,,,,,,,,,,,
Book,Stanze transmutate del Ariosto con una canzone bellissima pastorale,Fictional academy created by Anton Francesco Doni,,Stanze transmutate del Ariosto con una canzone bellissima pastorale,Stanze transmutate del Ariosto con una canzone bellissima pastorale.md,KzZKXMxLk5Rp,371283011735950308643,inception,,,,,,,1544.0,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/ZCgMTMXeEhEF', 'label': '(Faricelli 2024)'}, {'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/LnJe2SznsdSA', 'label': '(Di Maro 2021)'}]",,,,,,,,,,,,,
Book,Stanze transmutate del Ariosto con una canzone bellissima pastorale,Fictional academy created by Anton Francesco Doni,,Stanze transmutate del Ariosto con una canzone bellissima pastorale,Stanze transmutate del Ariosto con una canzone bellissima pastorale.md,KzZKXMxLk5Rp,371283011735950308643,has_version,,,,,,,,,https://edit16.iccu.sbn.it/titolo/CNCE041632,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/kCMgyyEYtVB7', 'label': 'Leonardo detto il Furlano'}","[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/TKTukTBozhcq', 'label': 'Venezia'}]",1545.0,,,,,,,,,
Book,Stanze transmutate del Ariosto con una canzone bellissima pastorale,Fictional academy created by Anton Francesco Doni,,Stanze transmutate del Ariosto con una canzone bellissima pastorale,Stanze transmutate del Ariosto con una canzone bellissima pastorale.md,KzZKXMxLk5Rp,371283011735950308643,contributor,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/awZyTsJZqrUq', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/FqBWCu5YvZzH,Dianora Sanseverino,,,,,,
Book,Stanze transmutate del Ariosto con una canzone bellissima pastorale,Fictional academy created by Anton Francesco Doni,,Stanze transmutate del Ariosto con una canzone bellissima pastorale,Stanze transmutate del Ariosto con una canzone bellissima pastorale.md,KzZKXMxLk5Rp,371283011735950308643,subject,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/QKnFCoKHDFvG,ottava rima,,,,
Book,Stanze transmutate del Ariosto con una canzone bellissima pastorale,Fictional academy created by Anton Francesco Doni,,Stanze transmutate del Ariosto con una canzone bellissima pastorale,Stanze transmutate del Ariosto con una canzone bellissima pastorale.md,KzZKXMxLk5Rp,371283011735950308643,subject,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/EizKeQqFBVHG,extemporary poetry,,,,
Book,Stanze transmutate del Ariosto con una canzone bellissima pastorale,Fictional academy created by Anton Francesco Doni,,Stanze transmutate del Ariosto con una canzone bellissima pastorale,Stanze transmutate del Ariosto con una canzone bellissima pastorale.md,KzZKXMxLk5Rp,371283011735950308643,has_part,,,,,,,,,,,,,,,,,,,,,
Book,Stanze transmutate del Ariosto con una canzone bellissima pastorale,Fictional academy created by Anton Francesco Doni,,Stanze transmutate del Ariosto con una canzone bellissima pastorale,Stanze transmutate del Ariosto con una canzone bellissima pastorale.md,KzZKXMxLk5Rp,371283011735950308643,based_on,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/FSsfkMyDLbzE,Orlando furioso,
Book,Stanze transmutate del Ariosto con una canzone bellissima pastorale,Fictional academy created by Anton Francesco Doni,,Stanze transmutate del Ariosto con una canzone bellissima pastorale,Stanze transmutate del Ariosto con una canzone bellissima pastorale.md,KzZKXMxLk5Rp,371283011735950308643,catalog_identifier,,,,,,,,,,,,,,,,,,,,,
