class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,contributor_role,contributor_value,contributor_label,part_of_value,part_of_pages,part_of_section,part_of_label,based_on_value,derivative_work_value,subject_value,subject_label,poetic_type_value,poetic_type_label,metre_value,metre_label,depicts_value,depicts_label,text_value,language_value,language_label
PoeticWork,Mentre'l Pianeta gira in Capricorno,,,Mentre'l Pianeta gira in Capricorno,Mentre'l Pianeta gira in Capricorno.md,MgsWXs3GtKE2,406153764588700054386,identifier,https://lyra.unil.ch/poems/13389,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Mentre'l Pianeta gira in Capricorno,,,Mentre'l Pianeta gira in Capricorno,Mentre'l Pianeta gira in Capricorno.md,MgsWXs3GtKE2,406153764588700054386,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/B8k36QrtTQLU,Progetto Lyra,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Mentre'l Pianeta gira in Capricorno,,,Mentre'l Pianeta gira in Capricorno,Mentre'l Pianeta gira in Capricorno.md,MgsWXs3GtKE2,406153764588700054386,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/fYpqbjX78ztP,poem,,,,,,,,,,,,,,,,,,,,
PoeticWork,Mentre'l Pianeta gira in Capricorno,,,Mentre'l Pianeta gira in Capricorno,Mentre'l Pianeta gira in Capricorno.md,MgsWXs3GtKE2,406153764588700054386,contributor,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/awZyTsJZqrUq', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/EYTBaSPGbkAD,Bartolomeo Arnigio,,,,,,,,,,,,,,,,,
PoeticWork,Mentre'l Pianeta gira in Capricorno,,,Mentre'l Pianeta gira in Capricorno,Mentre'l Pianeta gira in Capricorno.md,MgsWXs3GtKE2,406153764588700054386,part_of,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/aiksT6sSCiT7,109.0,Del Solingo,Rime de gli Academici Occulti con le loro imprese et discorsi,,,,,,,,,,,,,
PoeticWork,Mentre'l Pianeta gira in Capricorno,,,Mentre'l Pianeta gira in Capricorno,Mentre'l Pianeta gira in Capricorno.md,MgsWXs3GtKE2,406153764588700054386,based_on,,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Mentre'l Pianeta gira in Capricorno,,,Mentre'l Pianeta gira in Capricorno,Mentre'l Pianeta gira in Capricorno.md,MgsWXs3GtKE2,406153764588700054386,derivative_work,,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Mentre'l Pianeta gira in Capricorno,,,Mentre'l Pianeta gira in Capricorno,Mentre'l Pianeta gira in Capricorno.md,MgsWXs3GtKE2,406153764588700054386,subject,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/MVesHQPbVg5X,metaphor,,,,,,,,,
PoeticWork,Mentre'l Pianeta gira in Capricorno,,,Mentre'l Pianeta gira in Capricorno,Mentre'l Pianeta gira in Capricorno.md,MgsWXs3GtKE2,406153764588700054386,subject,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/MiEZVRza7UDo,celestial body,,,,,,,,,
PoeticWork,Mentre'l Pianeta gira in Capricorno,,,Mentre'l Pianeta gira in Capricorno,Mentre'l Pianeta gira in Capricorno.md,MgsWXs3GtKE2,406153764588700054386,subject,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/MFkDrmE7jx9f,oxymoron,,,,,,,,,
PoeticWork,Mentre'l Pianeta gira in Capricorno,,,Mentre'l Pianeta gira in Capricorno,Mentre'l Pianeta gira in Capricorno.md,MgsWXs3GtKE2,406153764588700054386,poetic_type,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Mzrr2esvFbco,sonnet,,,,,,,
PoeticWork,Mentre'l Pianeta gira in Capricorno,,,Mentre'l Pianeta gira in Capricorno,Mentre'l Pianeta gira in Capricorno.md,MgsWXs3GtKE2,406153764588700054386,metre,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/emwSSkhQpsBS,hendecasyllable,,,,,
PoeticWork,Mentre'l Pianeta gira in Capricorno,,,Mentre'l Pianeta gira in Capricorno,Mentre'l Pianeta gira in Capricorno.md,MgsWXs3GtKE2,406153764588700054386,depicts,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/bRAwscJNiqSd,ice,,,
PoeticWork,Mentre'l Pianeta gira in Capricorno,,,Mentre'l Pianeta gira in Capricorno,Mentre'l Pianeta gira in Capricorno.md,MgsWXs3GtKE2,406153764588700054386,depicts,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/ihyMMKCExRxW,tree,,,
PoeticWork,Mentre'l Pianeta gira in Capricorno,,,Mentre'l Pianeta gira in Capricorno,Mentre'l Pianeta gira in Capricorno.md,MgsWXs3GtKE2,406153764588700054386,depicts,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/M5s27pP8VYFC,Sun,,,
PoeticWork,Mentre'l Pianeta gira in Capricorno,,,Mentre'l Pianeta gira in Capricorno,Mentre'l Pianeta gira in Capricorno.md,MgsWXs3GtKE2,406153764588700054386,text,,,,,,,,,,,,,,,,,,,,,,,"Mentre'l Pianeta gira in Capricorno
Che scalda hor questo hor quell'altro hemispero;
Et da noi si diparte'l mio Sol vero,
Gelido, breve, & nubiloso è il Giorno.

Gli arbori nudi, e i monti stanno intorno
Vestiti del color contrario al nero;
Et con sembiante rio, squallido, & fero
Hor Austro spira, hor' Aquilon dal corno.

Ma se'l mio Sol d'altera luce pieno
Torna; quantunque l'altro lungi stia;
Ne ver noi volga pigro il carro leve;

Vedrò temprato'l Dì, lungo & sereno;
Gli Arbori haver le frondi come pria,
Fiorir'il Ghiaccio & fiammeggiar la Neve.",,
PoeticWork,Mentre'l Pianeta gira in Capricorno,,,Mentre'l Pianeta gira in Capricorno,Mentre'l Pianeta gira in Capricorno.md,MgsWXs3GtKE2,406153764588700054386,language,,,,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/85kGqMwffVs7,Italian
