class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,work_location_label,member_of_value,occupation_value,related_to_value,notable_work_value,interested_in_value,interested_in_label,interested_in_reference,catalog_identifier_source,catalog_identifier_value
Agent,Scipione Bargagli,,,Scipione Bargagli,Scipione Bargagli.md,dvfog2Bh9L63,741322322188608645805,identifier,http://www.wikidata.org/entity/Q3952391,,,,,,,,,,,,,,,,
Agent,Scipione Bargagli,,,Scipione Bargagli,Scipione Bargagli.md,dvfog2Bh9L63,741322322188608645805,described_by_source,,,,,,,,,,,,,,,,,
Agent,Scipione Bargagli,,,Scipione Bargagli,Scipione Bargagli.md,dvfog2Bh9L63,741322322188608645805,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GB3DPeNtxqwb,human,,,,,,,,,,,,,
Agent,Scipione Bargagli,,,Scipione Bargagli,Scipione Bargagli.md,dvfog2Bh9L63,741322322188608645805,gender,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5bZY447EzsJq,male,,,,,,,,,,,
Agent,Scipione Bargagli,,,Scipione Bargagli,Scipione Bargagli.md,dvfog2Bh9L63,741322322188608645805,work_location,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/MYfqAMA7FA2N,Siena,,,,,,,,,
Agent,Scipione Bargagli,,,Scipione Bargagli,Scipione Bargagli.md,dvfog2Bh9L63,741322322188608645805,member_of,,,,,,,,,,,,,,,,,
Agent,Scipione Bargagli,,,Scipione Bargagli,Scipione Bargagli.md,dvfog2Bh9L63,741322322188608645805,occupation,,,,,,,,,,,,,,,,,
Agent,Scipione Bargagli,,,Scipione Bargagli,Scipione Bargagli.md,dvfog2Bh9L63,741322322188608645805,related_to,,,,,,,,,,,,,,,,,
Agent,Scipione Bargagli,,,Scipione Bargagli,Scipione Bargagli.md,dvfog2Bh9L63,741322322188608645805,notable_work,,,,,,,,,,,,,,,,,
Agent,Scipione Bargagli,,,Scipione Bargagli,Scipione Bargagli.md,dvfog2Bh9L63,741322322188608645805,interested_in,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/JCBpTmtUqcFv,parlour game,,,
Agent,Scipione Bargagli,,,Scipione Bargagli,Scipione Bargagli.md,dvfog2Bh9L63,741322322188608645805,interested_in,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/AtYFns9BtQHt,impresa,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/JjLg2AKb7hoK', 'label': '(Teza 2017)'}]",,
Agent,Scipione Bargagli,,,Scipione Bargagli,Scipione Bargagli.md,dvfog2Bh9L63,741322322188608645805,catalog_identifier,,,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/DoWoU567wmiV', 'label': 'Italian Academies Database'}",16248.0
