class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,work_location_label,member_of_value,occupation_value,occupation_label,related_to_value,related_to_relationship,related_to_label,notable_work_value,interested_in_value,catalog_identifier_value,present_in_work_value
Agent,Giaches de Wert,,,Giaches de Wert,Giaches de Wert.md,cBJV9SeGc3Sw,704983542854307616367,identifier,http://www.wikidata.org/entity/Q591939,,,,,,,,,,,,,,,,,
Agent,Giaches de Wert,,,Giaches de Wert,Giaches de Wert.md,cBJV9SeGc3Sw,704983542854307616367,described_by_source,,,,,,,,,,,,,,,,,,
Agent,Giaches de Wert,,,Giaches de Wert,Giaches de Wert.md,cBJV9SeGc3Sw,704983542854307616367,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GB3DPeNtxqwb,human,,,,,,,,,,,,,,
Agent,Giaches de Wert,,,Giaches de Wert,Giaches de Wert.md,cBJV9SeGc3Sw,704983542854307616367,gender,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5bZY447EzsJq,male,,,,,,,,,,,,
Agent,Giaches de Wert,,,Giaches de Wert,Giaches de Wert.md,cBJV9SeGc3Sw,704983542854307616367,work_location,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/gbLYmsbE7QZL,Napoli,,,,,,,,,,
Agent,Giaches de Wert,,,Giaches de Wert,Giaches de Wert.md,cBJV9SeGc3Sw,704983542854307616367,work_location,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/4rNwxjw3kNQo,Ferrara,,,,,,,,,,
Agent,Giaches de Wert,,,Giaches de Wert,Giaches de Wert.md,cBJV9SeGc3Sw,704983542854307616367,member_of,,,,,,,,,,,,,,,,,,
Agent,Giaches de Wert,,,Giaches de Wert,Giaches de Wert.md,cBJV9SeGc3Sw,704983542854307616367,occupation,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/LeNVLHNHKPVp,composer,,,,,,,
Agent,Giaches de Wert,,,Giaches de Wert,Giaches de Wert.md,cBJV9SeGc3Sw,704983542854307616367,related_to,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/baADqnLF4t7X,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UZuCbSwwuwLY', 'label': 'lover'}",Tarquinia Molza,,,,
Agent,Giaches de Wert,,,Giaches de Wert,Giaches de Wert.md,cBJV9SeGc3Sw,704983542854307616367,notable_work,,,,,,,,,,,,,,,,,,
Agent,Giaches de Wert,,,Giaches de Wert,Giaches de Wert.md,cBJV9SeGc3Sw,704983542854307616367,interested_in,,,,,,,,,,,,,,,,,,
Agent,Giaches de Wert,,,Giaches de Wert,Giaches de Wert.md,cBJV9SeGc3Sw,704983542854307616367,catalog_identifier,,,,,,,,,,,,,,,,,,
Agent,Giaches de Wert,,,Giaches de Wert,Giaches de Wert.md,cBJV9SeGc3Sw,704983542854307616367,present_in_work,,,,,,,,,,,,,,,,,,
