class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,contributor_role,contributor_value,contributor_label,part_of_value,part_of_label,instrumentation_value,based_on_value,based_on_label,derivative_work_value,text_value,language_value,subject_value,subject_label,poetic_type_value,depicts_value,metre_value
MusicComposition,Oh dolce mia nemica (Martoretta),,,Oh dolce mia nemica (Martoretta),Oh dolce mia nemica (Martoretta).md,fZPeoEnLhn6z,774888809877082755059,identifier,https://repim.itatti.harvard.edu/resource/?uri=http%3A%2F%2Frepim.unibo.it%2Fresource%2FWORK%2F190960000010101_000000133700C,,,,,,,,,,,,,,,,,,,,
MusicComposition,Oh dolce mia nemica (Martoretta),,,Oh dolce mia nemica (Martoretta),Oh dolce mia nemica (Martoretta).md,fZPeoEnLhn6z,774888809877082755059,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/dM6ceQfzK2pQ,RePIM,,,,,,,,,,,,,,,,,,
MusicComposition,Oh dolce mia nemica (Martoretta),,,Oh dolce mia nemica (Martoretta),Oh dolce mia nemica (Martoretta).md,fZPeoEnLhn6z,774888809877082755059,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/a7Qa4z8ocEzP,madrigal,,,,,,,,,,,,,,,,
MusicComposition,Oh dolce mia nemica (Martoretta),,,Oh dolce mia nemica (Martoretta),Oh dolce mia nemica (Martoretta).md,fZPeoEnLhn6z,774888809877082755059,contributor,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/LeNVLHNHKPVp', 'label': 'composer'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/THDdx5np8gBo],,,,,,,,,,,,,,
MusicComposition,Oh dolce mia nemica (Martoretta),,,Oh dolce mia nemica (Martoretta),Oh dolce mia nemica (Martoretta).md,fZPeoEnLhn6z,774888809877082755059,contributor,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/4AB2zhiGQJga', 'label': 'poet'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/ewPgHKZpLaZe,Luigi Cassola,,,,,,,,,,,,,
MusicComposition,Oh dolce mia nemica (Martoretta),,,Oh dolce mia nemica (Martoretta),Oh dolce mia nemica (Martoretta).md,fZPeoEnLhn6z,774888809877082755059,part_of,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/bdRLRxnHkEJT,De lo eccellentissimo musico La Martoretta li madrigali a quattro voci,,,,,,,,,,,
MusicComposition,Oh dolce mia nemica (Martoretta),,,Oh dolce mia nemica (Martoretta),Oh dolce mia nemica (Martoretta).md,fZPeoEnLhn6z,774888809877082755059,instrumentation,,,,,,,,,,,,,,,,,,,,,
MusicComposition,Oh dolce mia nemica (Martoretta),,,Oh dolce mia nemica (Martoretta),Oh dolce mia nemica (Martoretta).md,fZPeoEnLhn6z,774888809877082755059,based_on,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Ln6ypi5MuXf2,Oh dolce mia nemica,,,,,,,,
MusicComposition,Oh dolce mia nemica (Martoretta),,,Oh dolce mia nemica (Martoretta),Oh dolce mia nemica (Martoretta).md,fZPeoEnLhn6z,774888809877082755059,derivative_work,,,,,,,,,,,,,,,,,,,,,
MusicComposition,Oh dolce mia nemica (Martoretta),,,Oh dolce mia nemica (Martoretta),Oh dolce mia nemica (Martoretta).md,fZPeoEnLhn6z,774888809877082755059,text,,,,,,,,,,,,,,,,,,,,,
MusicComposition,Oh dolce mia nemica (Martoretta),,,Oh dolce mia nemica (Martoretta),Oh dolce mia nemica (Martoretta).md,fZPeoEnLhn6z,774888809877082755059,language,,,,,,,,,,,,,,,,,,,,,
MusicComposition,Oh dolce mia nemica (Martoretta),,,Oh dolce mia nemica (Martoretta),Oh dolce mia nemica (Martoretta).md,fZPeoEnLhn6z,774888809877082755059,subject,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GhA3XmpeZfqx,arie per cantare,,,
MusicComposition,Oh dolce mia nemica (Martoretta),,,Oh dolce mia nemica (Martoretta),Oh dolce mia nemica (Martoretta).md,fZPeoEnLhn6z,774888809877082755059,poetic_type,,,,,,,,,,,,,,,,,,,,,
MusicComposition,Oh dolce mia nemica (Martoretta),,,Oh dolce mia nemica (Martoretta),Oh dolce mia nemica (Martoretta).md,fZPeoEnLhn6z,774888809877082755059,depicts,,,,,,,,,,,,,,,,,,,,,
MusicComposition,Oh dolce mia nemica (Martoretta),,,Oh dolce mia nemica (Martoretta),Oh dolce mia nemica (Martoretta).md,fZPeoEnLhn6z,774888809877082755059,metre,,,,,,,,,,,,,,,,,,,,,
