class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,inception_value,inception_reference,dissolved_value,dissolved_reference,location_value,location_label,official_website_value,catalog_identifier_source,catalog_identifier_value,member_value,interested_in_value,notable_work_value,related_to_value,motto_value
Organisation,Accademia degli Ardenti di Napoli,,,Accademia degli Ardenti di Napoli,Accademia degli Ardenti di Napoli.md,EWJ5DDPUUKY3,257869711570112256250,identifier,,,,,,,,,,,,,,,,,,,
Organisation,Accademia degli Ardenti di Napoli,,,Accademia degli Ardenti di Napoli,Accademia degli Ardenti di Napoli.md,EWJ5DDPUUKY3,257869711570112256250,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/YD4DY4FQzNjL,(Procaccioli 2020),,,,,,,,,,,,,,,,
Organisation,Accademia degli Ardenti di Napoli,,,Accademia degli Ardenti di Napoli,Accademia degli Ardenti di Napoli.md,EWJ5DDPUUKY3,257869711570112256250,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/TuhZnsrVW6Mf,academy,,,,,,,,,,,,,,
Organisation,Accademia degli Ardenti di Napoli,,,Accademia degli Ardenti di Napoli,Accademia degli Ardenti di Napoli.md,EWJ5DDPUUKY3,257869711570112256250,inception,,,,,,1546.0,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/99XEoHF9WPng', 'label': 'Italian Academies Database'}]",,,,,,,,,,,,
Organisation,Accademia degli Ardenti di Napoli,,,Accademia degli Ardenti di Napoli,Accademia degli Ardenti di Napoli.md,EWJ5DDPUUKY3,257869711570112256250,dissolved,,,,,,,,1547.0,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/99XEoHF9WPng', 'label': 'Italian Academies Database'}]",,,,,,,,,,
Organisation,Accademia degli Ardenti di Napoli,,,Accademia degli Ardenti di Napoli,Accademia degli Ardenti di Napoli.md,EWJ5DDPUUKY3,257869711570112256250,location,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/bpRYamR8DUKq,Napoli,,,,,,,,
Organisation,Accademia degli Ardenti di Napoli,,,Accademia degli Ardenti di Napoli,Accademia degli Ardenti di Napoli.md,EWJ5DDPUUKY3,257869711570112256250,official_website,,,,,,,,,,,,,,,,,,,
Organisation,Accademia degli Ardenti di Napoli,,,Accademia degli Ardenti di Napoli,Accademia degli Ardenti di Napoli.md,EWJ5DDPUUKY3,257869711570112256250,catalog_identifier,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/99XEoHF9WPng', 'label': 'Italian Academies Database'}",39.0,,,,,
Organisation,Accademia degli Ardenti di Napoli,,,Accademia degli Ardenti di Napoli,Accademia degli Ardenti di Napoli.md,EWJ5DDPUUKY3,257869711570112256250,member,,,,,,,,,,,,,,,,,,,
Organisation,Accademia degli Ardenti di Napoli,,,Accademia degli Ardenti di Napoli,Accademia degli Ardenti di Napoli.md,EWJ5DDPUUKY3,257869711570112256250,interested_in,,,,,,,,,,,,,,,,,,,
Organisation,Accademia degli Ardenti di Napoli,,,Accademia degli Ardenti di Napoli,Accademia degli Ardenti di Napoli.md,EWJ5DDPUUKY3,257869711570112256250,notable_work,,,,,,,,,,,,,,,,,,,
Organisation,Accademia degli Ardenti di Napoli,,,Accademia degli Ardenti di Napoli,Accademia degli Ardenti di Napoli.md,EWJ5DDPUUKY3,257869711570112256250,related_to,,,,,,,,,,,,,,,,,,,
Organisation,Accademia degli Ardenti di Napoli,,,Accademia degli Ardenti di Napoli,Accademia degli Ardenti di Napoli.md,EWJ5DDPUUKY3,257869711570112256250,motto,,,,,,,,,,,,,,,,,,,
