class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,title_value,inception_value,has_version_publisher,has_version_place_of_publication,has_version_publication_date,has_version_permalink,has_version_note,has_version_external_source,contributor_role,contributor_value,contributor_label,subject_value,has_part_value,instrumentation_quantity,instrumentation_value,instrumentation_label
NotatedMusic,Canzonette a tre voci del signor Tomaso Pecci. Libro primo,,,Canzonette a tre voci del signor Tomaso Pecci. Libro primo,Canzonette a tre voci del signor Tomaso Pecci. Libro primo.md,B6G5YstxpYcR,187260547476173444738,identifier,https://repim.itatti.harvard.edu/resource/?uri=http%3A%2F%2Frepim.unibo.it%2Fresource%2FBOOK%2FNV15960010,,,,,,,,,,,,,,,,,,,,
NotatedMusic,Canzonette a tre voci del signor Tomaso Pecci. Libro primo,,,Canzonette a tre voci del signor Tomaso Pecci. Libro primo,Canzonette a tre voci del signor Tomaso Pecci. Libro primo.md,B6G5YstxpYcR,187260547476173444738,identifier,https://rism.online/sources/990048692,,,,,,,,,,,,,,,,,,,,
NotatedMusic,Canzonette a tre voci del signor Tomaso Pecci. Libro primo,,,Canzonette a tre voci del signor Tomaso Pecci. Libro primo,Canzonette a tre voci del signor Tomaso Pecci. Libro primo.md,B6G5YstxpYcR,187260547476173444738,identifier,http://id.sbn.it/bid/MUS0156575,,,,,,,,,,,,,,,,,,,,
NotatedMusic,Canzonette a tre voci del signor Tomaso Pecci. Libro primo,,,Canzonette a tre voci del signor Tomaso Pecci. Libro primo,Canzonette a tre voci del signor Tomaso Pecci. Libro primo.md,B6G5YstxpYcR,187260547476173444738,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/dM6ceQfzK2pQ,RePIM,,,,,,,,,,,,,,,,,,
NotatedMusic,Canzonette a tre voci del signor Tomaso Pecci. Libro primo,,,Canzonette a tre voci del signor Tomaso Pecci. Libro primo,Canzonette a tre voci del signor Tomaso Pecci. Libro primo.md,B6G5YstxpYcR,187260547476173444738,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/N6jMCTymbADK,partbook,,,,,,,,,,,,,,,,
NotatedMusic,Canzonette a tre voci del signor Tomaso Pecci. Libro primo,,,Canzonette a tre voci del signor Tomaso Pecci. Libro primo,Canzonette a tre voci del signor Tomaso Pecci. Libro primo.md,B6G5YstxpYcR,187260547476173444738,title,,,,,,Canzonette a tre voci del signor Tomaso Pecci gentil'huomo sanese. Novamente composte & date in luce. Libro Primo.,,,,,,,,,,,,,,,
NotatedMusic,Canzonette a tre voci del signor Tomaso Pecci. Libro primo,,,Canzonette a tre voci del signor Tomaso Pecci. Libro primo,Canzonette a tre voci del signor Tomaso Pecci. Libro primo.md,B6G5YstxpYcR,187260547476173444738,inception,,,,,,,1603.0,,,,,,,,,,,,,,
NotatedMusic,Canzonette a tre voci del signor Tomaso Pecci. Libro primo,,,Canzonette a tre voci del signor Tomaso Pecci. Libro primo,Canzonette a tre voci del signor Tomaso Pecci. Libro primo.md,B6G5YstxpYcR,187260547476173444738,has_version,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/JKRGSeVa7GaK', 'label': 'Pierre Phalèse the Younger'}","[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/hke846QYoVbD', 'label': 'Antwerpen'}]",1624.0,https://libcatalog.ugent.be/permalink/32RUG_INST/klssi4/alma990012376600409161,Separate links for each partbook,https://books.google.be/books?id=xthNAAAAcAAJ,,,,,,,,
NotatedMusic,Canzonette a tre voci del signor Tomaso Pecci. Libro primo,,,Canzonette a tre voci del signor Tomaso Pecci. Libro primo,Canzonette a tre voci del signor Tomaso Pecci. Libro primo.md,B6G5YstxpYcR,187260547476173444738,has_version,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/BH2jtMMUakEo', 'label': 'Giacomo Vincenti'}","[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/f43HawKudsFv', 'label': 'Venezia'}]",1603.0,http://id.sbn.it/bid/MUS0156575,,http://www.bibliotecamusica.it/cmbm/viewschedatwbca.asp?path=/cmbm/images/ripro/gaspari/_U/U037/,,,,,,,,
NotatedMusic,Canzonette a tre voci del signor Tomaso Pecci. Libro primo,,,Canzonette a tre voci del signor Tomaso Pecci. Libro primo,Canzonette a tre voci del signor Tomaso Pecci. Libro primo.md,B6G5YstxpYcR,187260547476173444738,contributor,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/TCeZCdc6eEA9', 'label': 'Tommaso Pecci'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/LeNVLHNHKPVp,composer,,,,,
NotatedMusic,Canzonette a tre voci del signor Tomaso Pecci. Libro primo,,,Canzonette a tre voci del signor Tomaso Pecci. Libro primo,Canzonette a tre voci del signor Tomaso Pecci. Libro primo.md,B6G5YstxpYcR,187260547476173444738,subject,,,,,,,,,,,,,,,,,,,,,
NotatedMusic,Canzonette a tre voci del signor Tomaso Pecci. Libro primo,,,Canzonette a tre voci del signor Tomaso Pecci. Libro primo,Canzonette a tre voci del signor Tomaso Pecci. Libro primo.md,B6G5YstxpYcR,187260547476173444738,has_part,,,,,,,,,,,,,,,,,,,,,
NotatedMusic,Canzonette a tre voci del signor Tomaso Pecci. Libro primo,,,Canzonette a tre voci del signor Tomaso Pecci. Libro primo,Canzonette a tre voci del signor Tomaso Pecci. Libro primo.md,B6G5YstxpYcR,187260547476173444738,instrumentation,,,,,,,,,,,,,,,,,,,1.0,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/kSRFAFQb4mfa,bassus
NotatedMusic,Canzonette a tre voci del signor Tomaso Pecci. Libro primo,,,Canzonette a tre voci del signor Tomaso Pecci. Libro primo,Canzonette a tre voci del signor Tomaso Pecci. Libro primo.md,B6G5YstxpYcR,187260547476173444738,instrumentation,,,,,,,,,,,,,,,,,,,2.0,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/6xVaVEAi3tdM,cantus
