class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,title_value,inception_value,has_version_publisher,has_version_publication_date,has_version_place_of_publication,has_version_holding_institution,has_version_external_source,has_version_permalink,has_version_IIIF_manifest,contributor_role,contributor_value,contributor_label,subject_value,subject_label,has_part_value,based_on_value
Book,La Venetia edificata,,,La Venetia edificata,La Venetia edificata.md,RBjLHYzDaM5j,478146443574267885722,identifier,http://id.sbn.it/bid/VEAE003647,,,,,,,,,,,,,,,,,,,
Book,La Venetia edificata,,,La Venetia edificata,La Venetia edificata.md,RBjLHYzDaM5j,478146443574267885722,described_by_source,,,,,,,,,,,,,,,,,,,,
Book,La Venetia edificata,,,La Venetia edificata,La Venetia edificata.md,RBjLHYzDaM5j,478146443574267885722,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/CrKoHGLhLE34,chivalric poem,,,,,,,,,,,,,,,,
Book,La Venetia edificata,,,La Venetia edificata,La Venetia edificata.md,RBjLHYzDaM5j,478146443574267885722,title,,,,,La Venetia edificata poema eroico di Giulio Strozzi,,,,,,,,,,,,,,,
Book,La Venetia edificata,,,La Venetia edificata,La Venetia edificata.md,RBjLHYzDaM5j,478146443574267885722,inception,,,,,,1621.0,,,,,,,,,,,,,,
Book,La Venetia edificata,,,La Venetia edificata,La Venetia edificata.md,RBjLHYzDaM5j,478146443574267885722,has_version,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/mBuz2DVvb28R', 'label': 'Giovanni Battista Ciotti'}",1621.0,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/f43HawKudsFv', 'label': 'Venezia'}]","{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Vr34aVTZvrrW', 'label': 'Munich Digitization Center'}",https://www.digitale-sammlungen.de/en/view/bsb10758155,http://id.sbn.it/bid/VEAE003647,https://api.digitale-sammlungen.de/iiif/presentation/v2/bsb10758155/manifest,,,,,,,
Book,La Venetia edificata,,,La Venetia edificata,La Venetia edificata.md,RBjLHYzDaM5j,478146443574267885722,contributor,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/KbRyHy5gL3JT', 'label': 'engraver'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/TzPRkMEoLjWp,Francesco Valesio,,,,
Book,La Venetia edificata,,,La Venetia edificata,La Venetia edificata.md,RBjLHYzDaM5j,478146443574267885722,contributor,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UHzA5avQDdMJ', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Wyd2YHjqWKjo,Giulio Strozzi,,,,
Book,La Venetia edificata,,,La Venetia edificata,La Venetia edificata.md,RBjLHYzDaM5j,478146443574267885722,subject,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/f43HawKudsFv,Venezia,,
Book,La Venetia edificata,,,La Venetia edificata,La Venetia edificata.md,RBjLHYzDaM5j,478146443574267885722,has_part,,,,,,,,,,,,,,,,,,,,
Book,La Venetia edificata,,,La Venetia edificata,La Venetia edificata.md,RBjLHYzDaM5j,478146443574267885722,based_on,,,,,,,,,,,,,,,,,,,,
