class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,title_value,inception_sourcing_circumstances,inception_value,inception_reference,has_version_value,contributor_role,contributor_value,contributor_label,subject_value,has_part_value,based_on_value
Book,Partenia,A complete bilingual edition from a manuscript held in Cremona has been released in 2013 as part of the,,Partenia,Partenia.md,8mcj2qHWCMLR,139603352534083665140,identifier,,,,,,,,,,,,,,,,
Book,Partenia,A complete bilingual edition from a manuscript held in Cremona has been released in 2013 as part of the,,Partenia,Partenia.md,8mcj2qHWCMLR,139603352534083665140,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/T9A9Qv8Z2mX8,(Sampson 2020),,,,,,,,,,,,,
Book,Partenia,A complete bilingual edition from a manuscript held in Cremona has been released in 2013 as part of the,,Partenia,Partenia.md,8mcj2qHWCMLR,139603352534083665140,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/7jZE4VprxTDS,(Torelli Benedetti 2013),,,,,,,,,,,,,
Book,Partenia,A complete bilingual edition from a manuscript held in Cremona has been released in 2013 as part of the,,Partenia,Partenia.md,8mcj2qHWCMLR,139603352534083665140,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/XmDmGAMTyDeA,manuscript,,,,,,,,,,,
Book,Partenia,A complete bilingual edition from a manuscript held in Cremona has been released in 2013 as part of the,,Partenia,Partenia.md,8mcj2qHWCMLR,139603352534083665140,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/AYqoxRbyDh4i,pastoral drama,,,,,,,,,,,
Book,Partenia,A complete bilingual edition from a manuscript held in Cremona has been released in 2013 as part of the,,Partenia,Partenia.md,8mcj2qHWCMLR,139603352534083665140,title,,,,,,,,,,,,,,,,
Book,Partenia,A complete bilingual edition from a manuscript held in Cremona has been released in 2013 as part of the,,Partenia,Partenia.md,8mcj2qHWCMLR,139603352534083665140,inception,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/QWmtzgCRQ9wY', 'label': 'circa'}",1586.0,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/7jZE4VprxTDS', 'label': '(Torelli Benedetti 2013)'}]",,,,,,,
Book,Partenia,A complete bilingual edition from a manuscript held in Cremona has been released in 2013 as part of the,,Partenia,Partenia.md,8mcj2qHWCMLR,139603352534083665140,has_version,,,,,,,,,,,,,,,,
Book,Partenia,A complete bilingual edition from a manuscript held in Cremona has been released in 2013 as part of the,,Partenia,Partenia.md,8mcj2qHWCMLR,139603352534083665140,contributor,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UHzA5avQDdMJ', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/ksGcW9hPLv6x,Barbara Torelli Benedetti,,,
Book,Partenia,A complete bilingual edition from a manuscript held in Cremona has been released in 2013 as part of the,,Partenia,Partenia.md,8mcj2qHWCMLR,139603352534083665140,subject,,,,,,,,,,,,,,,,
Book,Partenia,A complete bilingual edition from a manuscript held in Cremona has been released in 2013 as part of the,,Partenia,Partenia.md,8mcj2qHWCMLR,139603352534083665140,has_part,,,,,,,,,,,,,,,,
Book,Partenia,A complete bilingual edition from a manuscript held in Cremona has been released in 2013 as part of the,,Partenia,Partenia.md,8mcj2qHWCMLR,139603352534083665140,based_on,,,,,,,,,,,,,,,,
