class,label,description,aliases,base_name,filename,id,n_id,property,identifier_https,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,contributor_role,contributor_value,contributor_label,part_of_section,part_of_pages,part_of_value,part_of_label,based_on_value,derivative_work_value,subject_value,subject_label,poetic_type_value,poetic_type_label,metre_value,metre_label,depicts_value,depicts_label,language_value,language_label,text_value
PoeticWork,Al'apparir del Sole,,,Al'apparir del Sole,Al'apparir del Sole.md,Kvz8L72mHviv,369992417222024115364,identifier,//repim.itatti.harvard.edu/resource/?uri=http%3A%2F%2Frepim.unibo.it%2Fresource%2FWORK%2F000520000101_PPPP00011000C,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Al'apparir del Sole,,,Al'apparir del Sole,Al'apparir del Sole.md,Kvz8L72mHviv,369992417222024115364,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/dM6ceQfzK2pQ,RePIM,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Al'apparir del Sole,,,Al'apparir del Sole,Al'apparir del Sole.md,Kvz8L72mHviv,369992417222024115364,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Wvnraxko77uh,poem,,,,,,,,,,,,,,,,,,,,
PoeticWork,Al'apparir del Sole,,,Al'apparir del Sole,Al'apparir del Sole.md,Kvz8L72mHviv,369992417222024115364,contributor,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UHzA5avQDdMJ', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/ke7Y8iiuR8Rg,Isabella Andreini,,,,,,,,,,,,,,,,,
PoeticWork,Al'apparir del Sole,,,Al'apparir del Sole,Al'apparir del Sole.md,Kvz8L72mHviv,369992417222024115364,part_of,,,,,,,,,Mad. XV,39.0,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/ntSDGzZoi2Eb,Rime d'Isabella Andreini padovana comica Gelosa,,,,,,,,,,,,,
PoeticWork,Al'apparir del Sole,,,Al'apparir del Sole,Al'apparir del Sole.md,Kvz8L72mHviv,369992417222024115364,based_on,,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Al'apparir del Sole,,,Al'apparir del Sole,Al'apparir del Sole.md,Kvz8L72mHviv,369992417222024115364,derivative_work,,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Al'apparir del Sole,,,Al'apparir del Sole,Al'apparir del Sole.md,Kvz8L72mHviv,369992417222024115364,subject,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/WziXzP4KdMYo,alchemy,,,,,,,,,
PoeticWork,Al'apparir del Sole,,,Al'apparir del Sole,Al'apparir del Sole.md,Kvz8L72mHviv,369992417222024115364,subject,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/RxPzK5AT4e8P,longing,,,,,,,,,
PoeticWork,Al'apparir del Sole,,,Al'apparir del Sole,Al'apparir del Sole.md,Kvz8L72mHviv,369992417222024115364,poetic_type,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/LEWu9yEF83UP,madrigale,,,,,,,
PoeticWork,Al'apparir del Sole,,,Al'apparir del Sole,Al'apparir del Sole.md,Kvz8L72mHviv,369992417222024115364,metre,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/FPYzaHuDcPWK,hendecasyllable,,,,,
PoeticWork,Al'apparir del Sole,,,Al'apparir del Sole,Al'apparir del Sole.md,Kvz8L72mHviv,369992417222024115364,metre,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/YZkrDgDqrsaF,heptasyllable,,,,,
PoeticWork,Al'apparir del Sole,,,Al'apparir del Sole,Al'apparir del Sole.md,Kvz8L72mHviv,369992417222024115364,depicts,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Suq86ApyHSzQ,weeping,,,
PoeticWork,Al'apparir del Sole,,,Al'apparir del Sole,Al'apparir del Sole.md,Kvz8L72mHviv,369992417222024115364,depicts,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Rkqg3J6afECo,ice,,,
PoeticWork,Al'apparir del Sole,,,Al'apparir del Sole,Al'apparir del Sole.md,Kvz8L72mHviv,369992417222024115364,depicts,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/d6Scakn6F3bd,Sun,,,
PoeticWork,Al'apparir del Sole,,,Al'apparir del Sole,Al'apparir del Sole.md,Kvz8L72mHviv,369992417222024115364,language,,,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/nKCWTNSaUJQU,Italian,
PoeticWork,Al'apparir del Sole,,,Al'apparir del Sole,Al'apparir del Sole.md,Kvz8L72mHviv,369992417222024115364,text,,,,,,,,,,,,,,,,,,,,,,,,,"Al’apparir del Sole
La neve in liquid'onde
Per sua natura distillar si suole.
Io (lassa) quando il mio bel Sol s’asconde
Verso da gli occhi tanto
Humor, che tutta mi distillo in pianto."
