class,base_name,filename,label,id,n_id,property,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,work_location_label,member_of_value,occupation_value,occupation_label,related_to_value,notable_work_value,interested_in_value,catalog_identifier_value,present_in_work_value
Agent,Pietro Vinci,Pietro Vinci.md,Pietro Vinci,7foFM4iCJ8um,116862034331975213743,instance_of,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GB3DPeNtxqwb,human,,,,,,,,,,,,
Agent,Pietro Vinci,Pietro Vinci.md,Pietro Vinci,7foFM4iCJ8um,116862034331975213743,gender,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5bZY447EzsJq,male,,,,,,,,,,
Agent,Pietro Vinci,Pietro Vinci.md,Pietro Vinci,7foFM4iCJ8um,116862034331975213743,work_location,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/QhXTZwxob5AG,Parma,,,,,,,,
Agent,Pietro Vinci,Pietro Vinci.md,Pietro Vinci,7foFM4iCJ8um,116862034331975213743,member_of,,,,,,,,,,,,,,
Agent,Pietro Vinci,Pietro Vinci.md,Pietro Vinci,7foFM4iCJ8um,116862034331975213743,occupation,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/LeNVLHNHKPVp,composer,,,,,
Agent,Pietro Vinci,Pietro Vinci.md,Pietro Vinci,7foFM4iCJ8um,116862034331975213743,related_to,,,,,,,,,,,,,,
Agent,Pietro Vinci,Pietro Vinci.md,Pietro Vinci,7foFM4iCJ8um,116862034331975213743,notable_work,,,,,,,,,,,,,,
Agent,Pietro Vinci,Pietro Vinci.md,Pietro Vinci,7foFM4iCJ8um,116862034331975213743,interested_in,,,,,,,,,,,,,,
Agent,Pietro Vinci,Pietro Vinci.md,Pietro Vinci,7foFM4iCJ8um,116862034331975213743,catalog_identifier,,,,,,,,,,,,,,
Agent,Pietro Vinci,Pietro Vinci.md,Pietro Vinci,7foFM4iCJ8um,116862034331975213743,present_in_work,,,,,,,,,,,,,,
