class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,work_location_label,member_of_value,member_of_reference,member_of_label,member_of_role,occupation_value,occupation_label,related_to_value,related_to_relationship,related_to_reference,related_to_label,notable_work_value,interested_in_value,interested_in_reference,interested_in_label,catalog_identifier_source,catalog_identifier_value,present_in_work_value
Agent,Fortunato Martinengo Cesaresco,,,Fortunato Martinengo Cesaresco,Fortunato Martinengo Cesaresco.md,UoNnKvS6oS98,552956864287857433074,identifier,http://www.wikidata.org/entity/Q132184356,,,,,,,,,,,,,,,,,,,,,,,,,
Agent,Fortunato Martinengo Cesaresco,,,Fortunato Martinengo Cesaresco,Fortunato Martinengo Cesaresco.md,UoNnKvS6oS98,552956864287857433074,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/DJam8o3efkSd,(Faini 2020),,,,,,,,,,,,,,,,,,,,,,,
Agent,Fortunato Martinengo Cesaresco,,,Fortunato Martinengo Cesaresco,Fortunato Martinengo Cesaresco.md,UoNnKvS6oS98,552956864287857433074,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GB3DPeNtxqwb,human,,,,,,,,,,,,,,,,,,,,,
Agent,Fortunato Martinengo Cesaresco,,,Fortunato Martinengo Cesaresco,Fortunato Martinengo Cesaresco.md,UoNnKvS6oS98,552956864287857433074,gender,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5bZY447EzsJq,male,,,,,,,,,,,,,,,,,,,
Agent,Fortunato Martinengo Cesaresco,,,Fortunato Martinengo Cesaresco,Fortunato Martinengo Cesaresco.md,UoNnKvS6oS98,552956864287857433074,work_location,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/f43HawKudsFv,Venezia,,,,,,,,,,,,,,,,,
Agent,Fortunato Martinengo Cesaresco,,,Fortunato Martinengo Cesaresco,Fortunato Martinengo Cesaresco.md,UoNnKvS6oS98,552956864287857433074,member_of,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/g2R3u7aKbMYE,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/DJam8o3efkSd', 'label': '(Faini 2020)'}]",Accademia dei Sereni di Napoli,,,,,,,,,,,,,,
Agent,Fortunato Martinengo Cesaresco,,,Fortunato Martinengo Cesaresco,Fortunato Martinengo Cesaresco.md,UoNnKvS6oS98,552956864287857433074,member_of,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/9X7SmTENZRVk,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/DJam8o3efkSd', 'label': '(Faini 2020)'}]",Accademia degli Infiammati di Padova,,,,,,,,,,,,,,
Agent,Fortunato Martinengo Cesaresco,,,Fortunato Martinengo Cesaresco,Fortunato Martinengo Cesaresco.md,UoNnKvS6oS98,552956864287857433074,member_of,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/maA7SzVynMx7,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/DJam8o3efkSd', 'label': '(Faini 2020)'}]",Accademia dei Dubbiosi di Venezia,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/QJd3XfmEAuxc', 'label': 'founder'}",,,,,,,,,,,,,
Agent,Fortunato Martinengo Cesaresco,,,Fortunato Martinengo Cesaresco,Fortunato Martinengo Cesaresco.md,UoNnKvS6oS98,552956864287857433074,occupation,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/F4KLdoEW9rAv,patron of the arts,,,,,,,,,,,
Agent,Fortunato Martinengo Cesaresco,,,Fortunato Martinengo Cesaresco,Fortunato Martinengo Cesaresco.md,UoNnKvS6oS98,552956864287857433074,related_to,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/3KxURtKJVxAF,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/jpj9Gp4R6veD', 'label': 'friend'}","[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/DJam8o3efkSd', 'label': '(Faini 2020)'}]",Pietro Aretino,,,,,,,
