class,aliases,base_name,filename,label,id,n_id,property,instance_of_value,instance_of_label,title_value,inception_value,inception_reference,has_version_IIIF_manifest,has_version_publication_date,has_version_place_of_publication,has_version_permalink,has_version_external_source,has_version_publisher,contributor_role,contributor_value,contributor_label,subject_value,subject_label,based_on_value,catalog_identifier_value,has_part_value,depicts_value,depicts_label,identifier_value,described_by_source_value,described_by_source_label
Book,"['Eroici furori', ""De gl'heroici furori""]",De gli eroici furori,De gli eroici furori.md,De gli eroici furori,NaH87wQeSvh2,424399016577571003944,instance_of,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/m7L8ASjPN8nA,treatise,,,,,,,,,,,,,,,,,,,,,,
Book,"['Eroici furori', ""De gl'heroici furori""]",De gli eroici furori,De gli eroici furori.md,De gli eroici furori,NaH87wQeSvh2,424399016577571003944,instance_of,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/BgmxnNpBupRa,dialogue,,,,,,,,,,,,,,,,,,,,,,
Book,"['Eroici furori', ""De gl'heroici furori""]",De gli eroici furori,De gli eroici furori.md,De gli eroici furori,NaH87wQeSvh2,424399016577571003944,title,,,Giordano Bruno Nolano. De gl'heroici furori,,,,,,,,,,,,,,,,,,,,,
Book,"['Eroici furori', ""De gl'heroici furori""]",De gli eroici furori,De gli eroici furori.md,De gli eroici furori,NaH87wQeSvh2,424399016577571003944,inception,,,,1583.0,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/V863VaniCEeW', 'label': '(Yates 1964)'}, {'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/gPbPASvGPG6h', 'label': '(Canone 2007)'}]",,,,,,,,,,,,,,,,,,,
Book,"['Eroici furori', ""De gl'heroici furori""]",De gli eroici furori,De gli eroici furori.md,De gli eroici furori,NaH87wQeSvh2,424399016577571003944,has_version,,,,,,https://api.digitale-sammlungen.de/iiif/presentation/v2/bsb10857258/manifest,1585.0,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/dhbQrFWynqRh', 'label': 'Paris'}]",https://mdz-nbn-resolving.de/details:bsb10857258,https://www.digitale-sammlungen.de/en/view/bsb10857258,,,,,,,,,,,,,,
Book,"['Eroici furori', ""De gl'heroici furori""]",De gli eroici furori,De gli eroici furori.md,De gli eroici furori,NaH87wQeSvh2,424399016577571003944,has_version,,,,,,,1585.0,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/dhbQrFWynqRh', 'label': 'Paris'}, {'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/cbfXQVLz7Pey', 'label': 'London'}]",https://edit16.iccu.sbn.it/titolo/CNCE007714,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/n2tqChZSQcZQ', 'label': 'John Charlewood'}",,,,,,,,,,,,,
Book,"['Eroici furori', ""De gl'heroici furori""]",De gli eroici furori,De gli eroici furori.md,De gli eroici furori,NaH87wQeSvh2,424399016577571003944,contributor,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UHzA5avQDdMJ', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/2brEqdcLsYfo,Giordano Bruno,,,,,,,,,,
Book,"['Eroici furori', ""De gl'heroici furori""]",De gli eroici furori,De gli eroici furori.md,De gli eroici furori,NaH87wQeSvh2,424399016577571003944,subject,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/mKfEc82yh2qM,philosophy,,,,,,,,
Book,"['Eroici furori', ""De gl'heroici furori""]",De gli eroici furori,De gli eroici furori.md,De gli eroici furori,NaH87wQeSvh2,424399016577571003944,subject,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/BvVWzBztq38s,poetry,,,,,,,,
Book,"['Eroici furori', ""De gl'heroici furori""]",De gli eroici furori,De gli eroici furori.md,De gli eroici furori,NaH87wQeSvh2,424399016577571003944,subject,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/bGgi5LAfFQE3,hermeticism,,,,,,,,
Book,"['Eroici furori', ""De gl'heroici furori""]",De gli eroici furori,De gli eroici furori.md,De gli eroici furori,NaH87wQeSvh2,424399016577571003944,based_on,,,,,,,,,,,,,,,,,,,,,,,,
Book,"['Eroici furori', ""De gl'heroici furori""]",De gli eroici furori,De gli eroici furori.md,De gli eroici furori,NaH87wQeSvh2,424399016577571003944,catalog_identifier,,,,,,,,,,,,,,,,,,,,,,,,
Book,"['Eroici furori', ""De gl'heroici furori""]",De gli eroici furori,De gli eroici furori.md,De gli eroici furori,NaH87wQeSvh2,424399016577571003944,has_part,,,,,,,,,,,,,,,,,,,,,,,,
Book,"['Eroici furori', ""De gl'heroici furori""]",De gli eroici furori,De gli eroici furori.md,De gli eroici furori,NaH87wQeSvh2,424399016577571003944,depicts,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/QG8DUy9nrgZ9,Luigi Transillo,,,
Book,"['Eroici furori', ""De gl'heroici furori""]",De gli eroici furori,De gli eroici furori.md,De gli eroici furori,NaH87wQeSvh2,424399016577571003944,identifier,,,,,,,,,,,,,,,,,,,,,,https://edit16.iccu.sbn.it/titolo/CNCE007714,,
Book,"['Eroici furori', ""De gl'heroici furori""]",De gli eroici furori,De gli eroici furori.md,De gli eroici furori,NaH87wQeSvh2,424399016577571003944,described_by_source,,,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/gPbPASvGPG6h,(Canone 2007)
Book,"['Eroici furori', ""De gl'heroici furori""]",De gli eroici furori,De gli eroici furori.md,De gli eroici furori,NaH87wQeSvh2,424399016577571003944,described_by_source,,,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/V863VaniCEeW,(Yates 1964)
