class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,inception_value,inception_reference,dissolved_value,location_value,location_label,official_website_value,catalog_identifier_source,catalog_identifier_value,member_value,interested_in_value,notable_work_value,related_to_value,motto_value,motto_reference
Organisation,Accademia degli Intenti di Pavia,,,Accademia degli Intenti di Pavia,Accademia degli Intenti di Pavia.md,8hZp9HQiGCja,138136734559310877623,identifier,,,,,,,,,,,,,,,,,,
Organisation,Accademia degli Intenti di Pavia,,,Accademia degli Intenti di Pavia,Accademia degli Intenti di Pavia.md,8hZp9HQiGCja,138136734559310877623,described_by_source,,,,,,,,,,,,,,,,,,
Organisation,Accademia degli Intenti di Pavia,,,Accademia degli Intenti di Pavia,Accademia degli Intenti di Pavia.md,8hZp9HQiGCja,138136734559310877623,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/faKgxGgth5dr,academy,,,,,,,,,,,,,,
Organisation,Accademia degli Intenti di Pavia,,,Accademia degli Intenti di Pavia,Accademia degli Intenti di Pavia.md,8hZp9HQiGCja,138136734559310877623,inception,,,,,1593.0,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/DoWoU567wmiV', 'label': 'Italian Academies Database'}]",,,,,,,,,,,,
Organisation,Accademia degli Intenti di Pavia,,,Accademia degli Intenti di Pavia,Accademia degli Intenti di Pavia.md,8hZp9HQiGCja,138136734559310877623,dissolved,,,,,,,,,,,,,,,,,,
Organisation,Accademia degli Intenti di Pavia,,,Accademia degli Intenti di Pavia,Accademia degli Intenti di Pavia.md,8hZp9HQiGCja,138136734559310877623,location,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/SQTa5GhBDAkg,Pavia,,,,,,,,,
Organisation,Accademia degli Intenti di Pavia,,,Accademia degli Intenti di Pavia,Accademia degli Intenti di Pavia.md,8hZp9HQiGCja,138136734559310877623,official_website,,,,,,,,,,,,,,,,,,
Organisation,Accademia degli Intenti di Pavia,,,Accademia degli Intenti di Pavia,Accademia degli Intenti di Pavia.md,8hZp9HQiGCja,138136734559310877623,catalog_identifier,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/DoWoU567wmiV', 'label': 'Italian Academies Database'}",163.0,,,,,,
Organisation,Accademia degli Intenti di Pavia,,,Accademia degli Intenti di Pavia,Accademia degli Intenti di Pavia.md,8hZp9HQiGCja,138136734559310877623,member,,,,,,,,,,,,,,,,,,
Organisation,Accademia degli Intenti di Pavia,,,Accademia degli Intenti di Pavia,Accademia degli Intenti di Pavia.md,8hZp9HQiGCja,138136734559310877623,interested_in,,,,,,,,,,,,,,,,,,
Organisation,Accademia degli Intenti di Pavia,,,Accademia degli Intenti di Pavia,Accademia degli Intenti di Pavia.md,8hZp9HQiGCja,138136734559310877623,notable_work,,,,,,,,,,,,,,,,,,
Organisation,Accademia degli Intenti di Pavia,,,Accademia degli Intenti di Pavia,Accademia degli Intenti di Pavia.md,8hZp9HQiGCja,138136734559310877623,related_to,,,,,,,,,,,,,,,,,,
Organisation,Accademia degli Intenti di Pavia,,,Accademia degli Intenti di Pavia,Accademia degli Intenti di Pavia.md,8hZp9HQiGCja,138136734559310877623,motto,,,,,,,,,,,,,,,,,Per mutua nixi,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/DoWoU567wmiV', 'label': 'Italian Academies Database'}]"
