class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,member_of_value,member_of_reference,member_of_label,occupation_value,occupation_label,related_to_value,notable_work_value,interested_in_value,catalog_identifier_value
Agent,Bartolomeo Zucchi,,,Bartolomeo Zucchi,Bartolomeo Zucchi.md,SMFVnuxrqTag,502225896120985535606,identifier,http://www.wikidata.org/entity/Q2886104,,,,,,,,,,,,,,,
Agent,Bartolomeo Zucchi,,,Bartolomeo Zucchi,Bartolomeo Zucchi.md,SMFVnuxrqTag,502225896120985535606,described_by_source,,,,,,,,,,,,,,,,
Agent,Bartolomeo Zucchi,,,Bartolomeo Zucchi,Bartolomeo Zucchi.md,SMFVnuxrqTag,502225896120985535606,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/U7bj4Jz7sSuU,human,,,,,,,,,,,,
Agent,Bartolomeo Zucchi,,,Bartolomeo Zucchi,Bartolomeo Zucchi.md,SMFVnuxrqTag,502225896120985535606,gender,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Sw8LauTZqpYZ,male,,,,,,,,,,
Agent,Bartolomeo Zucchi,,,Bartolomeo Zucchi,Bartolomeo Zucchi.md,SMFVnuxrqTag,502225896120985535606,work_location,,,,,,,,,,,,,,,,
Agent,Bartolomeo Zucchi,,,Bartolomeo Zucchi,Bartolomeo Zucchi.md,SMFVnuxrqTag,502225896120985535606,member_of,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/htvvES2xJL7N,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/6o7ptgSPFKW7', 'label': '(Moralejo Ortega 2017)'}]",Accademia degli Insensati di Perugia,,,,,,
Agent,Bartolomeo Zucchi,,,Bartolomeo Zucchi,Bartolomeo Zucchi.md,SMFVnuxrqTag,502225896120985535606,occupation,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Tp8Vv7L76ygP,historian,,,,
Agent,Bartolomeo Zucchi,,,Bartolomeo Zucchi,Bartolomeo Zucchi.md,SMFVnuxrqTag,502225896120985535606,related_to,,,,,,,,,,,,,,,,
Agent,Bartolomeo Zucchi,,,Bartolomeo Zucchi,Bartolomeo Zucchi.md,SMFVnuxrqTag,502225896120985535606,notable_work,,,,,,,,,,,,,,,,
Agent,Bartolomeo Zucchi,,,Bartolomeo Zucchi,Bartolomeo Zucchi.md,SMFVnuxrqTag,502225896120985535606,interested_in,,,,,,,,,,,,,,,,
Agent,Bartolomeo Zucchi,,,Bartolomeo Zucchi,Bartolomeo Zucchi.md,SMFVnuxrqTag,502225896120985535606,catalog_identifier,,,,,,,,,,,,,,,,
