class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,work_location_label,member_of_value,member_of_start_date,member_of_reference,member_of_label,occupation_value,occupation_label,related_to_value,notable_work_value,interested_in_value,catalog_identifier_value
Agent,Leandro Bovarini,,,Leandro Bovarini,Leandro Bovarini.md,dDWhRgLe4fNW,726421095851520270859,identifier,http://www.wikidata.org/entity/Q18945590,,,,,,,,,,,,,,,,,
Agent,Leandro Bovarini,,,Leandro Bovarini,Leandro Bovarini.md,dDWhRgLe4fNW,726421095851520270859,described_by_source,,,,,,,,,,,,,,,,,,
Agent,Leandro Bovarini,,,Leandro Bovarini,Leandro Bovarini.md,dDWhRgLe4fNW,726421095851520270859,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GB3DPeNtxqwb,human,,,,,,,,,,,,,,
Agent,Leandro Bovarini,,,Leandro Bovarini,Leandro Bovarini.md,dDWhRgLe4fNW,726421095851520270859,gender,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5bZY447EzsJq,male,,,,,,,,,,,,
Agent,Leandro Bovarini,,,Leandro Bovarini,Leandro Bovarini.md,dDWhRgLe4fNW,726421095851520270859,work_location,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/P5ipTFsK5dJG,Roma,,,,,,,,,,
Agent,Leandro Bovarini,,,Leandro Bovarini,Leandro Bovarini.md,dDWhRgLe4fNW,726421095851520270859,member_of,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/PE5uAEyVKtpe,1608.0,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/JjLg2AKb7hoK', 'label': '(Teza 2017)'}]",Accademia degli Umoristi di Roma,,,,,,
Agent,Leandro Bovarini,,,Leandro Bovarini,Leandro Bovarini.md,dDWhRgLe4fNW,726421095851520270859,member_of,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/PE5uAEyVKtpe,,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/JjLg2AKb7hoK', 'label': '(Teza 2017)'}]",Accademia degli Umoristi di Roma,,,,,,
Agent,Leandro Bovarini,,,Leandro Bovarini,Leandro Bovarini.md,dDWhRgLe4fNW,726421095851520270859,occupation,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/4AB2zhiGQJga,poet,,,,
Agent,Leandro Bovarini,,,Leandro Bovarini,Leandro Bovarini.md,dDWhRgLe4fNW,726421095851520270859,related_to,,,,,,,,,,,,,,,,,,
Agent,Leandro Bovarini,,,Leandro Bovarini,Leandro Bovarini.md,dDWhRgLe4fNW,726421095851520270859,notable_work,,,,,,,,,,,,,,,,,,
Agent,Leandro Bovarini,,,Leandro Bovarini,Leandro Bovarini.md,dDWhRgLe4fNW,726421095851520270859,interested_in,,,,,,,,,,,,,,,,,,
Agent,Leandro Bovarini,,,Leandro Bovarini,Leandro Bovarini.md,dDWhRgLe4fNW,726421095851520270859,catalog_identifier,,,,,,,,,,,,,,,,,,
