class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,member_of_value,member_of_reference,member_of_label,occupation_value,occupation_label,related_to_value,related_to_relationship,related_to_reference,related_to_label,notable_work_value,interested_in_value,catalog_identifier_source,catalog_identifier_value
Agent,Pietro Aretino,,['Flagello dei principi'],Pietro Aretino,Pietro Aretino.md,3YLGgR7kasRh,31612861238526946818,identifier,http://www.wikidata.org/entity/Q296272,,,,,,,,,,,,,,,,,,,
Agent,Pietro Aretino,,['Flagello dei principi'],Pietro Aretino,Pietro Aretino.md,3YLGgR7kasRh,31612861238526946818,described_by_source,,,,,,,,,,,,,,,,,,,,
Agent,Pietro Aretino,,['Flagello dei principi'],Pietro Aretino,Pietro Aretino.md,3YLGgR7kasRh,31612861238526946818,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/U7bj4Jz7sSuU,human,,,,,,,,,,,,,,,,
Agent,Pietro Aretino,,['Flagello dei principi'],Pietro Aretino,Pietro Aretino.md,3YLGgR7kasRh,31612861238526946818,gender,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Sw8LauTZqpYZ,male,,,,,,,,,,,,,,
Agent,Pietro Aretino,,['Flagello dei principi'],Pietro Aretino,Pietro Aretino.md,3YLGgR7kasRh,31612861238526946818,work_location,,,,,,,,,,,,,,,,,,,,
Agent,Pietro Aretino,,['Flagello dei principi'],Pietro Aretino,Pietro Aretino.md,3YLGgR7kasRh,31612861238526946818,member_of,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/jfbacU6KKbXB,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/99XEoHF9WPng', 'label': 'Italian Academies Database'}]",Accademia Veniera,,,,,,,,,,
Agent,Pietro Aretino,,['Flagello dei principi'],Pietro Aretino,Pietro Aretino.md,3YLGgR7kasRh,31612861238526946818,occupation,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/awZyTsJZqrUq,author,,,,,,,,
Agent,Pietro Aretino,,['Flagello dei principi'],Pietro Aretino,Pietro Aretino.md,3YLGgR7kasRh,31612861238526946818,related_to,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/FJaARznhrRx9,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/DNwzoKzW8Ew6', 'label': 'rival'}","[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/ZifaaoQeYVLT', 'label': '(Girotto 2017)'}]",Anton Francesco Doni,,,,
Agent,Pietro Aretino,,['Flagello dei principi'],Pietro Aretino,Pietro Aretino.md,3YLGgR7kasRh,31612861238526946818,notable_work,,,,,,,,,,,,,,,,,,,,
Agent,Pietro Aretino,,['Flagello dei principi'],Pietro Aretino,Pietro Aretino.md,3YLGgR7kasRh,31612861238526946818,interested_in,,,,,,,,,,,,,,,,,,,,
Agent,Pietro Aretino,,['Flagello dei principi'],Pietro Aretino,Pietro Aretino.md,3YLGgR7kasRh,31612861238526946818,catalog_identifier,,,,,,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/99XEoHF9WPng', 'label': 'Italian Academies Database'}",9231.0
