class,base_name,filename,label,id,n_id,property,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,member_of_value,member_of_reference,member_of_label,occupation_value,occupation_label,related_to_value,notable_work_value,notable_work_label,interested_in_value,catalog_identifier_value,present_in_work_value,identifier_value
Agent,Giovanni Maria Bonardo,Giovanni Maria Bonardo.md,Giovanni Maria Bonardo,U54h5JspdXgD,537636552317932341473,instance_of,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/U7bj4Jz7sSuU,human,,,,,,,,,,,,,,,
Agent,Giovanni Maria Bonardo,Giovanni Maria Bonardo.md,Giovanni Maria Bonardo,U54h5JspdXgD,537636552317932341473,gender,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Sw8LauTZqpYZ,male,,,,,,,,,,,,,
Agent,Giovanni Maria Bonardo,Giovanni Maria Bonardo.md,Giovanni Maria Bonardo,U54h5JspdXgD,537636552317932341473,work_location,,,,,,,,,,,,,,,,,
Agent,Giovanni Maria Bonardo,Giovanni Maria Bonardo.md,Giovanni Maria Bonardo,U54h5JspdXgD,537636552317932341473,member_of,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/FPwMwUsq27Kf,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/4Piy3NGohA88', 'label': '(Artese 1983)'}]",Compagnia dei Pastori Fratteggianti,,,,,,,,,
Agent,Giovanni Maria Bonardo,Giovanni Maria Bonardo.md,Giovanni Maria Bonardo,U54h5JspdXgD,537636552317932341473,occupation,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/YVAbik9eKVEW,poet,,,,,,,
Agent,Giovanni Maria Bonardo,Giovanni Maria Bonardo.md,Giovanni Maria Bonardo,U54h5JspdXgD,537636552317932341473,related_to,,,,,,,,,,,,,,,,,
Agent,Giovanni Maria Bonardo,Giovanni Maria Bonardo.md,Giovanni Maria Bonardo,U54h5JspdXgD,537636552317932341473,notable_work,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/iDJjy4U3Wogz,Madrigali del cavalier Gio. Maria Bonardo fratteggiano,,,,
Agent,Giovanni Maria Bonardo,Giovanni Maria Bonardo.md,Giovanni Maria Bonardo,U54h5JspdXgD,537636552317932341473,interested_in,,,,,,,,,,,,,,,,,
Agent,Giovanni Maria Bonardo,Giovanni Maria Bonardo.md,Giovanni Maria Bonardo,U54h5JspdXgD,537636552317932341473,catalog_identifier,,,,,,,,,,,,,,,,,
Agent,Giovanni Maria Bonardo,Giovanni Maria Bonardo.md,Giovanni Maria Bonardo,U54h5JspdXgD,537636552317932341473,present_in_work,,,,,,,,,,,,,,,,,
Agent,Giovanni Maria Bonardo,Giovanni Maria Bonardo.md,Giovanni Maria Bonardo,U54h5JspdXgD,537636552317932341473,identifier,,,,,,,,,,,,,,,,,http://www.wikidata.org/entity/Q41566852
