class,base_name,filename,label,id,n_id,property,instance_of_value,instance_of_label,subclass_of_value,opposite_of_value,opposite_of_label,identifier_value
Concept,heliocentrism,heliocentrism.md,heliocentrism,T6Bs2vyA2y7g,517408255654787486492,instance_of,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/LSenUpbhXggw,scientific concept,,,,
Concept,heliocentrism,heliocentrism.md,heliocentrism,T6Bs2vyA2y7g,517408255654787486492,subclass_of,,,,,,
Concept,heliocentrism,heliocentrism.md,heliocentrism,T6Bs2vyA2y7g,517408255654787486492,opposite_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/VGbtWp2Ek2YY,geocentrism,
Concept,heliocentrism,heliocentrism.md,heliocentrism,T6Bs2vyA2y7g,517408255654787486492,identifier,,,,,,http://www.wikidata.org/entity/Q103983
