class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,contributor_role,part_of_value,part_of_label,instrumentation_value,based_on_value,based_on_label,derivative_work_value,text_value,language_value,subject_value,poetic_type_value,depicts_value,metre_value
MusicComposition,Apri Urania il puro fonte (Radesca),,,Apri Urania il puro fonte (Radesca),Apri Urania il puro fonte (Radesca).md,5AQ6rth4qBtH,64944239783828304945,identifier,https://repim.itatti.harvard.edu/resource/?uri=http://repim.unibo.it/resource/WORK/022860000010101_000000200900C,,,,,,,,,,,,,,,,,
MusicComposition,Apri Urania il puro fonte (Radesca),,,Apri Urania il puro fonte (Radesca),Apri Urania il puro fonte (Radesca).md,5AQ6rth4qBtH,64944239783828304945,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/dM6ceQfzK2pQ,RePIM,,,,,,,,,,,,,,,
MusicComposition,Apri Urania il puro fonte (Radesca),,,Apri Urania il puro fonte (Radesca),Apri Urania il puro fonte (Radesca).md,5AQ6rth4qBtH,64944239783828304945,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Amk76nLGSdfy,canzonetta,,,,,,,,,,,,,
MusicComposition,Apri Urania il puro fonte (Radesca),,,Apri Urania il puro fonte (Radesca),Apri Urania il puro fonte (Radesca).md,5AQ6rth4qBtH,64944239783828304945,contributor,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/LeNVLHNHKPVp', 'label': 'composer'}",,,,,,,,,,,,
MusicComposition,Apri Urania il puro fonte (Radesca),,,Apri Urania il puro fonte (Radesca),Apri Urania il puro fonte (Radesca).md,5AQ6rth4qBtH,64944239783828304945,part_of,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/jD4gJt5iXgrm,"Il Quarto Libro delle Canzonette Madrigali, et Arie alla romana a due voci di Radesca Enrico",,,,,,,,,,
MusicComposition,Apri Urania il puro fonte (Radesca),,,Apri Urania il puro fonte (Radesca),Apri Urania il puro fonte (Radesca).md,5AQ6rth4qBtH,64944239783828304945,instrumentation,,,,,,,,,,,,,,,,,,
MusicComposition,Apri Urania il puro fonte (Radesca),,,Apri Urania il puro fonte (Radesca),Apri Urania il puro fonte (Radesca).md,5AQ6rth4qBtH,64944239783828304945,based_on,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5sSSisVoyiFo,Apri Urania il puro fonte,,,,,,,
MusicComposition,Apri Urania il puro fonte (Radesca),,,Apri Urania il puro fonte (Radesca),Apri Urania il puro fonte (Radesca).md,5AQ6rth4qBtH,64944239783828304945,derivative_work,,,,,,,,,,,,,,,,,,
MusicComposition,Apri Urania il puro fonte (Radesca),,,Apri Urania il puro fonte (Radesca),Apri Urania il puro fonte (Radesca).md,5AQ6rth4qBtH,64944239783828304945,text,,,,,,,,,,,,,,,,,,
MusicComposition,Apri Urania il puro fonte (Radesca),,,Apri Urania il puro fonte (Radesca),Apri Urania il puro fonte (Radesca).md,5AQ6rth4qBtH,64944239783828304945,language,,,,,,,,,,,,,,,,,,
MusicComposition,Apri Urania il puro fonte (Radesca),,,Apri Urania il puro fonte (Radesca),Apri Urania il puro fonte (Radesca).md,5AQ6rth4qBtH,64944239783828304945,subject,,,,,,,,,,,,,,,,,,
MusicComposition,Apri Urania il puro fonte (Radesca),,,Apri Urania il puro fonte (Radesca),Apri Urania il puro fonte (Radesca).md,5AQ6rth4qBtH,64944239783828304945,poetic_type,,,,,,,,,,,,,,,,,,
MusicComposition,Apri Urania il puro fonte (Radesca),,,Apri Urania il puro fonte (Radesca),Apri Urania il puro fonte (Radesca).md,5AQ6rth4qBtH,64944239783828304945,depicts,,,,,,,,,,,,,,,,,,
MusicComposition,Apri Urania il puro fonte (Radesca),,,Apri Urania il puro fonte (Radesca),Apri Urania il puro fonte (Radesca).md,5AQ6rth4qBtH,64944239783828304945,metre,,,,,,,,,,,,,,,,,,
