class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,contributor_role,contributor_value,contributor_label,part_of_value,part_of_label,instrumentation_value,based_on_value,based_on_note,based_on_label,derivative_work_value,text_value
MusicComposition,Amor tu causi tutt'il penar mio (Dattari),,,Amor tu causi tutt'il penar mio (Dattari),Amor tu causi tutt'il penar mio (Dattari).md,iBSS6buizJVq,828849414074015665667,identifier,https://repim.itatti.harvard.edu/resource/?uri=http://repim.unibo.it/resource/WORK/019850000010101_000000078300C,,,,,,,,,,,,,,,
MusicComposition,Amor tu causi tutt'il penar mio (Dattari),,,Amor tu causi tutt'il penar mio (Dattari),Amor tu causi tutt'il penar mio (Dattari).md,iBSS6buizJVq,828849414074015665667,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/dM6ceQfzK2pQ,RePIM,,,,,,,,,,,,,
MusicComposition,Amor tu causi tutt'il penar mio (Dattari),,,Amor tu causi tutt'il penar mio (Dattari),Amor tu causi tutt'il penar mio (Dattari).md,iBSS6buizJVq,828849414074015665667,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/2bhdRbc5uz6o,villanella,,,,,,,,,,,
MusicComposition,Amor tu causi tutt'il penar mio (Dattari),,,Amor tu causi tutt'il penar mio (Dattari),Amor tu causi tutt'il penar mio (Dattari).md,iBSS6buizJVq,828849414074015665667,contributor,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/4AB2zhiGQJga', 'label': 'poet'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/WsQJYjxufGKj,Laura Terracina,,,,,,,,
MusicComposition,Amor tu causi tutt'il penar mio (Dattari),,,Amor tu causi tutt'il penar mio (Dattari),Amor tu causi tutt'il penar mio (Dattari).md,iBSS6buizJVq,828849414074015665667,contributor,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/LeNVLHNHKPVp', 'label': 'composer'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/KKiP3sRoLFKS,Ghindolfo Dattari,,,,,,,,
MusicComposition,Amor tu causi tutt'il penar mio (Dattari),,,Amor tu causi tutt'il penar mio (Dattari),Amor tu causi tutt'il penar mio (Dattari).md,iBSS6buizJVq,828849414074015665667,part_of,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/iBSS6buizJVq,Amor tu causi tutt'il penar mio (Dattari),,,,,,
MusicComposition,Amor tu causi tutt'il penar mio (Dattari),,,Amor tu causi tutt'il penar mio (Dattari),Amor tu causi tutt'il penar mio (Dattari).md,iBSS6buizJVq,828849414074015665667,instrumentation,,,,,,,,,,,,,,,,
MusicComposition,Amor tu causi tutt'il penar mio (Dattari),,,Amor tu causi tutt'il penar mio (Dattari),Amor tu causi tutt'il penar mio (Dattari).md,iBSS6buizJVq,828849414074015665667,based_on,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/3M6sgyUKSxq8,The lyrics have been substancially changed.,Amor tu causi tutt'il penar mio,,
MusicComposition,Amor tu causi tutt'il penar mio (Dattari),,,Amor tu causi tutt'il penar mio (Dattari),Amor tu causi tutt'il penar mio (Dattari).md,iBSS6buizJVq,828849414074015665667,derivative_work,,,,,,,,,,,,,,,,
MusicComposition,Amor tu causi tutt'il penar mio (Dattari),,,Amor tu causi tutt'il penar mio (Dattari),Amor tu causi tutt'il penar mio (Dattari).md,iBSS6buizJVq,828849414074015665667,text,,,,,,,,,,,,,,,,"Amor tu causi tutt'il penar mio
Tu mi fai tort'e non colei ch'adoro
Ma se tu vuoi ch'io viv'in tal martire
Fammi più presto pregoti morire.

E se tu dessi effeto al mio desio,
Havrei nei danni almen qualche ristoro
Ma se tu vuoi ch'io viv'in tal martire
Fammi più presto pregoti morire.

Tu fosti sempre un lusinghier d'amore
E sei caggion, che per amar io moro
Ma se tu vuoi ch'io viv'in tal martire
Fammi più presto pregoti morire.

Ma perché tanto al mio soccorso tardi
S'havut'io n'ho da lei parol'e sguardi
Tu mi fai star con speme in su la cima,
E a corre il frutto un'altro serà prima."
