class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,title_value,inception_value,has_version_external_source,has_version_place_of_publication,has_version_publication_date,has_version_publisher,has_version_permalink,contributor_role,contributor_value,contributor_label,subject_value,has_part_value,based_on_value,catalog_identifier_value
Book,Il primo libro dell'opere toscane di m. Laura Battiferra degli Ammannati,,,Il primo libro dell'opere toscane di m. Laura Battiferra degli Ammannati,Il primo libro dell'opere toscane di m. Laura Battiferra degli Ammannati.md,3gZsxzoV4qay,34595629350147420397,identifier,,,,,,,,,,,,,,,,,,
Book,Il primo libro dell'opere toscane di m. Laura Battiferra degli Ammannati,,,Il primo libro dell'opere toscane di m. Laura Battiferra degli Ammannati,Il primo libro dell'opere toscane di m. Laura Battiferra degli Ammannati.md,3gZsxzoV4qay,34595629350147420397,described_by_source,,,,,,,,,,,,,,,,,,
Book,Il primo libro dell'opere toscane di m. Laura Battiferra degli Ammannati,,,Il primo libro dell'opere toscane di m. Laura Battiferra degli Ammannati,Il primo libro dell'opere toscane di m. Laura Battiferra degli Ammannati.md,3gZsxzoV4qay,34595629350147420397,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/XzeQyQXbyjmR,poetry collection,,,,,,,,,,,,,,
Book,Il primo libro dell'opere toscane di m. Laura Battiferra degli Ammannati,,,Il primo libro dell'opere toscane di m. Laura Battiferra degli Ammannati,Il primo libro dell'opere toscane di m. Laura Battiferra degli Ammannati.md,3gZsxzoV4qay,34595629350147420397,title,,,,,Il primo libro dell'opere toscane di m. Laura Battiferra degli Ammannati,,,,,,,,,,,,,
Book,Il primo libro dell'opere toscane di m. Laura Battiferra degli Ammannati,,,Il primo libro dell'opere toscane di m. Laura Battiferra degli Ammannati,Il primo libro dell'opere toscane di m. Laura Battiferra degli Ammannati.md,3gZsxzoV4qay,34595629350147420397,inception,,,,,,,,,,,,,,,,,,
Book,Il primo libro dell'opere toscane di m. Laura Battiferra degli Ammannati,,,Il primo libro dell'opere toscane di m. Laura Battiferra degli Ammannati,Il primo libro dell'opere toscane di m. Laura Battiferra degli Ammannati.md,3gZsxzoV4qay,34595629350147420397,has_version,,,,,,,https://books.google.be/books?id=702IlHGGFyoC,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Hm8LNCNr7Wxn', 'label': 'Firenze'}]",1560.0,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/irdFWnrUWMtD', 'label': 'Bernardo Giunti'}",https://edit16.iccu.sbn.it/titolo/CNCE004630,,,,,,,
Book,Il primo libro dell'opere toscane di m. Laura Battiferra degli Ammannati,,,Il primo libro dell'opere toscane di m. Laura Battiferra degli Ammannati,Il primo libro dell'opere toscane di m. Laura Battiferra degli Ammannati.md,3gZsxzoV4qay,34595629350147420397,contributor,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/awZyTsJZqrUq', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/AQ4Mxw23doRC,Laura Battiferri,,,,
Book,Il primo libro dell'opere toscane di m. Laura Battiferra degli Ammannati,,,Il primo libro dell'opere toscane di m. Laura Battiferra degli Ammannati,Il primo libro dell'opere toscane di m. Laura Battiferra degli Ammannati.md,3gZsxzoV4qay,34595629350147420397,subject,,,,,,,,,,,,,,,,,,
Book,Il primo libro dell'opere toscane di m. Laura Battiferra degli Ammannati,,,Il primo libro dell'opere toscane di m. Laura Battiferra degli Ammannati,Il primo libro dell'opere toscane di m. Laura Battiferra degli Ammannati.md,3gZsxzoV4qay,34595629350147420397,has_part,,,,,,,,,,,,,,,,,,
Book,Il primo libro dell'opere toscane di m. Laura Battiferra degli Ammannati,,,Il primo libro dell'opere toscane di m. Laura Battiferra degli Ammannati,Il primo libro dell'opere toscane di m. Laura Battiferra degli Ammannati.md,3gZsxzoV4qay,34595629350147420397,based_on,,,,,,,,,,,,,,,,,,
Book,Il primo libro dell'opere toscane di m. Laura Battiferra degli Ammannati,,,Il primo libro dell'opere toscane di m. Laura Battiferra degli Ammannati,Il primo libro dell'opere toscane di m. Laura Battiferra degli Ammannati.md,3gZsxzoV4qay,34595629350147420397,catalog_identifier,,,,,,,,,,,,,,,,,,
