class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,work_location_label,member_of_value,member_of_start_date,member_of_reference,member_of_label,occupation_value,occupation_label,related_to_value,related_to_relationship,related_to_label,notable_work_value,interested_in_value,catalog_identifier_source,catalog_identifier_value,present_in_work_value
Agent,Tarquinia Molza,,,Tarquinia Molza,Tarquinia Molza.md,baADqnLF4t7X,692621893893598341020,identifier,http://www.wikidata.org/entity/Q274484,,,,,,,,,,,,,,,,,,,,,,
Agent,Tarquinia Molza,,,Tarquinia Molza,Tarquinia Molza.md,baADqnLF4t7X,692621893893598341020,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/T9A9Qv8Z2mX8,(Sampson 2020),,,,,,,,,,,,,,,,,,,,
Agent,Tarquinia Molza,,,Tarquinia Molza,Tarquinia Molza.md,baADqnLF4t7X,692621893893598341020,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/m8sBpVgB8XmV,(Cox 2020),,,,,,,,,,,,,,,,,,,,
Agent,Tarquinia Molza,,,Tarquinia Molza,Tarquinia Molza.md,baADqnLF4t7X,692621893893598341020,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Fd9ZVb3FMniL,(Stras 2018),,,,,,,,,,,,,,,,,,,,
Agent,Tarquinia Molza,,,Tarquinia Molza,Tarquinia Molza.md,baADqnLF4t7X,692621893893598341020,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/cs4Kpn5rcUyn,(Riley 1986),,,,,,,,,,,,,,,,,,,,
Agent,Tarquinia Molza,,,Tarquinia Molza,Tarquinia Molza.md,baADqnLF4t7X,692621893893598341020,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GB3DPeNtxqwb,human,,,,,,,,,,,,,,,,,,
Agent,Tarquinia Molza,,,Tarquinia Molza,Tarquinia Molza.md,baADqnLF4t7X,692621893893598341020,gender,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/KpnNUHk7FWq5,female,,,,,,,,,,,,,,,,
Agent,Tarquinia Molza,,,Tarquinia Molza,Tarquinia Molza.md,baADqnLF4t7X,692621893893598341020,work_location,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/8tPVnRB4bHFR,Modena,,,,,,,,,,,,,,
Agent,Tarquinia Molza,,,Tarquinia Molza,Tarquinia Molza.md,baADqnLF4t7X,692621893893598341020,work_location,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/P5ipTFsK5dJG,Roma,,,,,,,,,,,,,,
Agent,Tarquinia Molza,,,Tarquinia Molza,Tarquinia Molza.md,baADqnLF4t7X,692621893893598341020,work_location,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/4rNwxjw3kNQo,Ferrara,,,,,,,,,,,,,,
Agent,Tarquinia Molza,,,Tarquinia Molza,Tarquinia Molza.md,baADqnLF4t7X,692621893893598341020,work_location,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/QhXTZwxob5AG,Parma,,,,,,,,,,,,,,
