class,aliases,base_name,filename,label,id,n_id,property,instance_of_value,subclass_of_value,opposite_of_value,identifier_value
Concept,"['compagnia teatrale', 'theatrical troupe']",theater company,theater company.md,theater company,YDVJE5nqGm7o,623232659365251576441,instance_of,,,,
Concept,"['compagnia teatrale', 'theatrical troupe']",theater company,theater company.md,theater company,YDVJE5nqGm7o,623232659365251576441,subclass_of,,,,
Concept,"['compagnia teatrale', 'theatrical troupe']",theater company,theater company.md,theater company,YDVJE5nqGm7o,623232659365251576441,opposite_of,,,,
Concept,"['compagnia teatrale', 'theatrical troupe']",theater company,theater company.md,theater company,YDVJE5nqGm7o,623232659365251576441,identifier,,,,http://www.wikidata.org/entity/Q742421
