class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,work_location_label,member_of_value,occupation_value,occupation_label,related_to_value,notable_work_value,notable_work_label,interested_in_value,interested_in_label,catalog_identifier_value,present_in_work_value
Agent,Moderata Fonte,,,Moderata Fonte,Moderata Fonte.md,SGbybBMR2HYA,500545855753552828223,identifier,http://www.wikidata.org/entity/Q457070,,,,,,,,,,,,,,,,,,
Agent,Moderata Fonte,,,Moderata Fonte,Moderata Fonte.md,SGbybBMR2HYA,500545855753552828223,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/97PuKNkGqtm2,(Bolzoni and Girotto 2013),,,,,,,,,,,,,,,,
Agent,Moderata Fonte,,,Moderata Fonte,Moderata Fonte.md,SGbybBMR2HYA,500545855753552828223,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GB3DPeNtxqwb,human,,,,,,,,,,,,,,
Agent,Moderata Fonte,,,Moderata Fonte,Moderata Fonte.md,SGbybBMR2HYA,500545855753552828223,gender,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/KpnNUHk7FWq5,female,,,,,,,,,,,,
Agent,Moderata Fonte,,,Moderata Fonte,Moderata Fonte.md,SGbybBMR2HYA,500545855753552828223,work_location,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/f43HawKudsFv,Venezia,,,,,,,,,,
Agent,Moderata Fonte,,,Moderata Fonte,Moderata Fonte.md,SGbybBMR2HYA,500545855753552828223,member_of,,,,,,,,,,,,,,,,,,,
Agent,Moderata Fonte,,,Moderata Fonte,Moderata Fonte.md,SGbybBMR2HYA,500545855753552828223,occupation,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/4AB2zhiGQJga,poet,,,,,,,
Agent,Moderata Fonte,,,Moderata Fonte,Moderata Fonte.md,SGbybBMR2HYA,500545855753552828223,related_to,,,,,,,,,,,,,,,,,,,
Agent,Moderata Fonte,,,Moderata Fonte,Moderata Fonte.md,SGbybBMR2HYA,500545855753552828223,notable_work,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5YjqM4iTK4UU,Tredici canti del Floridoro. Di mad. Moderata Fonte,,,,
Agent,Moderata Fonte,,,Moderata Fonte,Moderata Fonte.md,SGbybBMR2HYA,500545855753552828223,interested_in,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/CrKoHGLhLE34,chivalric poem,,
Agent,Moderata Fonte,,,Moderata Fonte,Moderata Fonte.md,SGbybBMR2HYA,500545855753552828223,interested_in,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/F4Q6mPjKkDUQ,querelle des femmes,,
Agent,Moderata Fonte,,,Moderata Fonte,Moderata Fonte.md,SGbybBMR2HYA,500545855753552828223,catalog_identifier,,,,,,,,,,,,,,,,,,,
Agent,Moderata Fonte,,,Moderata Fonte,Moderata Fonte.md,SGbybBMR2HYA,500545855753552828223,present_in_work,,,,,,,,,,,,,,,,,,,
