class,base_name,filename,label,id,n_id,property,instance_of_value,instance_of_label,country_value,identifier_value
Place,Spain,Spain.md,Spain,2zpxJXBpmqbn,20572083264883408415,instance_of,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/AyrcL5v7u9qb,country,,
Place,Spain,Spain.md,Spain,2zpxJXBpmqbn,20572083264883408415,country,,,,
Place,Spain,Spain.md,Spain,2zpxJXBpmqbn,20572083264883408415,identifier,,,,http://www.wikidata.org/entity/Q290052
