class,base_name,filename,label,id,n_id,property,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,work_location_label,member_of_value,occupation_value,occupation_label,related_to_value,notable_work_value,interested_in_value,catalog_identifier_value,identifier_value
Agent,Alessandro Vincenti,Alessandro Vincenti.md,Alessandro Vincenti,GSHerNSxqLcR,297690776372579415749,instance_of,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/U7bj4Jz7sSuU,human,,,,,,,,,,,,
Agent,Alessandro Vincenti,Alessandro Vincenti.md,Alessandro Vincenti,GSHerNSxqLcR,297690776372579415749,gender,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Sw8LauTZqpYZ,male,,,,,,,,,,
Agent,Alessandro Vincenti,Alessandro Vincenti.md,Alessandro Vincenti,GSHerNSxqLcR,297690776372579415749,work_location,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/TKTukTBozhcq,Venezia,,,,,,,,
Agent,Alessandro Vincenti,Alessandro Vincenti.md,Alessandro Vincenti,GSHerNSxqLcR,297690776372579415749,member_of,,,,,,,,,,,,,,
Agent,Alessandro Vincenti,Alessandro Vincenti.md,Alessandro Vincenti,GSHerNSxqLcR,297690776372579415749,occupation,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/2hYMECrC2z35,publisher,,,,,
Agent,Alessandro Vincenti,Alessandro Vincenti.md,Alessandro Vincenti,GSHerNSxqLcR,297690776372579415749,related_to,,,,,,,,,,,,,,
Agent,Alessandro Vincenti,Alessandro Vincenti.md,Alessandro Vincenti,GSHerNSxqLcR,297690776372579415749,notable_work,,,,,,,,,,,,,,
Agent,Alessandro Vincenti,Alessandro Vincenti.md,Alessandro Vincenti,GSHerNSxqLcR,297690776372579415749,interested_in,,,,,,,,,,,,,,
Agent,Alessandro Vincenti,Alessandro Vincenti.md,Alessandro Vincenti,GSHerNSxqLcR,297690776372579415749,catalog_identifier,,,,,,,,,,,,,,
Agent,Alessandro Vincenti,Alessandro Vincenti.md,Alessandro Vincenti,GSHerNSxqLcR,297690776372579415749,identifier,,,,,,,,,,,,,,http://www.wikidata.org/entity/Q94983252
