class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,title_value,inception_value,has_version_publication_date,has_version_place_of_publication,has_version_permalink,has_version_external_source,contributor_role,contributor_value,contributor_label,subject_value,subject_label,has_part_value,based_on_value
Book,Naspo bizaro,,,Naspo bizaro,Naspo bizaro.md,EnE5cPBRnMvK,263636884323959164490,identifier,https://edit16.iccu.sbn.it/titolo/CNCE037962,,,,,,,,,,,,,,,,
Book,Naspo bizaro,,,Naspo bizaro,Naspo bizaro.md,EnE5cPBRnMvK,263636884323959164490,described_by_source,,,,,,,,,,,,,,,,,
Book,Naspo bizaro,,,Naspo bizaro,Naspo bizaro.md,EnE5cPBRnMvK,263636884323959164490,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/XzeQyQXbyjmR,poetry collection,,,,,,,,,,,,,
Book,Naspo bizaro,,,Naspo bizaro,Naspo bizaro.md,EnE5cPBRnMvK,263636884323959164490,title,,,,,"Naspo Bizaro. Calate fantastiche, che canta Naspo Bizaro da Veniesia castellan, sotto i balconi de Cate Bionda Biriota, per cauarse la bizaria del ceruelo, e 'l martelo del stomego",,,,,,,,,,,,
Book,Naspo bizaro,,,Naspo bizaro,Naspo bizaro.md,EnE5cPBRnMvK,263636884323959164490,inception,,,,,,,,,,,,,,,,,
Book,Naspo bizaro,,,Naspo bizaro,Naspo bizaro.md,EnE5cPBRnMvK,263636884323959164490,has_version,,,,,,,1565.0,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/TKTukTBozhcq', 'label': 'Venezia'}]",https://edit16.iccu.sbn.it/titolo/CNCE037962,https://www.google.it/books/edition/Naspo_Bizaro/jQ88AAAAcAAJ,,,,,,,
Book,Naspo bizaro,,,Naspo bizaro,Naspo bizaro.md,EnE5cPBRnMvK,263636884323959164490,contributor,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/awZyTsJZqrUq', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/hymbCiKrJk7B,Alessandro Caravia,,,,
Book,Naspo bizaro,,,Naspo bizaro,Naspo bizaro.md,EnE5cPBRnMvK,263636884323959164490,subject,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Ye88EjEg6hpa,commedia dell'arte,,
Book,Naspo bizaro,,,Naspo bizaro,Naspo bizaro.md,EnE5cPBRnMvK,263636884323959164490,subject,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/SUJFCY5REehL,Venetian,,
Book,Naspo bizaro,,,Naspo bizaro,Naspo bizaro.md,EnE5cPBRnMvK,263636884323959164490,has_part,,,,,,,,,,,,,,,,,
Book,Naspo bizaro,,,Naspo bizaro,Naspo bizaro.md,EnE5cPBRnMvK,263636884323959164490,based_on,,,,,,,,,,,,,,,,,
