class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,title_value,inception_sourcing_circumstances,inception_value,has_version_value,contributor_role,contributor_value,contributor_label,subject_value,subject_label,based_on_value,catalog_identifier_value,has_part_value,depicts_value,language_value,language_label
Book,Rime di diversi eccellentissimi autori nella morte dell'illustre sign. Estor Martinengo conte di Malpaga,,,Rime di diversi eccellentissimi autori nella morte dell'illustre sign. Estor Martinengo conte di Malpaga,Rime di diversi eccellentissimi autori nella morte dell'illustre sign. Estor Martinengo conte di Malpaga.md,BKpogriGXTVu,192174923190725197629,identifier,https://edit16.iccu.sbn.it/titolo/CNCE046325,,,,,,,,,,,,,,,,,,
Book,Rime di diversi eccellentissimi autori nella morte dell'illustre sign. Estor Martinengo conte di Malpaga,,,Rime di diversi eccellentissimi autori nella morte dell'illustre sign. Estor Martinengo conte di Malpaga,Rime di diversi eccellentissimi autori nella morte dell'illustre sign. Estor Martinengo conte di Malpaga.md,BKpogriGXTVu,192174923190725197629,described_by_source,,,,,,,,,,,,,,,,,,,
Book,Rime di diversi eccellentissimi autori nella morte dell'illustre sign. Estor Martinengo conte di Malpaga,,,Rime di diversi eccellentissimi autori nella morte dell'illustre sign. Estor Martinengo conte di Malpaga,Rime di diversi eccellentissimi autori nella morte dell'illustre sign. Estor Martinengo conte di Malpaga.md,BKpogriGXTVu,192174923190725197629,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/QXGbSHBTa8pT,poetry collection,,,,,,,,,,,,,,,
Book,Rime di diversi eccellentissimi autori nella morte dell'illustre sign. Estor Martinengo conte di Malpaga,,,Rime di diversi eccellentissimi autori nella morte dell'illustre sign. Estor Martinengo conte di Malpaga,Rime di diversi eccellentissimi autori nella morte dell'illustre sign. Estor Martinengo conte di Malpaga.md,BKpogriGXTVu,192174923190725197629,title,,,,,"Rime di diuersi eccellentissimi auttori nella morte dell'illustre sign. Estor Martinengo conte di Malpaga. Raccolte, et mandate all'illustre, et valoroso colonnello il s. Francesco Martinengo suo fratello, conte di Malpaga. Dalla signora Veronica Franco",,,,,,,,,,,,,,
Book,Rime di diversi eccellentissimi autori nella morte dell'illustre sign. Estor Martinengo conte di Malpaga,,,Rime di diversi eccellentissimi autori nella morte dell'illustre sign. Estor Martinengo conte di Malpaga,Rime di diversi eccellentissimi autori nella morte dell'illustre sign. Estor Martinengo conte di Malpaga.md,BKpogriGXTVu,192174923190725197629,inception,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/QWmtzgCRQ9wY', 'label': 'circa'}",1575.0,,,,,,,,,,,,
Book,Rime di diversi eccellentissimi autori nella morte dell'illustre sign. Estor Martinengo conte di Malpaga,,,Rime di diversi eccellentissimi autori nella morte dell'illustre sign. Estor Martinengo conte di Malpaga,Rime di diversi eccellentissimi autori nella morte dell'illustre sign. Estor Martinengo conte di Malpaga.md,BKpogriGXTVu,192174923190725197629,has_version,,,,,,,,,,,,,,,,,,,
Book,Rime di diversi eccellentissimi autori nella morte dell'illustre sign. Estor Martinengo conte di Malpaga,,,Rime di diversi eccellentissimi autori nella morte dell'illustre sign. Estor Martinengo conte di Malpaga,Rime di diversi eccellentissimi autori nella morte dell'illustre sign. Estor Martinengo conte di Malpaga.md,BKpogriGXTVu,192174923190725197629,contributor,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/CBJEfZgNCiU3', 'label': 'dedicatee'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/6k9EnVhc36fS,Nestore Martinengo,,,,,,,,
Book,Rime di diversi eccellentissimi autori nella morte dell'illustre sign. Estor Martinengo conte di Malpaga,,,Rime di diversi eccellentissimi autori nella morte dell'illustre sign. Estor Martinengo conte di Malpaga,Rime di diversi eccellentissimi autori nella morte dell'illustre sign. Estor Martinengo conte di Malpaga.md,BKpogriGXTVu,192174923190725197629,contributor,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UHzA5avQDdMJ', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/iicB3emqvaJP,Veronica Franco,,,,,,,,
Book,Rime di diversi eccellentissimi autori nella morte dell'illustre sign. Estor Martinengo conte di Malpaga,,,Rime di diversi eccellentissimi autori nella morte dell'illustre sign. Estor Martinengo conte di Malpaga,Rime di diversi eccellentissimi autori nella morte dell'illustre sign. Estor Martinengo conte di Malpaga.md,BKpogriGXTVu,192174923190725197629,subject,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/VvwqSP8dg3vT,elegy,,,,,,
Book,Rime di diversi eccellentissimi autori nella morte dell'illustre sign. Estor Martinengo conte di Malpaga,,,Rime di diversi eccellentissimi autori nella morte dell'illustre sign. Estor Martinengo conte di Malpaga,Rime di diversi eccellentissimi autori nella morte dell'illustre sign. Estor Martinengo conte di Malpaga.md,BKpogriGXTVu,192174923190725197629,based_on,,,,,,,,,,,,,,,,,,,
