class,label,description,aliases,base_name,filename,id,n_id,property,instance_of_value,instance_of_label,subclass_of_value,identifier_value,described_by_source_value
Concept,alto,,['altus'],altus,altus.md,YpD8xTW34ppx,635801171133487199637,instance_of,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/66DXswkAqX8G,type of musical instrument,,,
Concept,alto,,['altus'],altus,altus.md,YpD8xTW34ppx,635801171133487199637,subclass_of,,,,,
Concept,alto,,['altus'],altus,altus.md,YpD8xTW34ppx,635801171133487199637,identifier,,,,http://www.wikidata.org/entity/Q6983813,
Concept,alto,,['altus'],altus,altus.md,YpD8xTW34ppx,635801171133487199637,described_by_source,,,,,
