class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,title_value,inception_value,has_version_external_source,has_version_place_of_publication,has_version_publication_date,has_version_publisher,has_version_permalink,contributor_role,contributor_value,contributor_label,subject_value,has_part_value,based_on_value,catalog_identifier_value
Book,Il primo libro dell'opere toscane di m. Laura Battiferra degli Ammannati,,,Il primo libro dell'opere toscane di m. Laura Battiferra degli Ammannati,Il primo libro dell'opere toscane di m. Laura Battiferra degli Ammannati.md,bJYR7sBHWsEt,686970347963590092119,identifier,,,,,,,,,,,,,,,,,,
Book,Il primo libro dell'opere toscane di m. Laura Battiferra degli Ammannati,,,Il primo libro dell'opere toscane di m. Laura Battiferra degli Ammannati,Il primo libro dell'opere toscane di m. Laura Battiferra degli Ammannati.md,bJYR7sBHWsEt,686970347963590092119,described_by_source,,,,,,,,,,,,,,,,,,
Book,Il primo libro dell'opere toscane di m. Laura Battiferra degli Ammannati,,,Il primo libro dell'opere toscane di m. Laura Battiferra degli Ammannati,Il primo libro dell'opere toscane di m. Laura Battiferra degli Ammannati.md,bJYR7sBHWsEt,686970347963590092119,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/QXGbSHBTa8pT,poetry collection,,,,,,,,,,,,,,
Book,Il primo libro dell'opere toscane di m. Laura Battiferra degli Ammannati,,,Il primo libro dell'opere toscane di m. Laura Battiferra degli Ammannati,Il primo libro dell'opere toscane di m. Laura Battiferra degli Ammannati.md,bJYR7sBHWsEt,686970347963590092119,title,,,,,Il primo libro dell'opere toscane di m. Laura Battiferra degli Ammannati,,,,,,,,,,,,,
Book,Il primo libro dell'opere toscane di m. Laura Battiferra degli Ammannati,,,Il primo libro dell'opere toscane di m. Laura Battiferra degli Ammannati,Il primo libro dell'opere toscane di m. Laura Battiferra degli Ammannati.md,bJYR7sBHWsEt,686970347963590092119,inception,,,,,,1560.0,,,,,,,,,,,,
Book,Il primo libro dell'opere toscane di m. Laura Battiferra degli Ammannati,,,Il primo libro dell'opere toscane di m. Laura Battiferra degli Ammannati,Il primo libro dell'opere toscane di m. Laura Battiferra degli Ammannati.md,bJYR7sBHWsEt,686970347963590092119,has_version,,,,,,,https://books.google.be/books?id=702IlHGGFyoC,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GvYVBMCkzMzW', 'label': 'Firenze'}]",1560.0,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/iYTS9qGmP3jb', 'label': 'Bernardo Giunti'}",https://edit16.iccu.sbn.it/titolo/CNCE004630,,,,,,,
Book,Il primo libro dell'opere toscane di m. Laura Battiferra degli Ammannati,,,Il primo libro dell'opere toscane di m. Laura Battiferra degli Ammannati,Il primo libro dell'opere toscane di m. Laura Battiferra degli Ammannati.md,bJYR7sBHWsEt,686970347963590092119,contributor,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UHzA5avQDdMJ', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/MCpqmQ2EH76N,Laura Battiferri,,,,
Book,Il primo libro dell'opere toscane di m. Laura Battiferra degli Ammannati,,,Il primo libro dell'opere toscane di m. Laura Battiferra degli Ammannati,Il primo libro dell'opere toscane di m. Laura Battiferra degli Ammannati.md,bJYR7sBHWsEt,686970347963590092119,subject,,,,,,,,,,,,,,,,,,
Book,Il primo libro dell'opere toscane di m. Laura Battiferra degli Ammannati,,,Il primo libro dell'opere toscane di m. Laura Battiferra degli Ammannati,Il primo libro dell'opere toscane di m. Laura Battiferra degli Ammannati.md,bJYR7sBHWsEt,686970347963590092119,has_part,,,,,,,,,,,,,,,,,,
Book,Il primo libro dell'opere toscane di m. Laura Battiferra degli Ammannati,,,Il primo libro dell'opere toscane di m. Laura Battiferra degli Ammannati,Il primo libro dell'opere toscane di m. Laura Battiferra degli Ammannati.md,bJYR7sBHWsEt,686970347963590092119,based_on,,,,,,,,,,,,,,,,,,
Book,Il primo libro dell'opere toscane di m. Laura Battiferra degli Ammannati,,,Il primo libro dell'opere toscane di m. Laura Battiferra degli Ammannati,Il primo libro dell'opere toscane di m. Laura Battiferra degli Ammannati.md,bJYR7sBHWsEt,686970347963590092119,catalog_identifier,,,,,,,,,,,,,,,,,,
