class,aliases,base_name,filename,label,id,n_id,property,instance_of_value,instance_of_label,contributor_role,contributor_value,contributor_label,part_of_section,part_of_value,part_of_label,based_on_value,derivative_work_value,subject_value,subject_label,poetic_type_value,poetic_type_label,metre_value,metre_label,depicts_value,depicts_label,language_value,language_label,text_value
PoeticWork,"[""O beati color; c'hanno duo cori""]",Oh beati color; c'hanno duo cori,Oh beati color; c'hanno duo cori.md,Oh beati color; c'hanno duo cori,KMsTevKZvX6c,358003011014440910245,instance_of,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Wvnraxko77uh,poem,,,,,,,,,,,,,,,,,,,
PoeticWork,"[""O beati color; c'hanno duo cori""]",Oh beati color; c'hanno duo cori,Oh beati color; c'hanno duo cori.md,Oh beati color; c'hanno duo cori,KMsTevKZvX6c,358003011014440910245,contributor,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UHzA5avQDdMJ', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/3KxURtKJVxAF,Pietro Aretino,,,,,,,,,,,,,,,,
PoeticWork,"[""O beati color; c'hanno duo cori""]",Oh beati color; c'hanno duo cori,Oh beati color; c'hanno duo cori.md,Oh beati color; c'hanno duo cori,KMsTevKZvX6c,358003011014440910245,part_of,,,,,,"Canto II, 2",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/LgvtnF7kZsg4,D'Angelica di m. Pietro Aretino due primi canti,,,,,,,,,,,,,
PoeticWork,"[""O beati color; c'hanno duo cori""]",Oh beati color; c'hanno duo cori,Oh beati color; c'hanno duo cori.md,Oh beati color; c'hanno duo cori,KMsTevKZvX6c,358003011014440910245,based_on,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"[""O beati color; c'hanno duo cori""]",Oh beati color; c'hanno duo cori,Oh beati color; c'hanno duo cori.md,Oh beati color; c'hanno duo cori,KMsTevKZvX6c,358003011014440910245,derivative_work,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"[""O beati color; c'hanno duo cori""]",Oh beati color; c'hanno duo cori,Oh beati color; c'hanno duo cori.md,Oh beati color; c'hanno duo cori,KMsTevKZvX6c,358003011014440910245,subject,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UZuCbSwwuwLY,lover,,,,,,,,,
PoeticWork,"[""O beati color; c'hanno duo cori""]",Oh beati color; c'hanno duo cori,Oh beati color; c'hanno duo cori.md,Oh beati color; c'hanno duo cori,KMsTevKZvX6c,358003011014440910245,poetic_type,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/nkvGUfVFSUHZ,ottava rima,,,,,,,
PoeticWork,"[""O beati color; c'hanno duo cori""]",Oh beati color; c'hanno duo cori,Oh beati color; c'hanno duo cori.md,Oh beati color; c'hanno duo cori,KMsTevKZvX6c,358003011014440910245,metre,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/FPYzaHuDcPWK,hendecasyllable,,,,,
PoeticWork,"[""O beati color; c'hanno duo cori""]",Oh beati color; c'hanno duo cori,Oh beati color; c'hanno duo cori.md,Oh beati color; c'hanno duo cori,KMsTevKZvX6c,358003011014440910245,depicts,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/VGUgNmuMpvAd,heart,,,
PoeticWork,"[""O beati color; c'hanno duo cori""]",Oh beati color; c'hanno duo cori,Oh beati color; c'hanno duo cori.md,Oh beati color; c'hanno duo cori,KMsTevKZvX6c,358003011014440910245,language,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/nKCWTNSaUJQU,Italian,
PoeticWork,"[""O beati color; c'hanno duo cori""]",Oh beati color; c'hanno duo cori,Oh beati color; c'hanno duo cori.md,Oh beati color; c'hanno duo cori,KMsTevKZvX6c,358003011014440910245,text,,,,,,,,,,,,,,,,,,,,,"Oh beati color ch'hanno duo cori
In un sol core, è due alme in un'alma,
Due vite in una vita, è i loro ardori
Quetano in pace graziosa & alma;
Beatissimi quei, c'hanno i fervori
Con desio pari scarchi d'ogni salma,
Né invidia o gelosia, né avara sorte
Gli nega alcun piacer sino a la morte."
