class,base_name,filename,label,id,n_id,property,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,member_of_value,occupation_value,occupation_reference,occupation_label,related_to_value,notable_work_value,interested_in_value,interested_in_reference,interested_in_label,catalog_identifier_source,catalog_identifier_value,present_in_work_value,identifier_value,described_by_source_value,described_by_source_label
Agent,Dianora Sanseverino,Dianora Sanseverino.md,Dianora Sanseverino,kFghMqXMQGVb,871659968880808344894,instance_of,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GB3DPeNtxqwb,human,,,,,,,,,,,,,,,,,,
Agent,Dianora Sanseverino,Dianora Sanseverino.md,Dianora Sanseverino,kFghMqXMQGVb,871659968880808344894,gender,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/KpnNUHk7FWq5,female,,,,,,,,,,,,,,,,
Agent,Dianora Sanseverino,Dianora Sanseverino.md,Dianora Sanseverino,kFghMqXMQGVb,871659968880808344894,work_location,,,,,,,,,,,,,,,,,,,,
Agent,Dianora Sanseverino,Dianora Sanseverino.md,Dianora Sanseverino,kFghMqXMQGVb,871659968880808344894,member_of,,,,,,,,,,,,,,,,,,,,
Agent,Dianora Sanseverino,Dianora Sanseverino.md,Dianora Sanseverino,kFghMqXMQGVb,871659968880808344894,occupation,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/4AB2zhiGQJga,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/ipSJVTEhEkc6', 'label': '(Di Maro 2021)'}]",poet,,,,,,,,,,,
Agent,Dianora Sanseverino,Dianora Sanseverino.md,Dianora Sanseverino,kFghMqXMQGVb,871659968880808344894,related_to,,,,,,,,,,,,,,,,,,,,
Agent,Dianora Sanseverino,Dianora Sanseverino.md,Dianora Sanseverino,kFghMqXMQGVb,871659968880808344894,notable_work,,,,,,,,,,,,,,,,,,,,
Agent,Dianora Sanseverino,Dianora Sanseverino.md,Dianora Sanseverino,kFghMqXMQGVb,871659968880808344894,interested_in,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/XU8S5WyvBShC,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/ipSJVTEhEkc6', 'label': '(Di Maro 2021)'}]",Orlando furioso,,,,,,
Agent,Dianora Sanseverino,Dianora Sanseverino.md,Dianora Sanseverino,kFghMqXMQGVb,871659968880808344894,catalog_identifier,,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/iQ4o46B3wUmP', 'label': 'Italian Women Writers'}",A0395,,,,
Agent,Dianora Sanseverino,Dianora Sanseverino.md,Dianora Sanseverino,kFghMqXMQGVb,871659968880808344894,present_in_work,,,,,,,,,,,,,,,,,,,,
Agent,Dianora Sanseverino,Dianora Sanseverino.md,Dianora Sanseverino,kFghMqXMQGVb,871659968880808344894,identifier,,,,,,,,,,,,,,,,,,http://www.wikidata.org/entity/Q140194239,,
Agent,Dianora Sanseverino,Dianora Sanseverino.md,Dianora Sanseverino,kFghMqXMQGVb,871659968880808344894,described_by_source,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/ipSJVTEhEkc6,(Di Maro 2021)
