class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,work_location_label,member_of_value,member_of_pseudonym,member_of_label,occupation_value,occupation_label,related_to_value,notable_work_value,interested_in_value,catalog_identifier_source,catalog_identifier_value,present_in_work_value
Agent,Camillo Gessi,,,Camillo Gessi,Camillo Gessi.md,ULfY3kSjSVZr,543288347562625660869,identifier,http://www.wikidata.org/entity/Q94918792,,,,,,,,,,,,,,,,,,
Agent,Camillo Gessi,,,Camillo Gessi,Camillo Gessi.md,ULfY3kSjSVZr,543288347562625660869,described_by_source,,,,,,,,,,,,,,,,,,,
Agent,Camillo Gessi,,,Camillo Gessi,Camillo Gessi.md,ULfY3kSjSVZr,543288347562625660869,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/U7bj4Jz7sSuU,human,,,,,,,,,,,,,,,
Agent,Camillo Gessi,,,Camillo Gessi,Camillo Gessi.md,ULfY3kSjSVZr,543288347562625660869,gender,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Sw8LauTZqpYZ,male,,,,,,,,,,,,,
Agent,Camillo Gessi,,,Camillo Gessi,Camillo Gessi.md,ULfY3kSjSVZr,543288347562625660869,work_location,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/AC4Js3EhuZqL,Bologna,,,,,,,,,,,
Agent,Camillo Gessi,,,Camillo Gessi,Camillo Gessi.md,ULfY3kSjSVZr,543288347562625660869,member_of,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/VGeT8SCG2epE,L'Intento,Accademia dei Gelati di Bologna,,,,,,,,
Agent,Camillo Gessi,,,Camillo Gessi,Camillo Gessi.md,ULfY3kSjSVZr,543288347562625660869,occupation,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/er6KNKXLyHaP,teacher,,,,,,
Agent,Camillo Gessi,,,Camillo Gessi,Camillo Gessi.md,ULfY3kSjSVZr,543288347562625660869,related_to,,,,,,,,,,,,,,,,,,,
Agent,Camillo Gessi,,,Camillo Gessi,Camillo Gessi.md,ULfY3kSjSVZr,543288347562625660869,notable_work,,,,,,,,,,,,,,,,,,,
Agent,Camillo Gessi,,,Camillo Gessi,Camillo Gessi.md,ULfY3kSjSVZr,543288347562625660869,interested_in,,,,,,,,,,,,,,,,,,,
Agent,Camillo Gessi,,,Camillo Gessi,Camillo Gessi.md,ULfY3kSjSVZr,543288347562625660869,catalog_identifier,,,,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/99XEoHF9WPng', 'label': 'Italian Academies Database'}",5045.0,
Agent,Camillo Gessi,,,Camillo Gessi,Camillo Gessi.md,ULfY3kSjSVZr,543288347562625660869,present_in_work,,,,,,,,,,,,,,,,,,,
