class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,title_value,inception_value,has_version_permalink,has_version_external_source,has_version_place_of_publication,has_version_publication_date,has_version_publisher,has_version_IIIF_manifest,has_version_note,contributor_role,contributor_value,contributor_label,subject_value,has_part_value,instrumentation_quantity,instrumentation_value,instrumentation_label
NotatedMusic,Di Claudio Merulo da Correggio il primo libro de madrigali a tre voci,,,Di Claudio Merulo da Correggio il primo libro de madrigali a tre voci,Di Claudio Merulo da Correggio il primo libro de madrigali a tre voci.md,WH5WsLuVqNLf,583257967817610384325,identifier,https://repim.itatti.harvard.edu/resource/?uri=http://repim.unibo.it/resource/BOOK/NV13640010,,,,,,,,,,,,,,,,,,,,,
NotatedMusic,Di Claudio Merulo da Correggio il primo libro de madrigali a tre voci,,,Di Claudio Merulo da Correggio il primo libro de madrigali a tre voci,Di Claudio Merulo da Correggio il primo libro de madrigali a tre voci.md,WH5WsLuVqNLf,583257967817610384325,identifier,https://rism.online/sources/990041044,,,,,,,,,,,,,,,,,,,,,
NotatedMusic,Di Claudio Merulo da Correggio il primo libro de madrigali a tre voci,,,Di Claudio Merulo da Correggio il primo libro de madrigali a tre voci,Di Claudio Merulo da Correggio il primo libro de madrigali a tre voci.md,WH5WsLuVqNLf,583257967817610384325,identifier,https://edit16.iccu.sbn.it/titolo/CNCE046902,,,,,,,,,,,,,,,,,,,,,
NotatedMusic,Di Claudio Merulo da Correggio il primo libro de madrigali a tre voci,,,Di Claudio Merulo da Correggio il primo libro de madrigali a tre voci,Di Claudio Merulo da Correggio il primo libro de madrigali a tre voci.md,WH5WsLuVqNLf,583257967817610384325,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/dM6ceQfzK2pQ,RePIM,,,,,,,,,,,,,,,,,,,
NotatedMusic,Di Claudio Merulo da Correggio il primo libro de madrigali a tre voci,,,Di Claudio Merulo da Correggio il primo libro de madrigali a tre voci,Di Claudio Merulo da Correggio il primo libro de madrigali a tre voci.md,WH5WsLuVqNLf,583257967817610384325,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/N6jMCTymbADK,partbook,,,,,,,,,,,,,,,,,
NotatedMusic,Di Claudio Merulo da Correggio il primo libro de madrigali a tre voci,,,Di Claudio Merulo da Correggio il primo libro de madrigali a tre voci,Di Claudio Merulo da Correggio il primo libro de madrigali a tre voci.md,WH5WsLuVqNLf,583257967817610384325,title,,,,,,"Di Claudio Merulo da Correggio organista della serenissima signoria di Venetia in S. Marco, il primo libro de madrigali a tre voci",,,,,,,,,,,,,,,,
NotatedMusic,Di Claudio Merulo da Correggio il primo libro de madrigali a tre voci,,,Di Claudio Merulo da Correggio il primo libro de madrigali a tre voci,Di Claudio Merulo da Correggio il primo libro de madrigali a tre voci.md,WH5WsLuVqNLf,583257967817610384325,inception,,,,,,,1580.0,,,,,,,,,,,,,,,
NotatedMusic,Di Claudio Merulo da Correggio il primo libro de madrigali a tre voci,,,Di Claudio Merulo da Correggio il primo libro de madrigali a tre voci,Di Claudio Merulo da Correggio il primo libro de madrigali a tre voci.md,WH5WsLuVqNLf,583257967817610384325,has_version,,,,,,,,https://edit16.iccu.sbn.it/titolo/CNCE046902,http://www.bibliotecamusica.it/cmbm/viewschedatwbca.asp?path=/cmbm/images/ripro/gaspari/_T/T102/,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/f43HawKudsFv', 'label': 'Venezia'}]",1580.0,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Ah3xiLm7tVeM', 'label': 'Angelo Gardano'}",,,,,,,,,,
NotatedMusic,Di Claudio Merulo da Correggio il primo libro de madrigali a tre voci,,,Di Claudio Merulo da Correggio il primo libro de madrigali a tre voci,Di Claudio Merulo da Correggio il primo libro de madrigali a tre voci.md,WH5WsLuVqNLf,583257967817610384325,has_version,,,,,,,,https://edit16.iccu.sbn.it/titolo/CNCE046902,https://uurl.kbr.be/1562498,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/f43HawKudsFv', 'label': 'Venezia'}]",1580.0,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Ah3xiLm7tVeM', 'label': 'Angelo Gardano'}",https://iiif.kbr.be/manifest/v3/56282,Cantus,,,,,,,,
NotatedMusic,Di Claudio Merulo da Correggio il primo libro de madrigali a tre voci,,,Di Claudio Merulo da Correggio il primo libro de madrigali a tre voci,Di Claudio Merulo da Correggio il primo libro de madrigali a tre voci.md,WH5WsLuVqNLf,583257967817610384325,has_version,,,,,,,,https://edit16.iccu.sbn.it/titolo/CNCE046902,https://uurl.kbr.be/1562500,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/f43HawKudsFv', 'label': 'Venezia'}]",1580.0,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Ah3xiLm7tVeM', 'label': 'Angelo Gardano'}",https://iiif.kbr.be/manifest/v3/56281,Tenor,,,,,,,,
