class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,contributor_role,contributor_value,contributor_label,part_of_pages,part_of_value,part_of_label,part_of_volume,part_of_section,based_on_value,derivative_work_value,subject_value,subject_label,poetic_type_value,poetic_type_label,metre_value,metre_label,depicts_value,depicts_label,language_value,language_label,text_value
PoeticWork,"Oh beata, e dolcissima novella",,"['Oh Beata, oh dolcissima novella', 'O Beata, o dolcissima novella']","Oh beata, e dolcissima novella","Oh beata, e dolcissima novella.md",cygy5Pf8MNNm,721779920358777412231,identifier,,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Oh beata, e dolcissima novella",,"['Oh Beata, oh dolcissima novella', 'O Beata, o dolcissima novella']","Oh beata, e dolcissima novella","Oh beata, e dolcissima novella.md",cygy5Pf8MNNm,721779920358777412231,described_by_source,,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Oh beata, e dolcissima novella",,"['Oh Beata, oh dolcissima novella', 'O Beata, o dolcissima novella']","Oh beata, e dolcissima novella","Oh beata, e dolcissima novella.md",cygy5Pf8MNNm,721779920358777412231,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/fYpqbjX78ztP,poem,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Oh beata, e dolcissima novella",,"['Oh Beata, oh dolcissima novella', 'O Beata, o dolcissima novella']","Oh beata, e dolcissima novella","Oh beata, e dolcissima novella.md",cygy5Pf8MNNm,721779920358777412231,contributor,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/awZyTsJZqrUq', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/dGUWfMNNCYuo,Gaspara Stampa,,,,,,,,,,,,,,,,,,
PoeticWork,"Oh beata, e dolcissima novella",,"['Oh Beata, oh dolcissima novella', 'O Beata, o dolcissima novella']","Oh beata, e dolcissima novella","Oh beata, e dolcissima novella.md",cygy5Pf8MNNm,721779920358777412231,part_of,,,,,,,,54.0,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/h3THWXv6qB74,Rime di madonna Gaspara Stampa,,,,,,,,,,,,,,,
PoeticWork,"Oh beata, e dolcissima novella",,"['Oh Beata, oh dolcissima novella', 'O Beata, o dolcissima novella']","Oh beata, e dolcissima novella","Oh beata, e dolcissima novella.md",cygy5Pf8MNNm,721779920358777412231,part_of,,,,,,,,85.0,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/ENUbQJ8t6z8B,Componimenti poetici delle piu' illustri rimatrici d'ogni secolo,1.0,Gaspara Stampa.,,,,,,,,,,,,,
PoeticWork,"Oh beata, e dolcissima novella",,"['Oh Beata, oh dolcissima novella', 'O Beata, o dolcissima novella']","Oh beata, e dolcissima novella","Oh beata, e dolcissima novella.md",cygy5Pf8MNNm,721779920358777412231,based_on,,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Oh beata, e dolcissima novella",,"['Oh Beata, oh dolcissima novella', 'O Beata, o dolcissima novella']","Oh beata, e dolcissima novella","Oh beata, e dolcissima novella.md",cygy5Pf8MNNm,721779920358777412231,derivative_work,,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Oh beata, e dolcissima novella",,"['Oh Beata, oh dolcissima novella', 'O Beata, o dolcissima novella']","Oh beata, e dolcissima novella","Oh beata, e dolcissima novella.md",cygy5Pf8MNNm,721779920358777412231,subject,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/8sSx8HhcDxv6,anaphora,,,,,,,,,
PoeticWork,"Oh beata, e dolcissima novella",,"['Oh Beata, oh dolcissima novella', 'O Beata, o dolcissima novella']","Oh beata, e dolcissima novella","Oh beata, e dolcissima novella.md",cygy5Pf8MNNm,721779920358777412231,subject,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Bvvit9jGS3mp,longing,,,,,,,,,
