class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,work_location_label,member_of_value,member_of_label,occupation_value,occupation_label,related_to_value,notable_work_value,interested_in_value,catalog_identifier_value,present_in_work_value
Agent,Ferdinando II de' Medici,,,Ferdinando II de' Medici,Ferdinando II de' Medici.md,9fVnz67YHU33,158023034485686292693,identifier,http://www.wikidata.org/entity/Q314558,,,,,,,,,,,,,,,,
Agent,Ferdinando II de' Medici,,,Ferdinando II de' Medici,Ferdinando II de' Medici.md,9fVnz67YHU33,158023034485686292693,described_by_source,,,,,,,,,,,,,,,,,
Agent,Ferdinando II de' Medici,,,Ferdinando II de' Medici,Ferdinando II de' Medici.md,9fVnz67YHU33,158023034485686292693,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GB3DPeNtxqwb,human,,,,,,,,,,,,,
Agent,Ferdinando II de' Medici,,,Ferdinando II de' Medici,Ferdinando II de' Medici.md,9fVnz67YHU33,158023034485686292693,gender,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5bZY447EzsJq,male,,,,,,,,,,,
Agent,Ferdinando II de' Medici,,,Ferdinando II de' Medici,Ferdinando II de' Medici.md,9fVnz67YHU33,158023034485686292693,work_location,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GvYVBMCkzMzW,Firenze,,,,,,,,,
Agent,Ferdinando II de' Medici,,,Ferdinando II de' Medici,Ferdinando II de' Medici.md,9fVnz67YHU33,158023034485686292693,member_of,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/9xbm8Z3DLhyp,House of Medici,,,,,,,
Agent,Ferdinando II de' Medici,,,Ferdinando II de' Medici,Ferdinando II de' Medici.md,9fVnz67YHU33,158023034485686292693,occupation,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/LyEatsU6bs4d,politician,,,,,
Agent,Ferdinando II de' Medici,,,Ferdinando II de' Medici,Ferdinando II de' Medici.md,9fVnz67YHU33,158023034485686292693,related_to,,,,,,,,,,,,,,,,,
Agent,Ferdinando II de' Medici,,,Ferdinando II de' Medici,Ferdinando II de' Medici.md,9fVnz67YHU33,158023034485686292693,notable_work,,,,,,,,,,,,,,,,,
Agent,Ferdinando II de' Medici,,,Ferdinando II de' Medici,Ferdinando II de' Medici.md,9fVnz67YHU33,158023034485686292693,interested_in,,,,,,,,,,,,,,,,,
Agent,Ferdinando II de' Medici,,,Ferdinando II de' Medici,Ferdinando II de' Medici.md,9fVnz67YHU33,158023034485686292693,catalog_identifier,,,,,,,,,,,,,,,,,
Agent,Ferdinando II de' Medici,,,Ferdinando II de' Medici,Ferdinando II de' Medici.md,9fVnz67YHU33,158023034485686292693,present_in_work,,,,,,,,,,,,,,,,,
