class,base_name,filename,label,id,n_id,property,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,member_of_value,occupation_value,related_to_value,notable_work_value,notable_work_label,interested_in_value,interested_in_label,interested_in_reference,catalog_identifier_source,catalog_identifier_value,present_in_work_value,identifier_value
Agent,Ortensio Lando,Ortensio Lando.md,Ortensio Lando,J82PkibLWFG6,332349021787329197011,instance_of,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/U7bj4Jz7sSuU,human,,,,,,,,,,,,,,,
Agent,Ortensio Lando,Ortensio Lando.md,Ortensio Lando,J82PkibLWFG6,332349021787329197011,gender,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Sw8LauTZqpYZ,male,,,,,,,,,,,,,
Agent,Ortensio Lando,Ortensio Lando.md,Ortensio Lando,J82PkibLWFG6,332349021787329197011,work_location,,,,,,,,,,,,,,,,,
Agent,Ortensio Lando,Ortensio Lando.md,Ortensio Lando,J82PkibLWFG6,332349021787329197011,member_of,,,,,,,,,,,,,,,,,
Agent,Ortensio Lando,Ortensio Lando.md,Ortensio Lando,J82PkibLWFG6,332349021787329197011,occupation,,,,,,,,,,,,,,,,,
Agent,Ortensio Lando,Ortensio Lando.md,Ortensio Lando,J82PkibLWFG6,332349021787329197011,related_to,,,,,,,,,,,,,,,,,
Agent,Ortensio Lando,Ortensio Lando.md,Ortensio Lando,J82PkibLWFG6,332349021787329197011,notable_work,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Wv96CzqaDxFF,Quattro libri de dubbi,,,,,,,
Agent,Ortensio Lando,Ortensio Lando.md,Ortensio Lando,J82PkibLWFG6,332349021787329197011,interested_in,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/CrTwYNz6rjM4,heterodoxy,,,,,
Agent,Ortensio Lando,Ortensio Lando.md,Ortensio Lando,J82PkibLWFG6,332349021787329197011,interested_in,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/cHFtXs5kBskb,humanitarians,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/gVSttRUbFw6e', 'label': '(Faini 2020)'}]",,,,
Agent,Ortensio Lando,Ortensio Lando.md,Ortensio Lando,J82PkibLWFG6,332349021787329197011,catalog_identifier,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/99XEoHF9WPng', 'label': 'Italian Academies Database'}",20474.0,,
Agent,Ortensio Lando,Ortensio Lando.md,Ortensio Lando,J82PkibLWFG6,332349021787329197011,present_in_work,,,,,,,,,,,,,,,,,
Agent,Ortensio Lando,Ortensio Lando.md,Ortensio Lando,J82PkibLWFG6,332349021787329197011,identifier,,,,,,,,,,,,,,,,,http://www.wikidata.org/entity/Q1257744
