class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,title_value,inception_value,has_version_external_source,has_version_place_of_publication,has_version_publication_date,has_version_publisher,has_version_permalink,has_version_IIIF_manifest,contributor_role,contributor_value,contributor_label,subject_value,subject_label,has_part_value,based_on_value
Book,Rime de gli Academici Occulti con le loro imprese et discorsi,,,Rime de gli Academici Occulti con le loro imprese et discorsi,Rime de gli Academici Occulti con le loro imprese et discorsi.md,Ew34m9NBYVrU,266825223916800288038,identifier,https://edit16.iccu.sbn.it/titolo/CNCE000055,,,,,,,,,,,,,,,,,,
Book,Rime de gli Academici Occulti con le loro imprese et discorsi,,,Rime de gli Academici Occulti con le loro imprese et discorsi,Rime de gli Academici Occulti con le loro imprese et discorsi.md,Ew34m9NBYVrU,266825223916800288038,identifier,https://lyra.unil.ch/books/54,,,,,,,,,,,,,,,,,,
Book,Rime de gli Academici Occulti con le loro imprese et discorsi,,,Rime de gli Academici Occulti con le loro imprese et discorsi,Rime de gli Academici Occulti con le loro imprese et discorsi.md,Ew34m9NBYVrU,266825223916800288038,described_by_source,,,,,,,,,,,,,,,,,,,
Book,Rime de gli Academici Occulti con le loro imprese et discorsi,,,Rime de gli Academici Occulti con le loro imprese et discorsi,Rime de gli Academici Occulti con le loro imprese et discorsi.md,Ew34m9NBYVrU,266825223916800288038,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/QXGbSHBTa8pT,poetry collection,,,,,,,,,,,,,,,
Book,Rime de gli Academici Occulti con le loro imprese et discorsi,,,Rime de gli Academici Occulti con le loro imprese et discorsi,Rime de gli Academici Occulti con le loro imprese et discorsi.md,Ew34m9NBYVrU,266825223916800288038,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/hwqY4Vjzk6Cb,emblem book,,,,,,,,,,,,,,,
Book,Rime de gli Academici Occulti con le loro imprese et discorsi,,,Rime de gli Academici Occulti con le loro imprese et discorsi,Rime de gli Academici Occulti con le loro imprese et discorsi.md,Ew34m9NBYVrU,266825223916800288038,title,,,,,Rime de gli Academici Occulti con le loro imprese et discorsi,,,,,,,,,,,,,,
Book,Rime de gli Academici Occulti con le loro imprese et discorsi,,,Rime de gli Academici Occulti con le loro imprese et discorsi,Rime de gli Academici Occulti con le loro imprese et discorsi.md,Ew34m9NBYVrU,266825223916800288038,inception,,,,,,1568.0,,,,,,,,,,,,,
Book,Rime de gli Academici Occulti con le loro imprese et discorsi,,,Rime de gli Academici Occulti con le loro imprese et discorsi,Rime de gli Academici Occulti con le loro imprese et discorsi.md,Ew34m9NBYVrU,266825223916800288038,has_version,,,,,,,https://books.google.it/books?id=30mui6lEM7AC,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/icjGncFExzV8', 'label': 'Brescia'}]",1568.0,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/kTYDDxgBN7oN', 'label': 'Vincenzo Sabbio'}",https://edit16.iccu.sbn.it/titolo/CNCE000055,https://brixiana.jarvis.memooria.org/meta/iiif/fd75878a-3138-40e3-9410-d16e70c85213/manifest,,,,,,,
Book,Rime de gli Academici Occulti con le loro imprese et discorsi,,,Rime de gli Academici Occulti con le loro imprese et discorsi,Rime de gli Academici Occulti con le loro imprese et discorsi.md,Ew34m9NBYVrU,266825223916800288038,contributor,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UHzA5avQDdMJ', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/jdU8LTzmAMxT,Bartolomeo Arnigio,,,,
Book,Rime de gli Academici Occulti con le loro imprese et discorsi,,,Rime de gli Academici Occulti con le loro imprese et discorsi,Rime de gli Academici Occulti con le loro imprese et discorsi.md,Ew34m9NBYVrU,266825223916800288038,subject,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/faKgxGgth5dr,academy,,
Book,Rime de gli Academici Occulti con le loro imprese et discorsi,,,Rime de gli Academici Occulti con le loro imprese et discorsi,Rime de gli Academici Occulti con le loro imprese et discorsi.md,Ew34m9NBYVrU,266825223916800288038,subject,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/AtYFns9BtQHt,impresa,,
Book,Rime de gli Academici Occulti con le loro imprese et discorsi,,,Rime de gli Academici Occulti con le loro imprese et discorsi,Rime de gli Academici Occulti con le loro imprese et discorsi.md,Ew34m9NBYVrU,266825223916800288038,has_part,,,,,,,,,,,,,,,,,,,
Book,Rime de gli Academici Occulti con le loro imprese et discorsi,,,Rime de gli Academici Occulti con le loro imprese et discorsi,Rime de gli Academici Occulti con le loro imprese et discorsi.md,Ew34m9NBYVrU,266825223916800288038,based_on,,,,,,,,,,,,,,,,,,,
