class,aliases,base_name,filename,label,id,n_id,property,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,work_location_label,member_of_value,member_of_label,occupation_value,occupation_label,related_to_value,notable_work_value,interested_in_value,interested_in_label,catalog_identifier_source,catalog_identifier_value
Agent,"['Jacopo Cicognini', 'Giacomo Cicognini']",Iacopo Cicognini,Iacopo Cicognini.md,Iacopo Cicognini,CmtG6RrwYggB,222245573926897734216,instance_of,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/U7bj4Jz7sSuU,human,,,,,,,,,,,,,,
Agent,"['Jacopo Cicognini', 'Giacomo Cicognini']",Iacopo Cicognini,Iacopo Cicognini.md,Iacopo Cicognini,CmtG6RrwYggB,222245573926897734216,gender,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Sw8LauTZqpYZ,male,,,,,,,,,,,,
Agent,"['Jacopo Cicognini', 'Giacomo Cicognini']",Iacopo Cicognini,Iacopo Cicognini.md,Iacopo Cicognini,CmtG6RrwYggB,222245573926897734216,work_location,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Hm8LNCNr7Wxn,Firenze,,,,,,,,,,
Agent,"['Jacopo Cicognini', 'Giacomo Cicognini']",Iacopo Cicognini,Iacopo Cicognini.md,Iacopo Cicognini,CmtG6RrwYggB,222245573926897734216,member_of,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/4sDs34CNqBUK,Accademia degli Incostanti di Firenze,,,,,,,,
Agent,"['Jacopo Cicognini', 'Giacomo Cicognini']",Iacopo Cicognini,Iacopo Cicognini.md,Iacopo Cicognini,CmtG6RrwYggB,222245573926897734216,occupation,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/YVAbik9eKVEW,poet,,,,,,
Agent,"['Jacopo Cicognini', 'Giacomo Cicognini']",Iacopo Cicognini,Iacopo Cicognini.md,Iacopo Cicognini,CmtG6RrwYggB,222245573926897734216,related_to,,,,,,,,,,,,,,,,
Agent,"['Jacopo Cicognini', 'Giacomo Cicognini']",Iacopo Cicognini,Iacopo Cicognini.md,Iacopo Cicognini,CmtG6RrwYggB,222245573926897734216,notable_work,,,,,,,,,,,,,,,,
Agent,"['Jacopo Cicognini', 'Giacomo Cicognini']",Iacopo Cicognini,Iacopo Cicognini.md,Iacopo Cicognini,CmtG6RrwYggB,222245573926897734216,interested_in,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Ye88EjEg6hpa,commedia dell'arte,,
Agent,"['Jacopo Cicognini', 'Giacomo Cicognini']",Iacopo Cicognini,Iacopo Cicognini.md,Iacopo Cicognini,CmtG6RrwYggB,222245573926897734216,catalog_identifier,,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/99XEoHF9WPng', 'label': 'Italian Academies Database'}",9945.0
