class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,inception_value,dissolved_value,location_value,official_website_value,catalog_identifier_value,member_value,interested_in_value,interested_in_label,notable_work_value,related_to_value,motto_value
Organisation,"Repertorio della Poesia Italiana in Musica, 1500-1700",,,RePIM,RePIM.md,dM6ceQfzK2pQ,729164395147030807264,identifier,,,,,,,,,,,,,,,
Organisation,"Repertorio della Poesia Italiana in Musica, 1500-1700",,,RePIM,RePIM.md,dM6ceQfzK2pQ,729164395147030807264,described_by_source,,,,,,,,,,,,,,,
Organisation,"Repertorio della Poesia Italiana in Musica, 1500-1700",,,RePIM,RePIM.md,dM6ceQfzK2pQ,729164395147030807264,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/8HCZ2RERDzjY,online database,,,,,,,,,,,
Organisation,"Repertorio della Poesia Italiana in Musica, 1500-1700",,,RePIM,RePIM.md,dM6ceQfzK2pQ,729164395147030807264,inception,,,,,,,,,,,,,,,
Organisation,"Repertorio della Poesia Italiana in Musica, 1500-1700",,,RePIM,RePIM.md,dM6ceQfzK2pQ,729164395147030807264,dissolved,,,,,,,,,,,,,,,
Organisation,"Repertorio della Poesia Italiana in Musica, 1500-1700",,,RePIM,RePIM.md,dM6ceQfzK2pQ,729164395147030807264,location,,,,,,,,,,,,,,,
Organisation,"Repertorio della Poesia Italiana in Musica, 1500-1700",,,RePIM,RePIM.md,dM6ceQfzK2pQ,729164395147030807264,official_website,,,,,,,,https://repim.itatti.harvard.edu/,,,,,,,
Organisation,"Repertorio della Poesia Italiana in Musica, 1500-1700",,,RePIM,RePIM.md,dM6ceQfzK2pQ,729164395147030807264,catalog_identifier,,,,,,,,,,,,,,,
Organisation,"Repertorio della Poesia Italiana in Musica, 1500-1700",,,RePIM,RePIM.md,dM6ceQfzK2pQ,729164395147030807264,member,,,,,,,,,,,,,,,
Organisation,"Repertorio della Poesia Italiana in Musica, 1500-1700",,,RePIM,RePIM.md,dM6ceQfzK2pQ,729164395147030807264,interested_in,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/a7Qa4z8ocEzP,madrigal,,,
Organisation,"Repertorio della Poesia Italiana in Musica, 1500-1700",,,RePIM,RePIM.md,dM6ceQfzK2pQ,729164395147030807264,notable_work,,,,,,,,,,,,,,,
Organisation,"Repertorio della Poesia Italiana in Musica, 1500-1700",,,RePIM,RePIM.md,dM6ceQfzK2pQ,729164395147030807264,related_to,,,,,,,,,,,,,,,
Organisation,"Repertorio della Poesia Italiana in Musica, 1500-1700",,,RePIM,RePIM.md,dM6ceQfzK2pQ,729164395147030807264,motto,,,,,,,,,,,,,,,
