class,base_name,filename,id,label,n_id,property,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,member_of_value,occupation_value,occupation_label,related_to_value,notable_work_value,interested_in_value,catalog_identifier_value,present_in_work_value,present_in_work_label,identifier_value
Agent,Angelica,Angelica.md,FnYdn7QzouZR,Angelica,284390695273628871431,instance_of,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/FeQqwKLG5FHE,literary character,,,,,,,,,,,,,
Agent,Angelica,Angelica.md,FnYdn7QzouZR,Angelica,284390695273628871431,gender,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/cg4AvGtwt6Bs,female,,,,,,,,,,,
Agent,Angelica,Angelica.md,FnYdn7QzouZR,Angelica,284390695273628871431,work_location,,,,,,,,,,,,,,,
Agent,Angelica,Angelica.md,FnYdn7QzouZR,Angelica,284390695273628871431,member_of,,,,,,,,,,,,,,,
Agent,Angelica,Angelica.md,FnYdn7QzouZR,Angelica,284390695273628871431,occupation,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/SJby5JBNBNgr,princess,,,,,,,
Agent,Angelica,Angelica.md,FnYdn7QzouZR,Angelica,284390695273628871431,related_to,,,,,,,,,,,,,,,
Agent,Angelica,Angelica.md,FnYdn7QzouZR,Angelica,284390695273628871431,notable_work,,,,,,,,,,,,,,,
Agent,Angelica,Angelica.md,FnYdn7QzouZR,Angelica,284390695273628871431,interested_in,,,,,,,,,,,,,,,
Agent,Angelica,Angelica.md,FnYdn7QzouZR,Angelica,284390695273628871431,catalog_identifier,,,,,,,,,,,,,,,
Agent,Angelica,Angelica.md,FnYdn7QzouZR,Angelica,284390695273628871431,present_in_work,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/FSsfkMyDLbzE,Orlando furioso,
Agent,Angelica,Angelica.md,FnYdn7QzouZR,Angelica,284390695273628871431,present_in_work,,,,,,,,,,,,,[[D'Angelica di m. Pietro Aretino due primi canti]],,
Agent,Angelica,Angelica.md,FnYdn7QzouZR,Angelica,284390695273628871431,identifier,,,,,,,,,,,,,,,http://www.wikidata.org/entity/Q48853
