class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,title_value,inception_value,has_version_permalink,has_version_holding_institution,has_version_external_source,has_version_IIIF_manifest,has_version_publication_date,has_version_publisher,has_version_place_of_publication,contributor_role,contributor_value,contributor_label,subject_value,has_part_value,instrumentation_quantity,instrumentation_value,instrumentation_label
NotatedMusic,Madrigali a cinque voci di Alessandro Savioli. Libro secondo,,,Madrigali a cinque voci di Alessandro Savioli. Libro secondo,Madrigali a cinque voci di Alessandro Savioli. Libro secondo.md,5afKJLwbco45,73729696601709449181,identifier,https://rism.online/sources/990057577,,,,,,,,,,,,,,,,,,,,,
NotatedMusic,Madrigali a cinque voci di Alessandro Savioli. Libro secondo,,,Madrigali a cinque voci di Alessandro Savioli. Libro secondo,Madrigali a cinque voci di Alessandro Savioli. Libro secondo.md,5afKJLwbco45,73729696601709449181,identifier,https://repim.itatti.harvard.edu/resource/?uri=http%3A%2F%2Frepim.unibo.it%2Fresource%2FBOOK%2FNV19280010,,,,,,,,,,,,,,,,,,,,,
NotatedMusic,Madrigali a cinque voci di Alessandro Savioli. Libro secondo,,,Madrigali a cinque voci di Alessandro Savioli. Libro secondo,Madrigali a cinque voci di Alessandro Savioli. Libro secondo.md,5afKJLwbco45,73729696601709449181,identifier,https://edit16.iccu.sbn.it/titolo/CNCE045364,,,,,,,,,,,,,,,,,,,,,
NotatedMusic,Madrigali a cinque voci di Alessandro Savioli. Libro secondo,,,Madrigali a cinque voci di Alessandro Savioli. Libro secondo,Madrigali a cinque voci di Alessandro Savioli. Libro secondo.md,5afKJLwbco45,73729696601709449181,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UFWerrYngAnv,RePIM,,,,,,,,,,,,,,,,,,,
NotatedMusic,Madrigali a cinque voci di Alessandro Savioli. Libro secondo,,,Madrigali a cinque voci di Alessandro Savioli. Libro secondo,Madrigali a cinque voci di Alessandro Savioli. Libro secondo.md,5afKJLwbco45,73729696601709449181,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/hGZbeqwxbiop,partbook,,,,,,,,,,,,,,,,,
NotatedMusic,Madrigali a cinque voci di Alessandro Savioli. Libro secondo,,,Madrigali a cinque voci di Alessandro Savioli. Libro secondo,Madrigali a cinque voci di Alessandro Savioli. Libro secondo.md,5afKJLwbco45,73729696601709449181,title,,,,,,Madrigali a cinque voci di Alessandro Savioli maestro di capella in Santo Alessandro di Bergamo. Libro secondo,,,,,,,,,,,,,,,,
NotatedMusic,Madrigali a cinque voci di Alessandro Savioli. Libro secondo,,,Madrigali a cinque voci di Alessandro Savioli. Libro secondo,Madrigali a cinque voci di Alessandro Savioli. Libro secondo.md,5afKJLwbco45,73729696601709449181,inception,,,,,,,,,,,,,,,,,,,,,,
NotatedMusic,Madrigali a cinque voci di Alessandro Savioli. Libro secondo,,,Madrigali a cinque voci di Alessandro Savioli. Libro secondo,Madrigali a cinque voci di Alessandro Savioli. Libro secondo.md,5afKJLwbco45,73729696601709449181,has_version,,,,,,,,https://edit16.iccu.sbn.it/titolo/CNCE045364,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/7Szxsh2Xinkm', 'label': 'Public Library Leipzig'}",https://sachsen.digital/werkansicht?tx_dlf[id]=8546,https://iiif.slub-dresden.de/iiif/2/456284141/manifest.json,1597.0,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/9L5vRtvRmtKu', 'label': 'Ricciardo Amadino'}","[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/TKTukTBozhcq', 'label': 'Venezia'}]",,,,,,,,
NotatedMusic,Madrigali a cinque voci di Alessandro Savioli. Libro secondo,,,Madrigali a cinque voci di Alessandro Savioli. Libro secondo,Madrigali a cinque voci di Alessandro Savioli. Libro secondo.md,5afKJLwbco45,73729696601709449181,contributor,,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/h24pafkqqHsZ', 'label': 'composer'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/PcoxH8gLXvkz,Alessandro Savioli,,,,,
NotatedMusic,Madrigali a cinque voci di Alessandro Savioli. Libro secondo,,,Madrigali a cinque voci di Alessandro Savioli. Libro secondo,Madrigali a cinque voci di Alessandro Savioli. Libro secondo.md,5afKJLwbco45,73729696601709449181,subject,,,,,,,,,,,,,,,,,,,,,,
