class,base_name,filename,label,id,n_id,property,instance_of_value,instance_of_label,subclass_of_value,identifier_value
Concept,sculpture,sculpture.md,sculpture,GSf6tdurWXyy,297826947242990843926,instance_of,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/g4TPeea9wGN7,form of creative work,,
Concept,sculpture,sculpture.md,sculpture,GSf6tdurWXyy,297826947242990843926,subclass_of,,,,
Concept,sculpture,sculpture.md,sculpture,GSf6tdurWXyy,297826947242990843926,identifier,,,,http://www.wikidata.org/entity/Q860861
