class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,work_location_reference,work_location_label,member_of_value,member_of_label,occupation_value,occupation_label,related_to_value,notable_work_value,interested_in_value,catalog_identifier_source,catalog_identifier_value
Agent,Federico Zuccari,,,Federico Zuccari,Federico Zuccari.md,UNnUCq2cCygA,544056446493641355998,identifier,http://www.wikidata.org/entity/Q345605,,,,,,,,,,,,,,,,,
Agent,Federico Zuccari,,,Federico Zuccari,Federico Zuccari.md,UNnUCq2cCygA,544056446493641355998,described_by_source,,,,,,,,,,,,,,,,,,
Agent,Federico Zuccari,,,Federico Zuccari,Federico Zuccari.md,UNnUCq2cCygA,544056446493641355998,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/U7bj4Jz7sSuU,human,,,,,,,,,,,,,,
Agent,Federico Zuccari,,,Federico Zuccari,Federico Zuccari.md,UNnUCq2cCygA,544056446493641355998,gender,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Sw8LauTZqpYZ,male,,,,,,,,,,,,
Agent,Federico Zuccari,,,Federico Zuccari,Federico Zuccari.md,UNnUCq2cCygA,544056446493641355998,work_location,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/J6uXo2g5NfHE,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/6o7ptgSPFKW7', 'label': '(Moralejo Ortega 2017)'}]",Roma,,,,,,,,,
Agent,Federico Zuccari,,,Federico Zuccari,Federico Zuccari.md,UNnUCq2cCygA,544056446493641355998,work_location,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Hm8LNCNr7Wxn,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/6o7ptgSPFKW7', 'label': '(Moralejo Ortega 2017)'}]",Firenze,,,,,,,,,
Agent,Federico Zuccari,,,Federico Zuccari,Federico Zuccari.md,UNnUCq2cCygA,544056446493641355998,member_of,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/VLH3Xgfkhtes,Accademia di San Luca di Roma,,,,,,,
Agent,Federico Zuccari,,,Federico Zuccari,Federico Zuccari.md,UNnUCq2cCygA,544056446493641355998,member_of,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/htvvES2xJL7N,Accademia degli Insensati di Perugia,,,,,,,
Agent,Federico Zuccari,,,Federico Zuccari,Federico Zuccari.md,UNnUCq2cCygA,544056446493641355998,occupation,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/JtXDRUo7kviy,painter,,,,,
Agent,Federico Zuccari,,,Federico Zuccari,Federico Zuccari.md,UNnUCq2cCygA,544056446493641355998,related_to,,,,,,,,,,,,,,,,,,
Agent,Federico Zuccari,,,Federico Zuccari,Federico Zuccari.md,UNnUCq2cCygA,544056446493641355998,notable_work,,,,,,,,,,,,,,,,,,
Agent,Federico Zuccari,,,Federico Zuccari,Federico Zuccari.md,UNnUCq2cCygA,544056446493641355998,interested_in,,,,,,,,,,,,,,,,,,
Agent,Federico Zuccari,,,Federico Zuccari,Federico Zuccari.md,UNnUCq2cCygA,544056446493641355998,catalog_identifier,,,,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/99XEoHF9WPng', 'label': 'Italian Academies Database'}",19353.0
